,ID,Relation,Source,Target,PT
158,L10_23,antonyms - binary,front,,frente
159,,,,back,trás
160,,,,rear,traseira
161,,,,forepart,NO_TRANSLATION
163,L10_24,antonyms - binary,in,,dentro
164,,,,out,fora
165,,,,outer,externo
166,,,,exterior,exterior
167,,,,outside,DUPLICATE_exterior
169,L10_25,antonyms - binary,inbound,,entrada
170,,,,outbound,saída
172,L10_26,antonyms - binary,inhale,,inalar
173,,,,exhale,exalar
175,L10_27,antonyms - binary,input,,entrada
176,,,,output,saída
178,L10_28,antonyms - binary,inside,,dentro
179,,,,outside,fora
180,,,,exterior,exterior
181,,,,out,DUPLICATE_fora
183,L10_29,antonyms - binary,interior,,interior
184,,,,exterior,exterior
185,,,,outdoor,externo
186,,,,out-of-door,DUPLICATE_exterior
187,,,,outside,fora
189,L10_30,antonyms - binary,internal,,interno
190,,,,external,externo
191,,,,outer,DUPLICATE_exterior
192,,,,outside,exterior
194,L10_31,antonyms - binary,inverse,,inverso
201,L10_32,antonyms - binary,mortal,,mortal
202,,,,immortal,imortal
204,L10_33,antonyms - binary,occupied,,ocupado
205,,,,vacant,vago
206,,,,free,livre
208,L10_34,antonyms - binary,off,,desligado
209,,,,on,ligado
211,L10_35,antonyms - binary,out,,fora
212,,,,in,dentro
213,,,,inside,interior
215,L10_36,antonyms - binary,outward,,para_fora
216,,,,upward,para_cima
217,,,,up,cima
218,,,,upwards,DUPLICATE_para_cima
219,,,,,ascendente
220,L10_37,antonyms - binary,over,,sobre
221,,,,under,debaixo_de
222,,,,below,abaixo_de
223,,,,beneath,abaixo
224,,,,,sob
225,L10_38,antonyms - binary,previously,,anteriormente
226,,,,subsequently,subsequentemente
227,,,,later,mais_tarde
228,,,,afterwards,depois
229,,,,afterward,DUPLICATE_depois
230,,,,after,após
231,,,,subsequent,subsequente
233,L10_39,antonyms - binary,proceed,,seguir
234,,,,retreat,retirar
235,,,,return,retornar
236,,,,,"retroceder,recuar,regressar"
237,L10_40,antonyms - binary,rise,,elevar
238,,,,sink,afundar
239,,,,drop,tombar
240,,,,fall,cair
242,L10_41,antonyms - binary,south,,sul
243,,,,north,norte
245,L10_42,antonyms - binary,southeast,,sudeste
246,,,,southwest,sudoeste
247,,,,northeast,nordeste
249,L10_43,antonyms - binary,submerge,,imergir
250,,,,emerge,emergir
252,L10_44,antonyms - binary,top,,cimo
253,,,,bottom,fundo
254,,,,underside,inferior
255,,,,undersurface,DUPLICATE_inferior
257,L10_45,antonyms - binary,toward,,em_direção
258,,,,away,longe
259,,,,off,DUPLICATE_longe
260,,,,forth,NO_TRANSLATION
261,,,,aside,à_parte
262,,,,,de_parte
263,L10_46,antonyms - binary,True,,verdadeiro
264,,,,False,falso
265,,,,incorrect,incorreto
266,,,,wrong,errado
267,,,,mistaken,enganado
269,L10_47,antonyms - binary,under,,sob
270,,,,over,sobre
271,,,,above,por_cima
272,,,,up,cima
274,L10_48,antonyms - binary,up,,cima
275,,,,down,baixo
276,,,,downwards,para_baixo
277,,,,downward,descendente
278,,,,downwardly,DUPLICATE_para_baixo
280,L10_49,antonyms - binary,uphill,,subida
281,,,,downhill,descida
282,,,,decline,declínio
283,,,,fall,queda
284,,,,declivitous,declive
285,,,,downward-sloping,inclinado_para_baixo
287,L10_50,antonyms - binary,west,,oeste
288,,,,east,este
