,ID,Relation,Source,Target,PT
146,,,,atomic_number_1,número_atómico_1
147,,,,atomic_number_8,número_atómico_8
148,,,,h,H
149,,,,o,O
151,L04_26,meronyms - substance,icicle,,pingente_de_gelo
152,,,,ice,gelo
153,,,,water,água
155,L04_27,meronyms - substance,jam,,compota
156,,,,fruit,fruta
157,,,,sugar,açúcar
158,,,,berries,bagas
160,L04_28,meronyms - substance,jeans,,calças_de_ganga
161,,,,fabric,tecido
162,,,,denim,ganga
164,L04_29,meronyms - substance,lawn,,relvado
165,,,,grass,"relva,_erva"
167,L04_30,meronyms - substance,lens,,lente
168,,,,glass,vidro
169,,,,plastic,plástico
171,L04_31,meronyms - substance,mirror,,espelho
172,,,,glass,vidro
173,,,,bronze,bronze
175,L04_32,meronyms - substance,money,,dinheiro
176,,,,paper,papel
177,,,,metal,metal
178,,,,silver,prata
179,,,,gold,ouro
180,,,,iron,ferro
181,,,,copper,cobre
182,,,,tin,estanho
184,L04_33,meronyms - substance,ocean,,oceano
185,,,,water,água
187,L04_34,meronyms - substance,omelette,,omelete
188,,,,eggs,ovos
189,,,,egg,ovo
190,,,,milk,leite
191,,,,cheese,queijo
193,L04_35,meronyms - substance,pastry,,bolo
194,,,,flour,farinha
195,,,,egg,ovo
196,,,,butter,manteiga
197,,,,filling,recheio
199,L04_36,meronyms - substance,penny,,moeda
200,,,,metal,metal
201,,,,alloy,liga
202,,,,bronze,bronze
203,,,,nickel,níquel
204,,,,zinc,zinco
205,,,,copper,cobre
206,,,,tin,estanho
208,L04_37,meronyms - substance,pill,,comprimido
209,,,,medicine,medicamento
210,,,,drug,DUPLICATE_medicamento
212,L04_38,meronyms - substance,plastic,,plástico
213,,,,polymer,polímero
214,,,,oil,petróleo
215,,,,gas,gás
216,,,,coal,carvão
218,L04_39,meronyms - substance,roof,,telhado
219,,,,shingles,telhas_de_madeira
220,,,,tiles,azulejo
221,,,,wood,madeira
222,,,,metal,metal
224,L04_40,meronyms - substance,sea,,mar
225,,,,water,água
227,L04_41,meronyms - substance,snow,,neve
228,,,,water,água
229,,,,oxygen,oxigénio
230,,,,hydrogen,hidrogénio
231,,,,flake,floco
232,,,,ice,gelo
233,,,,snowflake,floco_de_neve
234,,,,snowflakes,flocos_de_neve
235,,,,h2o,H2O
236,,,,atomic_number_1,número_atómico_1
237,,,,atomic_number_8,número_atómico_8
238,,,,h,H
239,,,,o,O
241,L04_42,meronyms - substance,spoon,,colher
242,,,,aluminium,alumínio
243,,,,wood,madeira
244,,,,steel,aço
246,L04_43,meronyms - substance,steel,,aço
247,,,,iron,ferro
248,,,,pearlite,perlite
249,,,,carbon,carbono
250,,,,cementite,cementite
251,,,,ferrite,ferrite
252,,,,iron_carbide,carboneto_ferro
253,,,,fe,Fe
254,,,,atomic_number_26,número_atómico_26
255,,,,alpha_iron,ferro_alfa
257,L04_44,meronyms - substance,table,,mesa
258,,,,wood,madeira
259,,,,metal,metal
260,,,,plastic,plástico
262,L04_45,meronyms - substance,wall,,parede
263,,,,cement,cimento
264,,,,bricks,tijolos
265,,,,stones,pedras
266,,,,rocks,rochas
267,,,,wood,madeira
268,,,,cardboard,papelão
269,,,,board,cartão
270,,,,plank,tábua_grossa
271,,,,clay,argila
272,,,,mud,lama
274,L04_46,meronyms - substance,water,,água
275,,,,oxygen,oxigénio
276,,,,hydrogen,hidrogénio
277,,,,water,água
278,,,,h2o,H2O
279,,,,atomic_number_1,número_atómico_1
280,,,,atomic_number_8,número_atómico_8
281,,,,h,H
282,,,,o,O
284,L04_47,meronyms - substance,wig,,peruca
285,,,,hair,cabelo
287,L04_48,meronyms - substance,wine,,vinho
288,,,,grapes,uvas
289,,,,grape,uva
291,L04_49,meronyms - substance,wire,,arame
292,,,,metal,metal
294,L04_50,meronyms - substance,yogurt,,iogurte
295,,,,milk,leite
