,ID,Relation,Source,Target,FR
178,,,,silver,argent
179,,,,gold,or
180,,,,iron,fer
181,,,,copper,cuivre
182,,,,tin,étain
184,L04_33,meronyms - substance,ocean,,océan
185,,,,water,eau
187,L04_34,meronyms - substance,omelette,,omelette
188,,,,eggs,œufs
189,,,,egg,œuf
190,,,,milk,lait
191,,,,cheese,fromage
193,L04_35,meronyms - substance,pastry,,pâtisserie
194,,,,flour,farine
195,,,,egg,œuf
196,,,,butter,beurre
197,,,,filling,garniture
199,L04_36,meronyms - substance,penny,,penny
200,,,,metal,métal
201,,,,alloy,alliage
202,,,,bronze,bronze
203,,,,nickel,nickel
204,,,,zinc,zinc
205,,,,copper,cuivre
206,,,,tin,étain
208,L04_37,meronyms - substance,pill,,pilule
209,,,,medicine,médicament
210,,,,drug,DUPLICATE_médicament
212,L04_38,meronyms - substance,plastic,,plastique
213,,,,polymer,polymère
214,,,,oil,huile
215,,,,gas,gaz
216,,,,coal,charbon
218,L04_39,meronyms - substance,roof,,toit
219,,,,shingles,bardeaux
220,,,,tiles,tuiles
221,,,,wood,bois
222,,,,metal,métal
224,L04_40,meronyms - substance,sea,,mer
225,,,,water,eau
227,L04_41,meronyms - substance,snow,,neige
228,,,,water,eau
229,,,,oxygen,oxygène
230,,,,hydrogen,hydrogène
231,,,,flake,flocon
232,,,,ice,glace
233,,,,snowflake,flocon_de_neige
234,,,,snowflakes,flocons_de_neige
235,,,,h2o,h2o
236,,,,atomic_number_1,numéro_atomique_1
237,,,,atomic_number_8,nombre_atomique_8
238,,,,h,h
239,,,,o,o
241,L04_42,meronyms - substance,spoon,,cuillère
242,,,,aluminium,aluminium
243,,,,wood,bois
244,,,,steel,acier
246,L04_43,meronyms - substance,steel,,acier
247,,,,iron,fer
248,,,,pearlite,perlite
249,,,,carbon,carbone
250,,,,cementite,cémentite
251,,,,ferrite,ferrite
252,,,,iron_carbide,carbure_de_fer
253,,,,fe,fe
254,,,,atomic_number_26,numéro_atomique_26
255,,,,alpha_iron,alpha_fer
257,L04_44,meronyms - substance,table,,table
258,,,,wood,bois
259,,,,metal,métal
260,,,,plastic,plastique
262,L04_45,meronyms - substance,wall,,mur
263,,,,cement,ciment
264,,,,bricks,briques
265,,,,stones,pierres
266,,,,rocks,roches
267,,,,wood,bois
268,,,,cardboard,carton
269,,,,board,planche
270,,,,plank,DUPLICATE_planche
271,,,,clay,argile
272,,,,mud,boue
274,L04_46,meronyms - substance,water,,eau
275,,,,oxygen,oxygène
276,,,,hydrogen,hydrogène
277,,,,water,eau
278,,,,h2o,h2o
279,,,,atomic_number_1,numéro_atomique_1
280,,,,atomic_number_8,numéro_atomique_8
281,,,,h,h
282,,,,o,o
284,L04_47,meronyms - substance,wig,,perruque
285,,,,hair,cheveux
287,L04_48,meronyms - substance,wine,,vin
288,,,,grapes,raisin
289,,,,grape,DUPLICATE_raisin
291,L04_49,meronyms - substance,wire,,fil_de_fer
292,,,,metal,métal
294,L04_50,meronyms - substance,yogurt,,yaourt
295,,,,milk,lait
