,ID,Relation,Source,Target,HR
158,,,,fix,DUPLICATE_popraviti
159,,,,fixing,popravljanje
160,,,,fixture,popravak
161,,,,mending,saniranje
162,,,,reparation,DUPLICATE_popravak
163,,,,patch,zakrpa
164,,,,darn,DUPLICATE_zakrpa
165,,,,darning,krpanje
166,,,,,krpiti
167,L08_29,synonyms - exact,mesh,,mreža
168,,,,gauze,gaza
169,,,,netting,DUPLICATE_mreža
170,,,,veiling,veo
171,,,,hairnet,mrežica_za_kosu
172,,,,reseau,mrežica
173,,,,net,DUPLICATE_mreža
174,,,,save-all,zaštitna_mreža
175,,,,snood,DUPLICATE_mrežica_za_kosu
176,,,,sparker,NO_TRANSLATION
177,,,,tulle,til
178,,,,wirework,DUPLICATE_mreža
179,,,,grillwork,rešetka
181,L08_30,synonyms - exact,monument,,spomenik
182,,,,memorial,memorijal
184,L08_31,synonyms - exact,mother,,majka
185,,,,mom,mama
186,,,,mommy,mamica
187,,,,mum,DUPLICATE_mama
188,,,,,mater
189,L08_32,synonyms - exact,murder,,ubojstvo
190,,,,slaying,ubijanje
191,,,,slay,DUPLICATE_ubojstvo
192,,,,execution,egzekucija
193,,,,,umorstvo
194,L08_33,synonyms - exact,new,,nov
195,,,,modern,moderan
196,,,,recent,suvremen
198,L08_34,synonyms - exact,obsolete,,zastario
199,,,,outdated,staromodan
200,,,,out-of-date,DUPLICATE_zastario
201,,,,superannuated,DUPLICATE_zastario
203,L08_35,synonyms - exact,organized,,organiziran
204,,,,arranged,uređen
205,,,,configured,konfiguriran
206,,,,corporate,ustrojen
207,,,,incorporated,ugrađen
208,,,,re-formed,reformiran
209,,,,reorganized,preustrojen
210,,,,reorganised,DUPLICATE_preustrojen
211,,,,,reorganiziran
212,L08_36,synonyms - exact,package,,paket
213,,,,parcel,pošiljka
214,,,,pack,DUPLICATE_paket
215,,,,packet,DUPLICATE_paket
216,,,,bundle,svežanj
217,,,,,zamotuljak
218,L08_37,synonyms - exact,phone,,telefon
219,,,,telephone,DUPLICATE_telefon
220,,,,cell,mob
221,,,,cellphone,mobitel
222,,,,smartphone,pametni_telefon
224,L08_38,synonyms - exact,portion,,udio
225,,,,part,dio
226,,,,component_part,sastavni_dio
227,,,,component,komponenta
228,,,,constituent,sastavnica
230,L08_39,synonyms - exact,railway,,željeznica
231,,,,railroad,željeznička_pruga
232,,,,,pruga
233,L08_40,synonyms - exact,rational,,racionalan
234,,,,logical,logičan
235,,,,coherent,koherentan
236,,,,reasonable,razuman
237,,,,sane,razborit
239,L08_41,synonyms - exact,reasonable,,razuman
240,,,,sensible,razborit
242,L08_42,synonyms - exact,rock,,kamen
243,,,,stone,stijena
245,L08_43,synonyms - exact,shore,,obala
246,,,,coast,DUPLICATE_obala
247,,,,strand,žal
248,,,,bank,DUPLICATE_obala
249,,,,beach,plaža
250,,,,,"priobalje,sprud"
251,L08_44,synonyms - exact,snake,,zmija
252,,,,serpent,DUPLICATE_zmija
253,,,,ophidian,DUPLICATE_zmija
254,,,,,guja
255,L08_45,synonyms - exact,sofa,,sofa
256,,,,couch,kauč
257,,,,lounge,divan
259,L08_46,synonyms - exact,spouse,,bračni_drug
260,,,,partner,partner
261,,,,mate,drug
262,,,,better_half,bolja_polovica
263,,,,,družica
264,L08_47,synonyms - exact,style,,stil
265,,,,manner,manira
266,,,,mode,način
267,,,,fashion,moda
268,,,,way,DUPLICATE_način
270,L08_48,synonyms - exact,sweets,,slatkiši
271,,,,confectionery,slastice
272,,,,dessert,desert
273,,,,confection,DUPLICATE_slatkiši
275,L08_49,synonyms - exact,villain,,zlikovac
276,,,,scoundrel,nitkov
277,,,,rascal,lupež
278,,,,,hulja
279,L08_50,synonyms - exact,vocabulary,,vokabular
280,,,,lexicon,leksikon
281,,,,wordbook,DUPLICATE_rječnik
282,,,,dictionary,rječnik
283,,,,glossary,glosar
