,ID,Relation,Source,Target,HR
193,,,,,izvanjski
194,L10_31,antonyms - binary,inverse,,obratan
195,,,,reverse,suprotan
196,,,,reversion,reverzija
197,,,,reversal,obrat
198,,,,turnabout,preokret
199,,,,turnaround,DUPLICATE_preokret
200,,,,,zaokret
201,L10_32,antonyms - binary,mortal,,smrtan
202,,,,immortal,besmrtan
204,L10_33,antonyms - binary,occupied,,zauzet
205,,,,vacant,prazan
206,,,,free,slobodan
208,L10_34,antonyms - binary,off,,isključen
209,,,,on,uključen
211,L10_35,antonyms - binary,out,,izvan
212,,,,in,u
213,,,,inside,unutra
215,L10_36,antonyms - binary,outward,,vanjski
216,,,,upward,uvis
217,,,,up,gore
218,,,,upwards,naviše
220,L10_37,antonyms - binary,over,,preko
221,,,,under,ispod
222,,,,below,podno
223,,,,beneath,pod
225,L10_38,antonyms - binary,previously,,prethodno
226,,,,subsequently,naknadno
227,,,,later,kasnije
228,,,,afterwards,potom
229,,,,afterward,DUPLICATE_potom
230,,,,after,poslije
231,,,,subsequent,naknadan
232,,,,,zatim
233,L10_39,antonyms - binary,proceed,,nastaviti
234,,,,retreat,povući_se
235,,,,return,vratiti_se
237,L10_40,antonyms - binary,rise,,rasti
238,,,,sink,potonuti
239,,,,drop,pasti
240,,,,fall,DUPLICATE_pasti
242,L10_41,antonyms - binary,south,,jug
243,,,,north,sjever
245,L10_42,antonyms - binary,southeast,,jugoistok
246,,,,southwest,jugozapad
247,,,,northeast,sjeveroistok
249,L10_43,antonyms - binary,submerge,,potopiti
250,,,,emerge,pojaviti_se
252,L10_44,antonyms - binary,top,,vrh
253,,,,bottom,dno
254,,,,underside,donja_strana
255,,,,undersurface,donji_dio
257,L10_45,antonyms - binary,toward,,prema
258,,,,away,od
259,,,,off,dalje
260,,,,forth,naprijed
261,,,,aside,postrani
263,L10_46,antonyms - binary,True,,točno
264,,,,False,netočno
265,,,,incorrect,DUPLICATE_netočno
266,,,,wrong,pogrešno
267,,,,mistaken,DUPLICATE_pogrešno
269,L10_47,antonyms - binary,under,,ispod
270,,,,over,preko
271,,,,above,iznad
272,,,,up,gore
274,L10_48,antonyms - binary,up,,gore
275,,,,down,dolje
276,,,,downwards,niz
277,,,,downward,DUPLICATE_niz
278,,,,downwardly,DUPLICATE_dolje
279,,,,,nadolje
280,L10_49,antonyms - binary,uphill,,uzbrdo
281,,,,downhill,nizbrdo
282,,,,decline,opadanje
283,,,,fall,pad
284,,,,declivitous,DUPLICATE_nizbrdo
285,,,,downward-sloping,NO_TRANSLATION
287,L10_50,antonyms - binary,west,,zapad
288,,,,east,istok
