,ID,Relation,Source,Target,IT
251,,,,presbytery,presbiterio
252,,,,side_chapel,cappella_laterale
253,,,,lady_chapel,cappella_della_Madonna
254,,,,church_tower,campanile
255,,,,rood_screen,pontile
256,,,,amen_corner,NO_TRANSLATION
258,L06_12,meronyms - part,comb,,pettine
259,,,,teeth,denti
260,,,,shaft,asta
261,,,,grip,presa
262,,,,tooth,dente
263,,,,handle,manico
265,L06_13,meronyms - part,day,,giorno
266,,,,hour,ora
267,,,,forenoon,DUPLICATE_mattina
268,,,,eventide,DUPLICATE_sera
269,,,,nanosecond,nanosecondo
270,,,,noonday,DUPLICATE_mezzogiorno
271,,,,femtosecond,femtosecondo
272,,,,hr,DUPLICATE_ora
273,,,,minutes,minuti
274,,,,microsecond,microsecondo
275,,,,msec,DUPLICATE_millisecondo
276,,,,time,tempo
277,,,,midnight,mezzanotte
278,,,,sec,secondo
279,,,,nighttime,DUPLICATE_notte
280,,,,min,DUPLICATE_minuto
281,,,,morning,mattina
282,,,,noon,mezzogiorno
283,,,,evening,sera
284,,,,dark,scuro
285,,,,picosecond,picosecondo
286,,,,daytime,DUPLICATE_giorno
287,,,,minute,minuto
288,,,,daylight,luce_del_giorno
289,,,,s,DUPLICATE_secondo
290,,,,high,alto
291,,,,even,anche
292,,,,quarter,quarto
293,,,,morn,DUPLICATE_mattina
294,,,,noontide,DUPLICATE_mezzogiorno
295,,,,second,DUPLICATE_secondo
296,,,,afternoon,pomeriggio
297,,,,twelve,dodici
298,,,,millisecond,millisecondo
299,,,,midday,DUPLICATE_mezzogiorno
300,,,,midafternoon,DUPLICATE_mezzogiorno
301,,,,attosecond,attosecondo
302,,,,night,notte
303,,,,morning_time,DUPLICATE_mattina
304,,,,high_noon,DUPLICATE_mezzogiorno
305,,,,half-hour,mezz'ora
306,,,,twelve_noon,DUPLICATE_mezzogiorno
307,,,,late-night_hour,ora_tarda
308,,,,early-morning_hour,ora_del_mattino_presto
309,,,,lights-out,luci_spente
310,,,,60_minutes,60_minuti
311,,,,small_hours,ore_piccole
312,,,,30_minutes,30_minuti
313,,,,15_minutes,15_minuti
314,,,,quarter-hour,quarto_d'ora
316,L06_14,meronyms - part,deer,,cervo
317,,,,antler,corno
318,,,,antlers,corna
319,,,,withers,garrese
320,,,,flag,bandiera
321,,,,scut,coda_corta
323,L06_15,meronyms - part,dollar,,dollaro
324,,,,cent,centesimo
326,L06_16,meronyms - part,door,,porta
327,,,,hinge,cardine
328,,,,keyhole,buco_della_serratura
329,,,,threshold,ingresso
330,,,,doorframe,stipite_della_porta
331,,,,bolt,catenaccio
332,,,,deadbolt,serratura_di_sicurezza
333,,,,doorjamb,stipite
334,,,,tumbler,interruttore
335,,,,doorpost,DUPLICATE_stipite
336,,,,doorstep,soglia_d'ingresso
337,,,,doorcase,telaio_della_porta
338,,,,case,DUPLICATE_stipite_della_porta
339,,,,lock,serratura
340,,,,casing,infisso
341,,,,doorsill,soglia
343,L06_17,meronyms - part,dress,,vestito
344,,,,sleeve,manica
345,,,,slide,ciabatta
346,,,,plastron,piastrone
347,,,,zip,zip
348,,,,zipper,DUPLICATE_zip
349,,,,fastener,cerniera
350,,,,hemline,orlo_della_gonna
351,,,,bodice,corsetto
352,,,,neckline,scollatura
353,,,,waistline,girovita
354,,,,belt,cintura
355,,,,slide_fastener,chiusura_a_scorrimento
356,,,,zip_fastener,chiusura_lampo
358,L06_18,meronyms - part,filename,,nome_del_file
359,,,,extension,estensione
360,,,,name,nome
362,L06_19,meronyms - part,flower,,fiore
363,,,,petal,petalo
364,,,,leaf,foglia
365,,,,anther,antera
366,,,,style,stile
367,,,,perianth,perianzio
368,,,,placenta,placenta
369,,,,stamen,stame
370,,,,pistil,pistillo
371,,,,ovary,ovario
372,,,,corolla,corolla
373,,,,carpel,carpello
374,,,,envelope,busta
375,,,,sepal,sepalo
376,,,,calyx,calice
377,,,,stigma,stigma
378,,,,chlamys,clamide
379,,,,petals,petali
380,,,,corona,DUPLICATE_corolla
381,,,,perigonium,perigonio
382,,,,perigone,DUPLICATE_perigonio
383,,,,flower_petal,petalo_del_fiore
384,,,,floral_leaf,foglia_floreale
385,,,,floral_envelope,busta_floreale
389,L06_20,meronyms - part,gigabit,,gigabit
390,,,,megabit,megabit
391,,,,kbit,kbit
392,,,,kb,kb
393,,,,kilobit,kilobit
394,,,,mb,mb
395,,,,mbit,mbit
397,L06_21,meronyms - part,gramm,,grammo
398,,,,milligram,milligrammo
399,,,,mg,mg
400,,,,grain,grano
401,,,,mcg,mcg
402,,,,carat,carato
403,,,,microgram,microgrammo
404,,,,ng,ng
405,,,,dg,dg
406,,,,decigram,decigrammo
407,,,,nanogram,nanogrammo
408,,,,metric_grain,DUPLICATE_grano
409,,,,obolus,obolo
411,L06_22,meronyms - part,guitar,,chitarra
412,,,,string,corda
413,,,,deck,ponte
414,,,,pegs,pioli
415,,,,fret,tasto
416,,,,strings,corde
417,,,,frets,tasti
418,,,,peg,piolo
419,,,,fingerboard,tastiera
421,L06_23,meronyms - part,gun,,pistola
422,,,,trigger,grilletto
423,,,,holder,fondina
424,,,,safety,sicurezza
425,,,,extractor,estrattore
426,,,,clip,piastrina
427,,,,magazine,rivista
428,,,,barrel,canna
429,,,,hammer,martello
430,,,,viewfinder,mirino
431,,,,gunsight,DUPLICATE_mirino
432,,,,stock,calcio
433,,,,cartridge,cartuccia
434,,,,remover,DUPLICATE_estrattore
435,,,,chamber,DUPLICATE_canna
436,,,,ejector,eiettore
437,,,,cock,cane
438,,,,catch,catturare
439,,,,finder,telemetro
440,,,,mechanism,meccanismo
441,,,,gunstock,DUPLICATE_calcio
442,,,,lock,sicura
443,,,,action,azione
444,,,,muzzle,volata
445,,,,key,chiave
446,,,,gunlock,DUPLICATE_sicura
447,,,,cartridge_holder,DUPLICATE_cartuccia
448,,,,gun_muzzle,DUPLICATE_volata_della_pistola
449,,,,gun-sight,DUPLICATE_mirino_della_pistola
450,,,,action_mechanism,meccanismo_d'azione
451,,,,gun_chamber,DUPLICATE_canna_della_pistola
452,,,,gun_trigger,DUPLICATE_grilletto_della_pistola
453,,,,firing_mechanism,DUPLICATE_sicura
454,,,,safety_lock,DUPLICATE_sicura
455,,,,cartridge_extractor,estrattore_di_cartucce
456,,,,firing_chamber,canna_da_fuoco
457,,,,cartridge_ejector,eiettore_di_cartucce
458,,,,view_finder,DUPLICATE_mirino
459,,,,cartridge_clip,ricarica
460,,,,gun_barrel,canna_della_pistola
461,,,,safety_catch,DUPLICATE_sicura
462,,,,cartridge_remover,DUPLICATE_estrattore
464,L06_24,meronyms - part,harbor,,porto
465,,,,dock,molo
466,,,,facility,struttura
467,,,,anchorage,ormeggio
468,,,,landing,approdo
469,,,,docking,DUPLICATE_ormeggio
470,,,,dockage,DUPLICATE_ormeggio
471,,,,anchorage_ground,terreno_di_ancoraggio
472,,,,docking_facility,struttura_di_attracco
473,,,,landing_place,posto_di_attracco
474,,,,landing_stage,pontile_di_attracco
476,L06_25,meronyms - part,jail,,carcere
477,,,,cell,cella
478,,,,cellblock,blocco_di_celle
479,,,,guard,guardia
480,,,,police,polizia
481,,,,prison_cell,cella_del_prigioniero
482,,,,jail_cell,cella_del_carcere
484,L06_26,meronyms - part,jewellery,,gioielleria
485,,,,bead,perlina
486,,,,stone,pietra
487,,,,wire,fil_di_ferro
488,,,,beads,perline
489,,,,gemstone,pietra_preziosa
490,,,,gem,gemma
491,,,,metal,metallo
492,,,,gold,oro
493,,,,silver,argento
494,,,,platina,platino
495,,,,jewel,gioiello
497,L06_27,meronyms - part,litre,,litro
498,,,,millilitre,millilitro
499,,,,cc,cc
500,,,,ml,ml
501,,,,milliliter,DUPLICATE_millilitro
502,,,,cl,cl
503,,,,dl,dl
504,,,,deciliter,decilitro
505,,,,mil,DUPLICATE_millilitro
506,,,,cubic_centimetre,centimetro_cubo
507,,,,centiliter,centilitro
508,,,,decilitre,DUPLICATE_decilitro
509,,,,cubic_centimeter,DUPLICATE_centimetro_cubo
510,,,,centilitre,DUPLICATE_centilitro
511,,,,cubic_millimeter,millimetro_cubo
512,,,,cubic_millimetre,DUPLICATE_millimetro_cubo
514,L06_28,meronyms - part,movie,,film
515,,,,scene,scena
516,,,,subtitles,sottotitoli
517,,,,footage,filmato
518,,,,credit,merito
519,,,,episode,episodio
520,,,,shot,inquadratura
521,,,,sequence,sequenza
522,,,,credits,meriti
523,,,,caption,sottotitolo
525,L06_29,meronyms - part,orthography,,ortografia
526,,,,hyphenation,sillabazione
527,,,,punctuation,punteggiatura
528,,,,punctuation_mark,segno_di_punteggiatura
529,,,,word_division,divisione_in_sillabe
530,,,,spelling,spelling
532,L06_30,meronyms - part,piano,,piano
533,,,,keyboard,tastiera
534,,,,clavier,DUPLICATE_tastiera
535,,,,loud,rumoroso
536,,,,hammer,martello
537,,,,sounding,risonante
538,,,,pedal,pedale
539,,,,sustaining,mantenere
540,,,,soft,DUPLICATE_mantenere
541,,,,fingerboard,DUPLICATE_tastiera
542,,,,soundboard,tavola_armonica
543,,,,action,azione
544,,,,board,imbarco
545,,,,key,chiave
546,,,,fallboard,cover_per_tastiera
547,,,,piano_action,NO_TRANSLATION
548,,,,action_mechanism,meccanismo_d'azione
549,,,,damper_block,blocco_ammortizatore
550,,,,fall-board,DUPLICATE_cover_per_tastiera
551,,,,sounding_board,DUPLICATE_tavola_armonica
552,,,,sustaining_pedal,pedale_di_risonanza
553,,,,loud_pedal,DUPLICATE_pedale_di_risonanza
554,,,,piano_damper,smorzatori
555,,,,piano_keyboard,DUPLICATE_tastiera
556,,,,sound_hole,foro_di_risonanza
557,,,,soft_pedal,pedale_1_corda
559,L06_31,meronyms - part,pie,,torta
560,,,,crust,crosta
561,,,,cheese,formaggio
562,,,,filling,ripieno
563,,,,fruit,frutta
564,,,,apple,mela
565,,,,berries,bacche
566,,,,glazing,spalmare_uovo
567,,,,pastry,pasta
568,,,,icing,glassa
570,L06_32,meronyms - part,poem,,poesia
571,,,,stanza,stanza
572,,,,canto,canto
573,,,,prosody,prosodia
574,,,,rime,brina
575,,,,line,riga
576,,,,rhyme,rima
577,,,,verse,verso
578,,,,poetic_rhythm,ritmo_della_poesia
579,,,,rhythmic_pattern,schema_ritmico
580,,,,verse_line,linea_del_verso
581,,,,line_of_verse,DUPLICATE_linea_del_verso
582,,,,line_of_poetry,DUPLICATE_verso
584,L06_33,meronyms - part,pub,,pub
585,,,,bar,bar
586,,,,barroom,sala_interno
587,,,,taproom,sala_bar
588,,,,saloon,saloon
589,,,,ginmill,distilleria_di_gin
591,L06_34,meronyms - part,radio,,radio
592,,,,receiver,ricevitore
593,,,,tuner,sintonizzatore
594,,,,radio,DUPLICATE_radio
595,,,,demodulator,demodulatore
596,,,,transmitter,trasmettitore
597,,,,detector,detector
598,,,,receiving,DUPLICATE_ricevitore
599,,,,set,set
600,,,,amplifier,amplificatore
601,,,,wireless,wireless
602,,,,radio_transmitter,trasmettitore_radio
603,,,,receiving_set,set_di_ricezione
604,,,,radio_receiver,ricevitore_radio
605,,,,radio_set,set_radio
607,L06_35,meronyms - part,railcar,,automotrice
608,,,,suspension,sospensione
609,,,,cushion,cuscino
610,,,,shock,shock
611,,,,shock_absorber,ammortizzatore
612,,,,suspension_system,sistema_di_sospensione
614,L06_36,meronyms - part,seafront,,lungomare
615,,,,harbor,porto
616,,,,seaport,porto_marittimo
617,,,,dock,molo
618,,,,haven,rifugio
619,,,,anchorage,ormeggio
620,,,,landing,approdo
621,,,,harbour,DUPLICATE_porto
622,,,,dockage,DUPLICATE_ormeggio
623,,,,anchorage_ground,terreno_di_ancoraggio
624,,,,docking_facility,struttura_di_attracco
625,,,,landing_place,posto_di_attracco
626,,,,landing_stage,pontile_di_attracco
628,L06_37,meronyms - part,shilling,,scellino
629,,,,pence,penny
631,L06_38,meronyms - part,shirt,,camicia
632,,,,button,bottone
633,,,,dickie,papillon
634,,,,collar,colletto
635,,,,dickey,DUPLICATE_papillon
636,,,,sleeve,manica
637,,,,buttons,bottoni
638,,,,dicky,DUPLICATE_papillon
639,,,,pocket,tasca
640,,,,shirttail,lembo_della_camicia
641,,,,shirtsleeve,manica_della_camica
642,,,,shirtfront,petto_della_camicia
643,,,,shirt_button,bottone_della_camicia
645,L06_39,meronyms - part,sonata,,sonata
646,,,,movement,movimento
647,,,,psrt,parte
650,L06_40,meronyms - part,staircase,,scala
651,,,,step,passo
652,,,,riser,alzata
653,,,,landing,pianerottolo
654,,,,tread,pedata
655,,,,stair,scalino
656,,,,stairhead,DUPLICATE_pianerottolo
658,L06_41,meronyms - part,sword,,spada
659,,,,blade,lama
660,,,,forte,forte
661,,,,hilt,elsa
662,,,,peak,cima
663,,,,foible,fissazione
664,,,,point,punto
665,,,,pommel,DUPLICATE_elsa
666,,,,haft,impugnatura
667,,,,tip,punta
668,,,,knob,pomo
669,,,,helve,manico
670,,,,knife_edge,lama_del_coltello
671,,,,cutting_edge,bordo_tagliente
673,L06_42,meronyms - part,table,,tavolo
674,,,,tabletop,piano_del_tavolo
675,,,,tableware,stoviglie
676,,,,leg,gamba
677,,,,legs,gambe
679,L06_43,meronyms - part,teapot,,teiera
680,,,,spout,beccuccio
681,,,,handle,manico
682,,,,knob,pomo
683,,,,lid,coperchio
684,,,,body,corpo
685,,,,belly,pancia
686,,,,base,base
687,,,,filter,filtro
688,,,,tea_filter,filtro_del_tè
690,L06_44,meronyms - part,telephone,,telefono
691,,,,receiver,ricevitore
692,,,,mouthpiece,microfono
693,,,,dial,digitare
694,,,,wire,fil_di_ferro
695,,,,screen,schermo
696,,,,display,display
697,,,,telephone_receiver,ricevitore_del_telefono
699,L06_45,meronyms - part,tonne,,tonnellata
700,,,,kilogram,chilogrammo
701,,,,mg,mg
702,,,,gm,Gm
703,,,,hg,hg
704,,,,grain,grano
705,,,,milligram,milligrammo
706,,,,hundredweight,cento_libbre
707,,,,kilo,chilo
708,,,,mcg,mcg
709,,,,dag,dag
710,,,,carat,carato
711,,,,microgram,microgrammo
712,,,,gramme,grammo
713,,,,quintal,quintale
714,,,,ng,ng
715,,,,gram,DUPLICATE_grammo
716,,,,dg,dg
717,,,,g,g
718,,,,kg,kg
719,,,,decigram,decigrammo
720,,,,nanogram,nanogrammo
721,,,,myriagram,miriagrammo
722,,,,centner,DUPLICATE_quintale
723,,,,metric_grain,DUPLICATE_grano
724,,,,myg,myg
725,,,,dekagram,DUPLICATE_decagrammo
726,,,,decagram,decagrammo
727,,,,metric_hundredweight,DUPLICATE_cento_libbre
728,,,,obolus,obolo
729,,,,doppelzentner,DUPLICATE_quintale
730,,,,hectogram,ettogrammo
731,,,,dkg,dkg
733,L06_46,meronyms - part,torso,,torso
734,,,,chest,petto
735,,,,arse,sedere
736,,,,shoulder,spalla
737,,,,bum,DUPLICATE_sedere
738,,,,midriff,diaframma
739,,,,groin,inguine
740,,,,deltoid,deltoide
741,,,,diaphragm,DUPLICATE_diaframma
742,,,,lat,muscolo_grande_dorsale
743,,,,pectoralis,pettorali
744,,,,behind,dietro
745,,,,gluteus,glutei
746,,,,middle,vita
747,,,,stomach,stomaco
748,,,,teres,muscolo_grande_rotondo
749,,,,thorax,torace
750,,,,tush,culo
751,,,,ab,addominale
752,,,,rump,DUPLICATE_sedere
753,,,,breastbone,sterno
754,,,,buns,natiche
755,,,,gladiolus,gladiolo
756,,,,haunch,anca
757,,,,backside,lato_di_dietro
758,,,,buttocks,DUPLICATE_sedere
759,,,,serratus,muscolo_dentato_anteriore
760,,,,pectoral,pettorale
761,,,,stern,DUPLICATE_sterno
762,,,,navel,ombelico
763,,,,paunch,ventre
764,,,,seat,DUPLICATE_sedere
765,,,,mediastinum,mediastino
766,,,,ass,DUPLICATE_culo
767,,,,axilla,ascella
768,,,,back,DUPLICATE_dietro
769,,,,belly,pancia
770,,,,bottom,basso
771,,,,omphalos,onfalo
772,,,,fundament,fondamento
773,,,,acromion,processo_acromiale
774,,,,derriere,didietro
775,,,,hindgut,intestino_caudale
776,,,,gut,panzone
777,,,,gallbladder,cistifellea
778,,,,saddle,sella
779,,,,cheek,guancia
780,,,,waist,DUPLICATE_vita
781,,,,butt,DUPLICATE_culo
782,,,,bowel,intestino
783,,,,keister,DUPLICATE_sedere
784,,,,bellybutton,DUPLICATE_ombelico
785,,,,pectus,DUPLICATE_petto
786,,,,prat,scemo
787,,,,loins,regione_lombare
788,,,,abdominal,DUPLICATE_addominale
789,,,,rear,DUPLICATE_dietro
790,,,,dorsum,dorso
791,,,,posterior,posteriore
792,,,,venter,DUPLICATE_ventre
793,,,,small,piccolo
794,,,,abdomen,addome
795,,,,umbilicus,DUPLICATE_ombelico
796,,,,armpit,DUPLICATE_ascella
797,,,,waistline,giro_vita
798,,,,sternum,DUPLICATE_sterno
799,,,,scapula,scapola
800,,,,glute,gluteo
801,,,,manubrium,manubrio
802,,,,fanny,chiappe
803,,,,side,lato
804,,,,midsection,sezione_di_mezzo
805,,,,pecs,DUPLICATE_pettorali
806,,,,hip,DUPLICATE_anca
807,,,,buttock,DUPLICATE_sedere
808,,,,intestine,DUPLICATE_intestino
809,,,,breast,seno
810,,,,can,DUPLICATE_sedere
811,,,,tail,coda
812,,,,hindquarters,zampe_posteriori
813,,,,xiphoid_process,processo_xifoideo
814,,,,thoracic_vertebra,vertebra_toracica
815,,,,abdominal_wall,muro_addominale
816,,,,musculus_deltoideus,miscolo_deltoide
817,,,,abdominal_cavity,cavità_addominale
818,,,,arteria_circumflexa_scapulae,arteria_circonflessa_della_scapola
819,,,,arteria_glutes,arteria_glutea
820,,,,arteria_axillaris,arteria_ascellare
821,,,,axillary_fossa,regione_ascellare
822,,,,arteria_colica,arteria_colica
823,,,,articulatio_humeri,articolazione_dell'omero
824,,,,shoulder_joint,giuntura_della_spalla
825,,,,gall_bladder,DUPLICATE_cistifellea
826,,,,spare_tire,pancetta
827,,,,arteria_circumflexa_humeri,arteria_circonflessa_dell'omero
828,,,,serratus_muscles,muscoli_dentati
829,,,,axillary_artery,DUPLICATE_arteria_ascellare
830,,,,gluteus_muscle,muscolo_glutei
831,,,,love_handle,maniglie_dell'amore
832,,,,latissimus_dorsi,DUPLICATE_muscolo_grande_dorsale
833,,,,pectoral_muscle,muscolo_pettorale
834,,,,tooshie,DUPLICATE_sedere
835,,,,abdominal_muscle,muscolo_addominale
836,,,,circumflex_humeral_artery,DUPLICATE_arteria_circonflessa_dell'omero
837,,,,abdominal_aorta,aorta_addominale
838,,,,vena_thoracica,vena_toracica
839,,,,musculus_pectoralis,DUPLICATE_muscolo_pettorale
840,,,,hypochondrium,ipocondrio
841,,,,area_of_cardiac_dullness,cuore_polmonare
842,,,,glenoid_cavity,cavità_glenoidea
843,,,,rib_cage,gabbia_toracica
844,,,,thoracic_aorta,aorta_toracica
845,,,,omphalus,DUPLICATE_onfalo
846,,,,circumflex_scapular_artery,DUPLICATE_arteria_circonflessa_della_scapola
847,,,,acromial_process,DUPLICATE_processo_acromiale
848,,,,shoulder_bone,osso_della_spalla
849,,,,tail_end,fine_della_coda
850,,,,rear_end,estremità_posteriore
851,,,,gluteal_muscle,muscolo_gluteo
852,,,,inguen,DUPLICATE_inguine
853,,,,shoulder_blade,DUPLICATE_scapola
854,,,,rotator_cuff,cuffia_dei_rotatori
855,,,,corpus_sternum,DUPLICATE_sterno
856,,,,dorsal_vertebra,vertebra_dorsale
857,,,,teres_muscle,muscolo_rotondo
858,,,,thoracic_cavity,cavità_toracica
859,,,,axillary_cavity,cavità_ascellare
860,,,,chest_cavity,DUPLICATE_cavità_toracica
861,,,,deltoid_muscle,muscolo_deltoide
862,,,,belly_button,DUPLICATE_ombelico
863,,,,gluteal_artery,DUPLICATE_arteria_glutea
864,,,,thoracic_vein,DUPLICATE_vena_toracica
