,ID,Relation,Source,Target,MK
191,,,,movie_camera,DUPLICATE_филмска_камера
192,,,,cine-camera,DUPLICATE_филмска_камера
193,,,,point-and-shoot_camera,DUPLICATE_NO_TRANSLATION
194,,,,point-and-shoot,DUPLICATE_NO_TRANSLATION
195,,,,polaroid_camera,полароид_камера
196,,,,polaroid_land_camera,DUPLICATE_NO_TRANSLATION
197,,,,polaroid,полароид
198,,,,portrait_camera,DUPLICATE_NO_TRANSLATION
199,,,,reflex_camera,DUPLICATE_NO_TRANSLATION
200,,,,webcam,веб_камера
201,,,,webcamera,DUPLICATE_веб_камера
202,,,,sound_camera,DUPLICATE_NO_TRANSLATION
204,L03_9,hyponyms - misc,candy,,бонбони
205,,,,lollipop,лижавче
206,,,,candy_bar,NO_TRANSLATION
207,,,,carob_bar,DUPLICATE_NO_TRANSLATION
208,,,,hard_candy,тврди_бонбони
209,,,,brandyball,гриоте
210,,,,patty,DUPLICATE_NO_TRANSLATION
211,,,,bonbon,бонбона
212,,,,brittle,кршлив
213,,,,toffee,тофи
214,,,,toffy,DUPLICATE_тофи
215,,,,butterscotch,DUPLICATE_NO_TRANSLATION
216,,,,candy_cane,DUPLICATE_NO_TRANSLATION
217,,,,candy_corn,DUPLICATE_NO_TRANSLATION
218,,,,caramel,карамела
219,,,,cotton_candy,памук_шеќер
220,,,,spun_sugar,DUPLICATE_NO_TRANSLATION
221,,,,candyfloss,шеќерна_волна
222,,,,dragee,дражеи
223,,,,fondant,фондан
224,,,,fudge,DUPLICATE_NO_TRANSLATION
225,,,,gumdrop,DUPLICATE_NO_TRANSLATION
226,,,,honey_crisp,DUPLICATE_NO_TRANSLATION
227,,,,mint,ментол
228,,,,mint_candy,ментол_бонбона
229,,,,horehound,пчелинок
230,,,,jelly_bean,DUPLICATE_NO_TRANSLATION
231,,,,jelly_egg,DUPLICATE_NO_TRANSLATION
232,,,,kiss,бакнеж
233,,,,candy_kiss,целувки
234,,,,licorice,сладунец
235,,,,liquorice,DUPLICATE_сладунец
236,,,,life_saver,DUPLICATE_NO_TRANSLATION
237,,,,sucker,DUPLICATE_лижавче
238,,,,all-day_sucker,DUPLICATE_NO_TRANSLATION
239,,,,lozenge,пастила
240,,,,marshmallow,бел_слез
241,,,,marzipan,марципан
242,,,,marchpane,DUPLICATE_NO_TRANSLATION
243,,,,nougat,нугат
244,,,,nougat_bar,DUPLICATE_нугат
245,,,,nut_bar,оревовка
246,,,,peanut_bar,DUPLICATE_NO_TRANSLATION
247,,,,popcorn_ball,DUPLICATE_NO_TRANSLATION
248,,,,praline,пралини
249,,,,rock_candy,DUPLICATE_NO_TRANSLATION
250,,,,rock,DUPLICATE_NO_TRANSLATION
251,,,,sugar_candy,шеќерлема
252,,,,sugarplum,DUPLICATE_NO_TRANSLATION
253,,,,taffy,DUPLICATE_NO_TRANSLATION
254,,,,truffle,тартуф
255,,,,chocolate_truffle,DUPLICATE_NO_TRANSLATION
256,,,,turkish_delight,локум
257,,,,easter_egg,велигденско_јајце
259,L03_10,hyponyms - misc,car,,кола
260,,,,limousine,лимузина
261,,,,convertible,кабриолет
262,,,,ambulance,амбулантно_возило
263,,,,beach,плажа
264,,,,wagon,приколка
265,,,,station,станица
266,,,,estate,"посед,_недвижност"
267,,,,waggon,вагон
268,,,,bus,автобус
269,,,,jalopy,NO_TRANSLATION
270,,,,heap,DUPLICATE_NO_TRANSLATION
271,,,,cab,такси
272,,,,hack,DUPLICATE_NO_TRANSLATION
273,,,,taxi,DUPLICATE_такси
274,,,,taxicab,DUPLICATE_такси
275,,,,compact,компакт
276,,,,coupe,купе
277,,,,cruiser,крстосувач
278,,,,police,полициска_кола
279,,,,patrol,патрола
280,,,,prowl,ганѕа
281,,,,squad,"ескадрон,_табор"
282,,,,electric,електрино
283,,,,hardtop,DUPLICATE_NO_TRANSLATION
284,,,,hatchback,хечбек
285,,,,hot-rod,DUPLICATE_NO_TRANSLATION
286,,,,jeep,џип
287,,,,landrover,лендровер
288,,,,limo,DUPLICATE_лимузина
289,,,,loaner,DUPLICATE_NO_TRANSLATION
290,,,,minicar,DUPLICATE_NO_TRANSLATION
291,,,,minivan,миниван
292,,,,model,модел
293,,,,pace,стапка
294,,,,racer,тркач
295,,,,race,трка
296,,,,racing,тркачки
297,,,,roadster,DUPLICATE_NO_TRANSLATION
298,,,,runabout,DUPLICATE_NO_TRANSLATION
299,,,,two-seater,DUPLICATE_NO_TRANSLATION
300,,,,sedan,седан
301,,,,saloon,салон
302,,,,sports,спортски
303,,,,sport,спорт
304,,,,suv,DUPLICATE_NO_TRANSLATION
305,,,,stanley,DUPLICATE_NO_TRANSLATION
306,,,,steamer,пампур
307,,,,stock,залиха
308,,,,subcompact,DUPLICATE_NO_TRANSLATION
309,,,,touring,DUPLICATE_NO_TRANSLATION
310,,,,tourer,DUPLICATE_NO_TRANSLATION
311,,,,used,користен
312,,,,secondhand,половен
314,L03_11,hyponyms - misc,church,,црква
315,,,,chapel,"капела,_параклис"
316,,,,abbey,"егуменија,_опатија"
317,,,,basilica,базилика
318,,,,cathedral,катедрала
319,,,,duomo,NO_TRANSLATION
320,,,,kirk,DUPLICATE_NO_TRANSLATION
322,L03_12,hyponyms - misc,citrus,,агруми
323,,,,lemon,лимон
324,,,,orange,портокал
325,,,,lime,лимета
326,,,,mandarin,мандарина
327,,,,tangerine,DUPLICATE_мандарина
328,,,,yuzu,NO_TRANSLATION
330,L03_13,hyponyms - misc,cloud,,облак
331,,,,thundercloud,NO_TRANSLATION
332,,,,cirrocumulus,цирокумулус
333,,,,cirrostratus,циростратус
334,,,,cirrus,цирус
335,,,,contrail,DUPLICATE_NO_TRANSLATION
336,,,,condensation,кондензација
337,,,,trail,DUPLICATE_NO_TRANSLATION
338,,,,cumulonimbus,кумулонимбус
339,,,,cumulus,кумулус
340,,,,nacreous,DUPLICATE_NO_TRANSLATION
341,,,,nebule,DUPLICATE_NO_TRANSLATION
342,,,,nimbus,нимбус
343,,,,rain,дожд
344,,,,storm,бура
345,,,,stratus,стратус
346,,,,mushroom,атомска_печурка
347,,,,smoke,чад
349,L03_14,hyponyms - misc,collar,,"јака,_крагна"
350,,,,choker,NO_TRANSLATION
351,,,,ruff,DUPLICATE_NO_TRANSLATION
352,,,,ruffle,DUPLICATE_NO_TRANSLATION
353,,,,clerical,свештена
354,,,,roman_collar,расо
355,,,,dog_collar,кучешко_ремче
356,,,,eton_collar,DUPLICATE_NO_TRANSLATION
357,,,,rabato_collar,DUPLICATE_NO_TRANSLATION
358,,,,rebato_collar,DUPLICATE_NO_TRANSLATION
359,,,,turtleneck,рол_крагна
360,,,,polo-neck,поло_крагна
361,,,,neckpiece,лента_за_врат
363,L03_15,hyponyms - misc,color,,боја
364,,,,white,бел
365,,,,black,црн
366,,,,blue,син
367,,,,green,зелен
368,,,,red,црвен
369,,,,yello,жолт
370,,,,orange,портокалов
371,,,,vermilion,NO_TRANSLATION
372,,,,amber,килибар
373,,,,chartreuse,DUPLICATE_NO_TRANSLATION
374,,,,teal,DUPLICATE_NO_TRANSLATION
375,,,,violet,виолетов
376,,,,magenta,магента
377,,,,rose,розов
378,,,,azure,светлосин
379,,,,cyan,цијан
380,,,,indigo,индиго
381,,,,purple,пурпурен
382,,,,brown,кафен
385,L03_16,hyponyms - misc,computer,,компјутер
386,,,,laptop,лаптоп
387,,,,desktop,десктоп
388,,,,tablet,таблет
389,,,,smartphone,паметен_телефон
390,,,,supercomputer,суперкомпјутер
391,,,,iphone,iPhone
392,,,,ipad,iPad
394,L03_17,hyponyms - misc,container,,контејнер
465,L03_18,hyponyms - misc,cookware,,прибор_за_готвење
509,L03_21,hyponyms - misc,cutlery,,есцајг
510,,,,knife,нож
511,,,,fork,виљушка
512,,,,spoon,лажица
513,,,,tablefork,NO_TRANSLATION
514,,,,teaspoon,кафена_лажичка
515,,,,dessert_spoon,десертна_лажичка
516,,,,salad_fork,виљушка_за_салата
517,,,,carving_fork,DUPLICATE_NO_TRANSLATION
519,L03_22,hyponyms - misc,dessert,,десерт
601,L03_23,hyponyms - misc,dress,,облеки
626,L03_24,hyponyms - misc,drum,,тапан
645,L03_25,hyponyms - misc,emotion,,"чувство,_емоција"
910,L03_26,hyponyms - misc,flask,,матарка
961,L03_29,hyponyms - misc,jewel,,накит
962,,,,diamond,дијамант
963,,,,ruby,рубин
964,,,,pearl,бисер
965,,,,emerald,смарагд
966,,,,sapphire,сафир
968,L03_30,hyponyms - misc,jewelry,,накит
969,,,,bracelet,бразлетна
970,,,,bead,"монистро,_монивце"
971,,,,bijou,бижутерија
972,,,,bling,NO_TRANSLATION
973,,,,bling_bling,DUPLICATE_NO_TRANSLATION
974,,,,bangle,"алка,_белегзија"
975,,,,clip,спојница
976,,,,cufflink,DUPLICATE_NO_TRANSLATION
977,,,,earring,"обетка,_менѓуша"
978,,,,jewel,накит
979,,,,gem,скапоцен_камен
980,,,,precious_stone,драгоцен_камен
981,,,,necklace,ѓердан
982,,,,pin,игличка
983,,,,ring,прстен
984,,,,band,појас
985,,,,tie_clip,штипка_за_вратоврска
986,,,,bugle,DUPLICATE_NO_TRANSLATION
987,,,,anklet,ланче_за_глужд
988,,,,ankle_bracelet,бразлетна_за_глужд
989,,,,armilla,DUPLICATE_NO_TRANSLATION
990,,,,pendant_earring,висечки_обетки
991,,,,drop_earring,обетки_капки
992,,,,eardrop,солза
993,,,,crown_jewel,кралски_накит
994,,,,diamond,дијамант
995,,,,emerald,смарагд
996,,,,pearl,бисер
997,,,,ruby,рубин
998,,,,sapphire,сафир
999,,,,solitaire,DUPLICATE_NO_TRANSLATION
1000,,,,chain,синџир
1001,,,,string,врвца
1002,,,,strand,DUPLICATE_NO_TRANSLATION
1003,,,,choker,DUPLICATE_NO_TRANSLATION
1004,,,,collar,јака
1005,,,,dog_collar,кучешко_ремче
1006,,,,neckband,лента_за_врат
1007,,,,brooch,брош
1008,,,,broach,DUPLICATE_NO_TRANSLATION
1009,,,,breastpin,штипка
1010,,,,scatter_pin,игла
1011,,,,stickpin,украсна_игла
1012,,,,tie_tack,копче_за_манжетна
1013,,,,tiepin,игла_за_вратоврска
1014,,,,scarfpin,игла_за_шамија
1015,,,,annulet,DUPLICATE_NO_TRANSLATION
1016,,,,engagement_ring,веренички_прстен
1017,,,,mourning_ring,DUPLICATE_NO_TRANSLATION
1018,,,,ringlet,DUPLICATE_NO_TRANSLATION
1019,,,,signet_ring,DUPLICATE_NO_TRANSLATION
1020,,,,seal_ring,DUPLICATE_NO_TRANSLATION
1021,,,,wedding_ring,бурма
1022,,,,wedding_band,DUPLICATE_NO_TRANSLATION
1023,,,,ice,мраз
1024,,,,sparkler,жижица
1025,,,,seed_pearl,DUPLICATE_NO_TRANSLATION
1026,,,,sunburst,DUPLICATE_NO_TRANSLATION
1037,L03_32,hyponyms - misc,month,,месец
1038,,,,january,јануари
1039,,,,february,февруари
1040,,,,march,март
1041,,,,april,април
1042,,,,may,мај
1043,,,,june,јуни
1044,,,,july,јули
1045,,,,august,август
1046,,,,september,септември
1047,,,,october,октомври
1048,,,,november,ноември
1049,,,,december,декември
1050,,,,jan,DUPLICATE_јануари
1051,,,,feb,DUPLICATE_февруари
1052,,,,mar,DUPLICATE_март
1053,,,,apr,DUPLICATE_април
1054,,,,jun,DUPLICATE_јуни
1055,,,,jul,DUPLICATE_јули
1056,,,,aug,DUPLICATE_август
1057,,,,sep,DUPLICATE_септември
1058,,,,oct,DUPLICATE_октомври
1059,,,,nov,DUPLICATE_ноември
1060,,,,dec,DUPLICATE_декември
1553,L03_50,hyponyms - misc,weekday,,ден_во_nedelata
1554,,,,monday,понеделник
1555,,,,workday,работен
1556,,,,working_day,работен_ден
1557,,,,work_day,DUPLICATE_работен_ден
1558,,,,feria,NO_TRANSLATION
1559,,,,mon,DUPLICATE_понеделник
1560,,,,tuesday,вторник
1561,,,,tues,DUPLICATE_вторник
1562,,,,wednesday,среда
1563,,,,midweek,средина_на_неделата
1564,,,,wed,DUPLICATE_среда
1565,,,,thursday,четврток
1566,,,,th,DUPLICATE_четврток
1567,,,,friday,петок
1568,,,,fri,DUPLICATE_петок
1569,,,,saturday,сабота
1570,,,,sabbatum,сабат
1571,,,,sat,DUPLICATE_сабота
