,ID,Relation,Source,Target,SL
169,,,,lousy,slabo
170,,,,maculate,madežno
171,,,,mucky,DUPLICATE_blatno
172,,,,muddy,DUPLICATE_blatno
173,,,,ratty,podganje
174,,,,scummy,neprijeten
175,,,,smudgy,DUPLICATE_umazano
176,,,,snotty,smrkljasto
177,,,,snot-nosed,smrkavec
178,,,,sooty,sajast
179,,,,travel-soiled,DUPLICATE_umazano_od_potovanja
180,,,,travel-stained,umazano_od_potovanja
181,,,,uncleanly,DUPLICATE_nečisto
182,,,,unswept,nepometeno
183,,,,unwashed,neumito
185,L09_9,antonyms - gradable,clear,,jasno
186,,,,vague,dvomljivo
187,,,,obscure,obskurno
188,,,,unclear,nejasno
189,,,,undefined,nedoločljivo
190,,,,indefinable,neenolično
191,,,,undefinable,nedoločno
193,L09_10,antonyms - gradable,close,,blizu
194,,,,distant,oddaljeno
195,,,,remote,DUPLICATE_oddaljeno
196,,,,removed,odstranjeno
197,,,,far,daleč
198,,,,faraway,daleč_stran
200,L09_11,antonyms - gradable,colorful,,barvito
201,,,,colorless,brezbarvno
202,,,,colourless,DUPLICATE_brezbarvno
203,,,,dull,dolgočasno
204,,,,neutral,nevtralno
205,,,,pale,bledo
206,,,,white,belo
207,,,,bleached,pobeljeno
208,,,,faded,zbledelo
209,,,,washed-out,izprano
210,,,,washy,zaprano
211,,,,drab,drap
212,,,,somber,mračno
213,,,,sombre,otožen
214,,,,dulled,otopel
215,,,,greyed,osivelo
216,,,,etiolate,obledel
217,,,,etiolated,DUPLICATE_obledel
218,,,,lurid,grozljiv
219,,,,waxen,povoskano
220,,,,waxlike,kot_povoskano
221,,,,waxy,voskasto
222,,,,whitened,DUPLICATE_pobeljeno
224,L09_12,antonyms - gradable,common,,običajno
225,,,,rare,redko
226,,,,infrequent,nepogosto
227,,,,scarce,DUPLICATE_scarce
228,,,,uncommon,neobičajno
229,,,,extraordinary,izredno
231,L09_13,antonyms - gradable,competent,,kompetenten
232,,,,incompetent,nekompetenten
233,,,,unskilled,nevešč
234,,,,unqualified,nekvalificiran
235,,,,inefficient,neučinkovid
237,L09_14,antonyms - gradable,concerned,,zaskrbljen
238,,,,unconcerned,nezaskrbljen
239,,,,blase,posveten
240,,,,blithe,brezskrben
241,,,,casual,brezbrižen
242,,,,insouciant,malobrižen
243,,,,nonchalant,nonšalantno
244,,,,degage,ravnodušen
245,,,,detached,odsoten
246,,,,uninvolved,nevključen
247,,,,indifferent,indiferenten
248,,,,careless,nepazljiv
249,,,,untroubled,neobremenjen
251,L09_15,antonyms - gradable,cooked,,kuhano
252,,,,raw,surovo
253,,,,half-baked,polpečeno
254,,,,fresh,zveže
255,,,,natural,naravno
256,,,,underdone,nekončano
257,,,,rare,DUPLICATE_surovo
258,,,,uncooked,nekuhano
261,L09_16,antonyms - gradable,dangerous,,nevarno
262,,,,safe,varno
263,,,,fail-safe,odporno
264,,,,risk-free,brez_tveganja
265,,,,riskless,DUPLICATE_brez_tveganja
266,,,,unhazardous,nenevarno
267,,,,safe-and-sound,varno_in_ustrezno
268,,,,unhurt,nepoškodovano
269,,,,harmless,neškodljivo
270,,,,invulnerable,neranljivo
271,,,,secure,DUPLICATE_varno
272,,,,uninjured,DUPLICATE_nepoškodovano
274,L09_17,antonyms - gradable,decisive,,odločno
275,,,,hesitating,obotavljajoče
276,,,,indecisive,neodločno
277,,,,hesitant,odlašajoče
278,,,,inconclusive,nezaključno
279,,,,irresolute,nerešljivo
281,L09_18,antonyms - gradable,dry,,suho
282,,,,wet,mokro
283,,,,bedewed,rosen
284,,,,dewy,kakor_rosa
285,,,,besprent,posut
286,,,,boggy,močvirnat
287,,,,marshy,močviren
288,,,,miry,blaten
289,,,,mucky,umazan
290,,,,muddy,blatno
291,,,,quaggy,NO_TRANSLATION
292,,,,sloppy,drseče
293,,,,sloughy,barjanski
294,,,,soggy,premočeno
295,,,,squashy,moker
296,,,,swampy,močvirno
297,,,,waterlogged,prepojen
298,,,,clammy,vlažen
299,,,,dank,lepljiv
300,,,,damp,DUPLICATE_vlažen
301,,,,dampish,rahlo_vlažno
302,,,,moist,vlažno
303,,,,sodden,premočen
304,,,,soppy,deževen
305,,,,drippy,kapljajoče
306,,,,drizzly,zdrizasto
307,,,,humid,DUPLICATE_vlažno
308,,,,misty,pršeče
309,,,,muggy,soparen
310,,,,steamy,soparno
311,,,,sticky,lepljivo
312,,,,reeking,DUPLICATE_moker
313,,,,watery,vodeno
314,,,,rheumy,DUPLICATE_vlažen
315,,,,showery,plohasto
316,,,,rainy,deževno
317,,,,steaming,parno
318,,,,tacky,DUPLICATE_lepljiv
319,,,,undried,nesuho
320,,,,washed,oprano
322,L09_19,antonyms - gradable,energetic,,energično
323,,,,lethargic,letargično
324,,,,unergetic,neenergično
325,,,,dazed,omamljeno
326,,,,foggy,megleno
327,,,,groggy,omotično
328,,,,logy,težko
329,,,,stuporous,DUPLICATE_omamljeno
330,,,,dreamy,sanjsko
331,,,,lackadaisical,sanjav
332,,,,languid,lenoben
333,,,,languorous,mlahav
334,,,,listless,brezvoljen
335,,,,inactive,neaktivno
337,L09_20,antonyms - gradable,familiar,,znan
338,,,,unfamiliar,neznan
339,,,,strange,čuden
340,,,,unknown,DUPLICATE_neznan
341,,,,unacquainted,neseznanjen
342,,,,foreign,tuj
344,L09_21,antonyms - gradable,fat,,debel
345,,,,thin,suh
346,,,,lean,vitek
347,,,,anorexic,anoreksičen
348,,,,anorectic,anorektičen
349,,,,bony,koščen
350,,,,cadaverous,izmozgan
351,,,,emaciated,izmučen
352,,,,gaunt,mršav
353,,,,haggard,upadel
354,,,,pinched,DUPLICATE_izmozgan
355,,,,skeletal,skeleten
356,,,,wasted,DUPLICATE_izmučen
357,,,,deep-eyed,globokook
358,,,,hollow-eyed,votlook
359,,,,sunken-eyed,potopljenook
360,,,,gangling,visok
361,,,,gangly,tanek
362,,,,lanky,kot_šiba
363,,,,lank,raven
364,,,,spindly,suhljat
365,,,,rawboned,DUPLICATE_koščen
366,,,,reedy,DUPLICATE_vitek
367,,,,reedlike,podoben_trsu
368,,,,twiggy,prekla
369,,,,twiglike,DUPLICATE_kot_šiba
370,,,,scarecrowish,kot_strašilo
371,,,,scraggy,DUPLICATE_koščen
372,,,,boney,DUPLICATE_koščen
373,,,,scrawny,DUPLICATE_mršav
374,,,,skinny,DUPLICATE_mršav
375,,,,underweight,premalo_težak
376,,,,weedy,DUPLICATE_suh
377,,,,shriveled,ovenel
378,,,,shrivelled,DUPLICATE_ovenel
379,,,,shrunken,shujšan
380,,,,withered,shiran
381,,,,wizen,DUPLICATE_suh
382,,,,wizened,uvel
383,,,,slender,DUPLICATE_vitek
384,,,,slight,rahel
385,,,,slim,DUPLICATE_suh
386,,,,svelte,okreten
387,,,,slender-waisted,s_suhim_pasom
388,,,,slim-waisted,tanek_pas
389,,,,wasp-waisted,osin_pas
390,,,,spare,rezerven
391,,,,trim,obložen
392,,,,spindle-legged,dolgokrak
393,,,,spindle-shanked,dolgonog
394,,,,stringy,kitast
395,,,,wiry,mišičast
396,,,,wisplike,lahkoten
397,,,,wispy,droben
399,L09_22,antonyms - gradable,full,,poln
400,,,,empty,prazen
401,,,,bare,gol
402,,,,stripped,slečen
403,,,,blank,DUPLICATE_prazen
404,,,,clean,čist
405,,,,white,bel
406,,,,empty-handed,praznih_rok
407,,,,glassy,steklen
408,,,,glazed,zastekljen
409,,,,lifeless,brez_življenja
410,,,,looted,zaplenjen
411,,,,pillaged,izropan
412,,,,plundered,oropan
413,,,,ransacked,prečesan
414,,,,vacant,na_voljo
415,,,,vacuous,DUPLICATE_prazen
416,,,,void,brez
418,L09_23,antonyms - gradable,gaseous,,plinast
419,,,,solid,čvrst
420,,,,hard,trd
421,,,,coagulated,koaguliran
422,,,,solidified,strjen
423,,,,concrete,beton
424,,,,congealed,kongealiran
425,,,,jelled,želiran
426,,,,jellied,DUPLICATE_želiran
427,,,,dry,suh
428,,,,semisolid,polčvrst
429,,,,solid-state,trdno_stanje
431,L09_24,antonyms - gradable,generous,,velikodušen
432,,,,stingy,škrt
433,,,,beggarly,beraški
434,,,,mean,skopuški
435,,,,cheap,poceni
436,,,,chinchy,bradat
437,,,,chintzy,cenen
438,,,,cheeseparing,stiskaški
439,,,,close,bližnji
440,,,,near,blizu
441,,,,penny-pinching,skopušen
442,,,,skinny,mršav
443,,,,closefisted,zaprtih_pesti
444,,,,hardfisted,trdih_pesti
445,,,,tightfisted,tesnih_pessti
446,,,,grudging,skop
447,,,,niggardly,boren
448,,,,scrimy,DUPLICATE_stiskaški
449,,,,mingy,DUPLICATE_skopuški
450,,,,miserly,bedno
451,,,,tight,tesno
452,,,,parsimonious,varčen
453,,,,penurious,DUPLICATE_boren
454,,,,selfish,sebično
455,,,,uncharitable,nehumanitarno
456,,,,ungenerous,neradodarno
457,,,,meanspirited,skopušno
459,L09_25,antonyms - gradable,happy,,vesel
460,,,,sad,zalosten
461,,,,bittersweet,grenkosladek
462,,,,doleful,osupljiv
463,,,,mournful,žalosten
464,,,,heavyhearted,težkega_srca
465,,,,melancholy,melanholičen
466,,,,melancholic,DUPLICATE_melanholičen
467,,,,pensive,zamišljen
468,,,,wistful,hudomušen
469,,,,tragic,tragičen
470,,,,tragical,DUPLICATE_tragičen
471,,,,tragicomic,tragikomičen
472,,,,tragicomical,DUPLICATE_tragikomičen
473,,,,deplorable,DUPLICATE_žalosten
474,,,,distressing,mučen
475,,,,lamentable,beden
476,,,,pitiful,ubog
477,,,,sorry,oproščajoč
479,L09_26,antonyms - gradable,hard,,trdo
480,,,,soft,mehko
481,,,,mellow,blag
482,,,,brushed,brušen
483,,,,fleecy,iz_flisa
484,,,,napped,dlakav
485,,,,cheeselike,kot_sir
486,,,,compressible,stisljiv
487,,,,squeezable,DUPLICATE_stisljiv
488,,,,cottony,bombažen
489,,,,cushioned,oblazinjen
490,,,,cushiony,blazinast
491,,,,padded,obložen
492,,,,demulcent,pomirjujoč
493,,,,emollient,kremast
494,,,,salving,blažilen
495,,,,softening,zmehčan
496,,,,downy,puhast
497,,,,downlike,dlakast
498,,,,flossy,nitkast
499,,,,fluffy,DUPLICATE_puhast
500,,,,flaccid,lažen
501,,,,flocculent,flokulenten
502,,,,woolly,volnen
503,,,,wooly,DUPLICATE_volnen
504,,,,yielding,zaporeden
505,,,,mushy,kašast
506,,,,overstuffed,prenapolnjen
507,,,,softish,DUPLICATE_mehko
508,,,,semisoft,polmehko
509,,,,spongy,gobasto
510,,,,squashy,DUPLICATE_stisljiv
511,,,,squishy,DUPLICATE_stisljiv
512,,,,spongelike,DUPLICATE_gobasto
513,,,,velvet,žamet
514,,,,velvety,žameten
516,L09_27,antonyms - gradable,hot,,vroče
517,,,,cold,hladno
518,,,,chilly,hladneje
519,,,,frosty,zmrznjeno
520,,,,cool,mrzlo
521,,,,frigid,hladen
523,L09_28,antonyms - gradable,interesting,,zanimivo
524,,,,uninteresting,nezanimivo
525,,,,dull,dolgočasno
526,,,,boring,DUPLICATE_dolgočasno
527,,,,deadening,zelo_dolgočasno
528,,,,ho-hum,dolgočasen
529,,,,irksome,nestrpno
530,,,,slow,počasno
531,,,,tedious,živcirajoče
532,,,,tiresome,naporno
533,,,,wearisome,utrujajoče
534,,,,insipid,nesrečno
535,,,,jejune,ravnodušen
536,,,,narcotic,narkotično
537,,,,soporiferous,uspavalen
538,,,,soporific,uspavajoč
539,,,,prosaic,prozaično
540,,,,prosy,dolgovezen
541,,,,earthbound,zemeljsko
542,,,,ponderous,zamišljen
543,,,,putdownable,zavzemajoče
544,,,,unexciting,nenavdušujoče
545,,,,unstimulating,nestimulajoče
547,L09_29,antonyms - gradable,introvert,,introvertno
548,,,,extravert,ekstrovertno
549,,,,extrovert,DUPLICATE_ekstrovertno
550,,,,outgoing,uživaško
551,,,,extroverted,odprto
552,,,,forthcoming,prihajajoče
553,,,,sociable,družabno
555,L09_30,antonyms - gradable,large,,veliko
556,,,,small,majhno
557,,,,little,malo
558,,,,atomic,atomsko
559,,,,subatomic,subatomsko
560,,,,bantam,droben
561,,,,diminutive,manjši
562,,,,lilliputian,liliputansko
563,,,,midget,pritlikavo
564,,,,petite,DUPLICATE_majhno
565,,,,tiny,drobno
566,,,,flyspeck,majcen
567,,,,bitty,slaboten
568,,,,bittie,DUPLICATE_majcen
569,,,,teensy,majčken
570,,,,teentsy,DUPLICATE_majčken
571,,,,teeny,DUPLICATE_majcen
572,,,,wee,DUPLICATE_majcen
573,,,,weeny,drobcen
574,,,,weensy,DUPLICATE_majčken
575,,,,teensy-weensy,DUPLICATE_majčken
576,,,,teeny-weeny,DUPLICATE_majčken
577,,,,itty-bitty,DUPLICATE_majčken
578,,,,itsy-bitsy,DUPLICATE_majčken
579,,,,dinky,ljubek
580,,,,dwarfish,palčkasto
581,,,,elfin,čaroben
582,,,,elflike,jelenasto
583,,,,gnomish,palčkast
584,,,,half-size,polovično
585,,,,infinitesimal,neskončno_majhno
586,,,,minute,minutno
587,,,,lesser,manjše
588,,,,microscopic,mikroskopsko
589,,,,microscopical,DUPLICATE_mikroskopsko
590,,,,micro,mikro
591,,,,miniature,miniaturno
592,,,,minuscule,miniaturen
593,,,,miniscule,DUPLICATE_miniaturno
594,,,,olive-sized,velikost_olive
595,,,,pocket-size,žepna_velikost
596,,,,pocket-sized,v_žepni_velikosti
597,,,,pocketable,žepno
598,,,,puny,kaznivo
599,,,,runty,DUPLICATE_droben
600,,,,shrimpy,v_velikosti_škampa
601,,,,slender,preklast
602,,,,slim,vitko
603,,,,smaller,DUPLICATE_manjše
604,,,,littler,DUPLICATE_manjše
605,,,,smallish,DUPLICATE_majhno
606,,,,small-scale,majhne_velikosti
607,,,,undersize,premajhna_velikost
608,,,,undersized,premajhne_velikosti
609,,,,,ušiv
610,L09_31,antonyms - gradable,long,,dolg
611,,,,short,kratek
612,,,,abbreviated,okrajšan
613,,,,shortened,skrajšan
614,,,,truncated,okrnjen
615,,,,brief,bežen
616,,,,clipped,odrezan
617,,,,fleeting,minljiv
618,,,,fugitive,ubežen
619,,,,momentaneous,trenuten
620,,,,momentary,DUPLICATE_trenuten
621,,,,short_and_sweet,kratek_in_sladek
622,,,,short-dated,kratkotrajen
623,,,,short-range,kratkega_dosega
624,,,,short-run,kratko-uporaben
625,,,,short-term,kratkoročen
626,,,,close,bližnji
627,,,,curtal,DUPLICATE_kratek
628,,,,sawed-off,odžagan
629,,,,sawn-off,DUPLICATE_odžagan
630,,,,shortish,DUPLICATE_kratek
631,,,,short-snouted,kratkoprsti
632,,,,snub,zavrniti
633,,,,stubby,trmast
634,,,,telescoped,teleskopski
635,,,,truncate,okrniti
636,,,,chunky,čudovit
637,,,,dumpy,luknjast
638,,,,low-set,postavljen_nizko
639,,,,squat,počep
640,,,,squatty,v_počepu
641,,,,stumpy,škralaten
642,,,,compact,kompakten
643,,,,heavyset,obtežen
644,,,,stocky,založen
645,,,,thick,debel
646,,,,thickset,debelo
647,,,,half-length,polovične_dolžine
648,,,,pint-size,velikost_pinta
649,,,,pint-sized,v_velikosti_pinta
650,,,,runty,tekaški
651,,,,short-stalked,DUPLICATE_kratkoprsti
652,,,,squab,debelušen
653,,,,squabby,DUPLICATE_debelušen
655,L09_32,antonyms - gradable,lumpy,,grudast
656,,,,flat,ploščat
657,,,,level,raven
658,,,,plane,ravninski
659,,,,even,cel
661,L09_33,antonyms - gradable,noisy,,hrupen
662,,,,silent,tih
663,,,,uncommunicative,nekomunikacijski
664,,,,dumb,neumen
665,,,,mute,nem
666,,,,inarticulate,neartikuliran
667,,,,unarticulate,nerazumljiv
669,L09_34,antonyms - gradable,normal,,normalen
670,,,,abnormal,nenormalen
671,,,,aberrant,izoblikovan
672,,,,deviant,odstopajoč
673,,,,deviate,odstopiti
674,,,,anomalous,z_anomalijami
675,,,,antidromic,antidromski
676,,,,atypical,atipičen
677,,,,irregular,nepravilen
678,,,,brachydactylic,NO_TRANSLATION
679,,,,brachydactylous,DUPLICATE_NO_TRANSLATION
680,,,,defective,poškodovan
681,,,,freakish,čuden
682,,,,kinky,DUPLICATE_perverzen
683,,,,perverted,preverzen
684,,,,subnormal,manj_normalen
685,,,,supernormal,bolj_normalen
686,,,,vicarious,namestniški
687,,,,unusual,nenavaden
688,,,,exceptional,izjemen
689,,,,insane,nor
690,,,,unnatural,nenaraven
692,L09_35,antonyms - gradable,organized,,organiziran
693,,,,unorganized,neorganiziran
694,,,,unstructured,nestrukturiran
695,,,,uncoordinated,neusklajen
696,,,,unformed,neoblikovan
697,,,,unincorporated,nevsebovan
699,L09_36,antonyms - gradable,pale,,bled
700,,,,tanned,porjavel
701,,,,bronzed,bronast
702,,,,suntanned,sončen
703,,,,brunet,rjavolas
704,,,,brunette,rjavolaska
706,L09_37,antonyms - gradable,rich,,bogat
707,,,,poor,reven
708,,,,broke,brez_vsega
709,,,,bust,propadel
710,,,,skint,suh
711,,,,stone-broke,popolnoma_brez_vsega
712,,,,stony-broke,čisto_brez_vsega
713,,,,destitute,opustošen
714,,,,impoverished,osiromašen
715,,,,indigent,ogorčen
716,,,,necessitous,nujen
717,,,,needy,potreben
718,,,,poverty-stricken,v_revščini
719,,,,hard_up,DUPLICATE_reven
720,,,,impecunious,brezhiben
721,,,,penniless,brez_denarja
722,,,,penurious,boren
723,,,,pinched,stisnjen
724,,,,moneyless,DUPLICATE_brez_denarja
725,,,,unprovided,brez_zaslužka
727,L09_38,antonyms - gradable,sane,,zavedajoč_se
728,,,,crazy,nor
729,,,,loony,norčav
730,,,,looney,DUPLICATE_norčav
731,,,,nutcase,zmešan
732,,,,weirdo,čudaški
733,,,,mad,obnorel
734,,,,insane,zelo_nor
736,L09_39,antonyms - gradable,short,,kratek
737,,,,tall,visok
738,,,,gangling,bingljajoč
739,,,,gangly,DUPLICATE_bingljajoč
740,,,,lanky,mršav
741,,,,rangy,prostran
742,,,,height,višina
743,,,,leggy,dolgonog
744,,,,long-legged,DUPLICATE_dolgonog
745,,,,long-shanked,DUPLICATE_dolgonog
746,,,,tall-growing,visoke_rasti
747,,,,long,dolg
748,,,,long-stalked,dolgopecljati
749,,,,tall-stalked,visokopecljati
750,,,,stately,veličasten
751,,,,statuesque,statusen
752,,,,tallish,višji
754,L09_40,antonyms - gradable,simple,,enostavno
755,,,,difficult,težko
756,,,,challenging,zapleteno
757,,,,hard,trdo
758,,,,complicated,zakomplicirano
759,,,,demanding,zahtevno
760,,,,daunting,zastrašujoče
761,,,,taxing,obdavčeno
763,L09_41,antonyms - gradable,sincere,,iskreno
764,,,,insincere,neiskreno
765,,,,bootlicking,ritolizniško
766,,,,fawning,laskav
767,,,,obsequious,osupljivo
768,,,,sycophantic,sikofantsko
769,,,,toadyish,sluzasto
770,,,,buttery,masleno
771,,,,fulsome,klečeplazen
772,,,,oily,naoljeno
773,,,,oleaginous,oljnat
774,,,,smarmy,masten
775,,,,soapy,milnato
776,,,,unctuous,DUPLICATE_oljnat
777,,,,dissimulative,nestimulativno
778,,,,False,lažno
779,,,,feigned,premišljeno
780,,,,gilded,pozlačeno
781,,,,meretricious,kičast
782,,,,specious,špekulativno
783,,,,hypocritical,hinavsko
784,,,,plausible,verjeten
785,,,,counterfeit,ponarejeno
786,,,,imitative,imitativno
787,,,,dishonest,nepošteno
788,,,,dishonorable,DUPLICATE_nepošteno
789,,,,disingenuous,neresno
790,,,,artful,artistično
791,,,,unreal,neresnično
793,L09_42,antonyms - gradable,slow,,počasno
794,,,,fast,hitro
795,,,,quick,DUPLICATE_hitro
796,,,,accelerated,pospešeno
797,,,,alacritous,živahen
798,,,,blistering,blazen
799,,,,hot,vroče
800,,,,red-hot,rdeče_vroče
801,,,,double-quick,NO_TRANSLATION
802,,,,express,ekspresno
803,,,,fast-breaking,hitro_razbijajoče
804,,,,fast-paced,v_hitrem_tempu
805,,,,fleet,hiter
806,,,,swift,bliskovit
807,,,,high-speed,visoko-hitrostno
808,,,,high-velocity,DUPLICATE_visoko-hitrostno
809,,,,hurrying,hiteti
810,,,,scurrying,dirjanje
811,,,,immediate,takojšnje
812,,,,prompt,DUPLICATE_prompt
813,,,,straightaway,takoj
814,,,,instantaneous,istantno
815,,,,instant,trenutno
816,,,,meteoric,meteorno
817,,,,speedy,pohitreno
818,,,,rapid,DUPLICATE_hitro
819,,,,winged,krilato
820,,,,windy,vetrovno
821,,,,,nagel
822,L09_43,antonyms - gradable,sweet,,sladko
823,,,,sour,kislo
824,,,,acerb,jedek
825,,,,acerbic,grenak
826,,,,astringent,trpek
827,,,,acetose,kisel
828,,,,acetous,DUPLICATE_kisel
829,,,,vinegary,vinsko_kislo
830,,,,vinegarish,DUPLICATE_vinsko_kislo
831,,,,acidic,kislinsko
832,,,,acid,kislina
833,,,,acidulent,kiselkast
834,,,,acidulous,DUPLICATE_kisel
835,,,,lemony,limonino
836,,,,lemonlike,limonsko
837,,,,sourish,DUPLICATE_trpek
838,,,,tangy,oster
839,,,,tart,DUPLICATE_kisel
840,,,,subacid,DUPLICATE_kisel
841,,,,bitter,grenko
843,L09_44,antonyms - gradable,tasty,,okusno
844,,,,tasteless,brez_okusa
845,,,,bland,blago
846,,,,flat,običajno
847,,,,flavorless,DUPLICATE_brez_okusa
848,,,,flavourless,DUPLICATE_brez_okusa
849,,,,insipid,neokusen
850,,,,savorless,nerodno
851,,,,savourless,DUPLICATE_nerodno
852,,,,vapid,prazen
853,,,,unflavored,neokusno
854,,,,unflavoured,DUPLICATE_neokusno
855,,,,nonflavored,DUPLICATE_brez_okusa
856,,,,nonflavoured,DUPLICATE_brez_okusa
857,,,,unsalted,nesoljeno
858,,,,unseasoned,nezačinjeno
859,,,,unappetizing,neapetitno
860,,,,unappetising,DUPLICATE_neapetitno
861,,,,unpalatable,nerazločljivo
863,L09_45,antonyms - gradable,tight,,tesno
864,,,,loose,ohlapno
865,,,,lax,površen
866,,,,baggy,zelo_ohlapno
867,,,,loose-fitting,ohlapno_prilegajoče
868,,,,sloppy,nemaren
869,,,,flyaway,raztresen
870,,,,free,prosto
871,,,,liberal,liberalno
872,,,,informal,neformalno
873,,,,unofficial,neuradno
874,,,,,vetrnjaški
