,ID,Relation,Source,Target,AL
230,,,,after,pas
231,,,,subsequent,pasuese
233,L10_39,antonyms - binary,proceed,,vazhdo
234,,,,retreat,kthehu_mbrapa
235,,,,return,kthim
237,L10_40,antonyms - binary,rise,,ngrihem
238,,,,sink,fundoset
239,,,,drop,DUPLICATE_rënie
240,,,,fall,rënie
242,L10_41,antonyms - binary,south,,jug
243,,,,north,veri
245,L10_42,antonyms - binary,southeast,,juglindje
246,,,,southwest,jupërendim
247,,,,northeast,verilindje
249,L10_43,antonyms - binary,submerge,,zhyt
250,,,,emerge,dal
252,L10_44,antonyms - binary,top,,krye
253,,,,bottom,fund
254,,,,underside,pjesa_e_poshtme
255,,,,undersurface,nën_sipërfaqe
257,L10_45,antonyms - binary,toward,,drejt
258,,,,away,larg
259,,,,off,fikur
260,,,,forth,me_radhë
261,,,,aside,mënjanë
263,L10_46,antonyms - binary,True,,saktë
264,,,,False,pasaktë
265,,,,incorrect,jo_e_saktë
266,,,,wrong,gabim
267,,,,mistaken,DUPLICATE_gabim
269,L10_47,antonyms - binary,under,,nën
270,,,,over,mbi
271,,,,above,sipër
272,,,,up,lart
274,L10_48,antonyms - binary,up,,lart
275,,,,down,poshtë
276,,,,downwards,në_agim
277,,,,downward,DUPLICATE_poshtë
278,,,,downwardly,DUPLICATE_poshtë
280,L10_49,antonyms - binary,uphill,,përpjetë
281,,,,downhill,tatëpjetë
282,,,,decline,rënie
283,,,,fall,bien
284,,,,declivitous,i_pjerrët
285,,,,downward-sloping,me_pjerrësi_poshtë
287,L10_50,antonyms - binary,west,,perëndim
288,,,,east,lindje
