,ID,Relation,Source,Target,AL
98,,,,guard_boat,varkë_e_rojës
99,,,,gunboat,gomone
100,,,,junk,vjeturina
101,,,,longboat,varkë_me_gjatësi
102,,,,lugger,lugë
103,,,,mackinaw,makina
104,,,,mailboat,varkë_postare
105,,,,mail,postë
106,,,,packet,pako
107,,,,motorboat,motobarkë
108,,,,powerboat,varkë_me_motor
109,,,,pilot,pilot
110,,,,police,policia
111,,,,punt,lundër_gjahtarësh
112,,,,river_boat,varkë_lumi
113,,,,scow,maune
114,,,,sea_boat,anije_deti
115,,,,small_boat,varkë_e_vogël
116,,,,steamboat,varkë_me_avull
117,,,,surfboat,varkë_sërfi
118,,,,tender_boat,lundër_furnizimi
119,,,,pinnace,lundër_me_vela
120,,,,cutter_boat,varkë_prerës
121,,,,tugboat,barkë_tërheqëse
122,,,,tug,tërheqje
123,,,,towboat,DUPLICATE_barkë_tërheqëse
124,,,,tower_boat,kullë_barkë
125,,,,yacht,jaht
126,,,,sail,anije_me_vela
127,,,,row,rresht
128,,,,canoe,kanoe
129,,,,kayak,kajak
130,,,,paddle,lopatë_dore
131,,,,paddle_boat,barkë_me_lopatë_dore
133,L03_5,hyponyms - misc,book,,libër
134,,,,paperback,libër_xhepi
135,,,,album,album
136,,,,folio,libër_me_format_të_madh
137,,,,hardback,libër_me_kopertinë_të_fortë
138,,,,hardcover,kopertina_e_fortë
139,,,,journal,ditar
140,,,,novel,novelë
141,,,,order,porosi
142,,,,paper-back,letër-mbrapa
143,,,,softback,libër_me_lidhje_të_butë
144,,,,soft-cover,mbulesë_e_butë
145,,,,picture,fotografi
146,,,,sketchbook,libër_skicash
147,,,,sketch,skicë
148,,,,notebook,fletore
150,L03_6,hyponyms - misc,brush,,furçë
151,,,,toothbrush,furçë_dhëmbësh
152,,,,bottlebrush,shishe_për_furçë
153,,,,bristle,qimefortë
154,,,,clothesbrush,furçë_rrobash
155,,,,hairbrush,furçë_flokësh
156,,,,nailbrush,furçë_thonjsh
157,,,,paintbrush,furçë_vizatimi
158,,,,sable,NO_TRANSLATION
159,,,,scrub,pastrim
160,,,,scrubbing,DUPLICATE_pastrim
161,,,,scrubber,pastrues
162,,,,shaving_brush,furçë_rroje
164,L03_7,hyponyms - misc,burger,,burger
165,,,,hamburger,hamburger
166,,,,cheeseburger,burger_me_djath
167,,,,50,50
168,,,,50_burger,50_burger
169,,,,angus_burger,burger_angusi
170,,,,banquet_burger,burger_banketi
171,,,,barbecue_burger,burger_skare
172,,,,bøfsandwich,NO_TRANSLATION
173,,,,utter_burge,burger_i_plotë
174,,,,buffalo_burger,burger_bualli
175,,,,california_burger,burger_kalifornian
176,,,,chili_burger,burger_i_djegës
177,,,,curry_burger,burger_me_kerri
178,,,,hamdog,DUPLICATE_NO_TRANSLATION
179,,,,salmon_burger,burger_salmoni
180,,,,rice_burger,burger_orizi
181,,,,veggie_burger,burger_vegjetarian
183,L03_8,hyponyms - misc,camera,,kamera
184,,,,camcorder,videokamera
185,,,,box_camera,kamera_kuti
186,,,,box_kodak,kodak_kuti
187,,,,candid_camera,kamerë_e_fshehtë
188,,,,digital_camera,kamera_digjitale
189,,,,flash_camera,flash_kamera
190,,,,motion-picture_camera,kamera_filmike
191,,,,movie_camera,kamerë_filmi
192,,,,cine-camera,kamerë_kinemaje
193,,,,point-and-shoot_camera,kamera_drejto-dhe-xhiro
194,,,,point-and-shoot,drejto-dhe-xhiro
195,,,,polaroid_camera,kamerë_polaroid
196,,,,polaroid_land_camera,kamerë_polaroid_tokësore
197,,,,polaroid,polaroid
198,,,,portrait_camera,portret_kamerë
199,,,,reflex_camera,refleks_kamerë
200,,,,webcam,uebkamera
201,,,,webcamera,DUPLICATE_uebkamera
202,,,,sound_camera,kamerë_zëri
204,L03_9,hyponyms - misc,candy,,karamele;_sheqerkë
205,,,,lollipop,gjel_sheqeri
206,,,,candy_bar,karamele
207,,,,carob_bar,karobë
208,,,,hard_candy,karamele_të_forta
209,,,,brandyball,top_brendi
210,,,,patty,petë
211,,,,bonbon,bonbone
212,,,,brittle,i_brishtë
213,,,,toffee,karamele_me_gjalpë
214,,,,toffy,DUPLICATE_karamele_me_gjalpë
215,,,,butterscotch,gjalpë
216,,,,candy_cane,karamele_kallam
217,,,,candy_corn,karamele_misër
218,,,,caramel,karamel
219,,,,cotton_candy,lëpirëse_pambuku
220,,,,spun_sugar,pe_sheqeri
221,,,,candyfloss,DUPLICATE_karamele
222,,,,dragee,drazhe
223,,,,fondant,krem_sheqeri
224,,,,fudge,krem_karamel
225,,,,gumdrop,NO_TRANSLATION
226,,,,honey_crisp,kërcell_mjalti
227,,,,mint,mentë
228,,,,mint_candy,karamele_mente
229,,,,horehound,DUPLICATE_NO_TRANSLATION
230,,,,jelly_bean,DUPLICATE_karamele
231,,,,jelly_egg,zhele_vezë
232,,,,kiss,puthje
233,,,,candy_kiss,karamele_puthje
234,,,,licorice,DUPLICATE_NO_TRANSLATION
235,,,,liquorice,DUPLICATE_NO_TRANSLATION
236,,,,life_saver,jetë_shpëtues
237,,,,sucker,pinjoll;_piston
238,,,,all-day_sucker,DUPLICATE_NO_TRANSLATION
239,,,,lozenge,karamele_për_fyt
240,,,,marshmallow,DUPLICATE_NO_TRANSLATION
241,,,,marzipan,marcipan
242,,,,marchpane,DUPLICATE_NO_TRANSLATION
243,,,,nougat,hallve
244,,,,nougat_bar,copë_hallve
245,,,,nut_bar,copë_arrore
246,,,,peanut_bar,copë_kikiriku
247,,,,popcorn_ball,topth_i_kokoshkave
248,,,,praline,pralinë
249,,,,rock_candy,karamele_e_fortë
250,,,,rock,DUPLICATE_gjel_sheqeri
251,,,,sugar_candy,sheqer_karamele
252,,,,sugarplum,kumbullë_sheqeri
253,,,,taffy,sheqerkë
254,,,,truffle,tartuf
255,,,,chocolate_truffle,çokollatë_tartuf
256,,,,turkish_delight,embëlsirë_turke
257,,,,easter_egg,vezë_pashkësh
259,L03_10,hyponyms - misc,car,,makinë
260,,,,limousine,limuzinë
261,,,,convertible,e_konvertueshme;_kabriolet
262,,,,ambulance,ambulancë
263,,,,beach,plazhi
264,,,,wagon,vagon
265,,,,station,stacion
266,,,,estate,NO_TRANSLATION
267,,,,waggon,DUPLICATE_vagon
268,,,,bus,autobus
269,,,,jalopy,veturë_e_vjetër
270,,,,heap,grumbull
271,,,,cab,taksi
272,,,,hack,DUPLICATE_taksi
273,,,,taxi,DUPLICATE_taksi
274,,,,taxicab,DUPLICATE_taksi
275,,,,compact,kompakte
276,,,,coupe,kupe
277,,,,cruiser,DUPLICATE_NO_TRANSLATION
278,,,,police,policia
279,,,,patrol,patrullë
280,,,,prowl,shëtitje
281,,,,squad,skuadër
282,,,,electric,elektrike
283,,,,hardtop,kulm_i_fortë
284,,,,hatchback,DUPLICATE_NO_TRANSLATION
285,,,,hot-rod,DUPLICATE_NO_TRANSLATION
286,,,,jeep,xhip
287,,,,landrover,landrover
288,,,,limo,DUPLICATE_limuzinë
289,,,,loaner,huamarrësi
290,,,,minicar,veturë_mini
291,,,,minivan,minibus
292,,,,model,model
293,,,,pace,ritmin
294,,,,racer,vrapues
295,,,,race,gara
296,,,,racing,garim
297,,,,roadster,automobil_sportiv
298,,,,runabout,makinë_e_vogël
299,,,,two-seater,dyvendësh
300,,,,sedan,sedan
301,,,,saloon,sallon
302,,,,sports,sportive
303,,,,sport,sport
304,,,,suv,suv
305,,,,stanley,Stanli
306,,,,steamer,avullore
307,,,,stock,aksioneve
308,,,,subcompact,nënkompakt
309,,,,touring,turne
310,,,,tourer,turist
311,,,,used,të_përdorura
312,,,,secondhand,të_dorës_së_dytë
314,L03_11,hyponyms - misc,church,,kishë
315,,,,chapel,kapelë
316,,,,abbey,abaci
317,,,,basilica,bazilikën
318,,,,cathedral,katedrale
319,,,,duomo,duomo
320,,,,kirk,kishë
322,L03_12,hyponyms - misc,citrus,,agrume
323,,,,lemon,limon
324,,,,orange,portokall
325,,,,lime,limon_i_ithtë
326,,,,mandarin,mandarinë
327,,,,tangerine,DUPLICATE_mandarinë
328,,,,yuzu,NO_TRANSLATION
330,L03_13,hyponyms - misc,cloud,,re
331,,,,thundercloud,re_bubullime
332,,,,cirrocumulus,cirrokumulus
333,,,,cirrostratus,cirrostratus
334,,,,cirrus,cirrus
335,,,,contrail,kontrail
336,,,,condensation,kondensimi
337,,,,trail,gjurmët
338,,,,cumulonimbus,kumulonimbus
339,,,,cumulus,kumulus
340,,,,nacreous,nakreoz
341,,,,nebule,mjegullnajë
342,,,,nimbus,nimbus
343,,,,rain,shiu
344,,,,storm,stuhi
345,,,,stratus,shtresa
346,,,,mushroom,kërpudha
347,,,,smoke,tymi
349,L03_14,hyponyms - misc,collar,,jakë
350,,,,choker,gjerdan_rreth_qafës
351,,,,ruff,jakë_me_pala
352,,,,ruffle,gushore
353,,,,clerical,klerike
354,,,,roman_collar,kollare_romake
355,,,,dog_collar,jakë_qeni
356,,,,eton_collar,eton_jakë
357,,,,rabato_collar,rabato_jakë
358,,,,rebato_collar,rebato_jakë
359,,,,turtleneck,jakë_breshkë
360,,,,polo-neck,polo_qafe
361,,,,neckpiece,qafore
363,L03_15,hyponyms - misc,color,,ngjyrë
364,,,,white,i_bardhë
365,,,,black,e_zezë
366,,,,blue,e_kaltërt
367,,,,green,e_gjelbërt
368,,,,red,e_kuqe
370,,,,orange,e_portokalltë
371,,,,vermilion,vermilion
372,,,,amber,qelibar
373,,,,chartreuse,NO_TRANSLATION
374,,,,teal,ngjyrë_kafe
375,,,,violet,vjollce
376,,,,magenta,magenta
377,,,,rose,trëndafili
378,,,,azure,kaltërosh
379,,,,cyan,cian
380,,,,indigo,indigo
381,,,,purple,vjollcë
382,,,,brown,kafe
383,,,,yellow,e_verdhë
385,L03_16,hyponyms - misc,computer,,kompjuter
386,,,,laptop,laptop
387,,,,desktop,desktop
388,,,,tablet,tablet
389,,,,smartphone,telefon_i_mencur
390,,,,supercomputer,superkompjuter
391,,,,iphone,ajfon
392,,,,ipad,ajpad
394,L03_17,hyponyms - misc,container,,konteiner
395,,,,bag,çantë
396,,,,handbag,çantë_dore
397,,,,pocketbook,libër_xhepi
398,,,,purse,DUPLICATE_çantë
399,,,,basket,shporta
400,,,,handbasket,shportë_dore
401,,,,bin,kosh
402,,,,bowl,tas
403,,,,pipe,tub
404,,,,box,kuti
405,,,,bread-bin,kosh_buke
406,,,,breadbox,kuti_buke
407,,,,bunker,bunker
408,,,,can,kanaçe
409,,,,tin,kallaj
410,,,,canister,bombola
411,,,,cannister,kanister
412,,,,capsule,kapsulë
413,,,,cargo,ngarkesa
414,,,,case,DUPLICATE_kuti
415,,,,display,shfaqje
416,,,,showcase,vitrinë
417,,,,vitrine,DUPLICATE_vitrinë
418,,,,cassette,kasetë
419,,,,cup,filxhan
420,,,,cylinder,cilindër
421,,,,dice,zare
422,,,,dish,gjellë
423,,,,dispenser,bombol_me_vrimë_nxjerrëse
424,,,,drawer,sirtar
425,,,,dumpster,kosh_plehrash
426,,,,empty,bosh
427,,,,envelope,zarf
428,,,,glass,xham
429,,,,bottle,shishe
430,,,,mailer,postues
431,,,,manger,grazhd
432,,,,trough,lug
433,,,,measure,masë
434,,,,mold,myk
435,,,,mould,DUPLICATE_myk
436,,,,cast,allçi
437,,,,package,paketë
438,,,,parcel,parcela
439,,,,pan,tigan
440,,,,pod,lëvozhgë
441,,,,pot,tenxhere
442,,,,flowerpot,vazo_për_lule
443,,,,flask,balonë
444,,,,receptacle,enë
445,,,,reliquary,relikt
446,,,,saltcellar,kripore
447,,,,savings,kursimet
448,,,,bank,bankë
449,,,,coin,monedhë
450,,,,money,paratë
451,,,,scuttle,skarë
452,,,,coal,qymyri
453,,,,shaker,përzierës_pijesh
454,,,,spoon,lugë
455,,,,thimble,këllëfë
456,,,,vessel,DUPLICATE_enë
457,,,,waste-paper,letra_e_mbeturinave
458,,,,wastebasket,shporta_e_mbeturinave
459,,,,waste,mbeturina
460,,,,file,dosje
461,,,,workbasket,shporta_e_punës
462,,,,workbox,kutia_e_punës
463,,,,workbag,çantë_pune
465,L03_18,hyponyms - misc,cookware,,enë_gatimi
466,,,,pot,tenxhere
467,,,,baster,NO_TRANSLATION
468,,,,chafing,përçarje
469,,,,dish,gjellë
470,,,,cooker,DUPLICATE_tenxhere
471,,,,sheet,fletë
472,,,,tray,tabaka
473,,,,enamelware,enë_smalti
474,,,,grid,rrjetë
475,,,,gridiron,skarë
476,,,,griddle,tigan
477,,,,pan,DUPLICATE_tigan
478,,,,poacher,DUPLICATE_NO_TRANSLATION
479,,,,skimmer,lugë_me_vrima
480,,,,steamer,avullore
481,,,,turner,rrotullues
483,L03_19,hyponyms - misc,cup,,filxhan
484,,,,teacup,filxhan_çaji
485,,,,beaker,gotë
486,,,,chalice,kupë
487,,,,goblet,DUPLICATE_kupë
488,,,,coffee_cup,filxhan_kafe
489,,,,dixie,kazan_gjelle
490,,,,paper_cup,filxhan_letër
491,,,,grace,kupe_e_hirit
492,,,,kylix,kiliks
493,,,,cylix,ciliks
494,,,,mustache_cup,kupë_mustaqe
495,,,,moustache_cup,DUPLICATE_kupë_mustaqe
496,,,,scyphus,skif
497,,,,grail,gral
499,L03_20,hyponyms - misc,cushion,,jastëk
500,,,,pincushion,DUPLICATE_jastëk
501,,,,pillow,DUPLICATE_jastëk
502,,,,air,ajri
503,,,,inflatable,të_fryrë
504,,,,gaddi,gadi
505,,,,hassock,çorape
506,,,,headrest,mbështetëse_koke
507,,,,seat,ulëse
509,L03_21,hyponyms - misc,cutlery,,NO_TRANSLATION
510,,,,knife,thikë
511,,,,fork,pirun
512,,,,spoon,lugë
513,,,,tablefork,pirun_tavoline
514,,,,teaspoon,lugë_çaji
515,,,,dessert_spoon,ëmbëlsirë_lugë
516,,,,salad_fork,pirun_sallate
517,,,,carving_fork,pirun_për_gdhendje
519,L03_22,hyponyms - misc,dessert,,ëmbëlsirë
520,,,,cake,tortë
521,,,,ambrosia,ambrosia
522,,,,baked_alaska,alaska_e_pjekur
523,,,,blancmange,NO_TRANSLATION
524,,,,charlotte,sharlota
525,,,,compote,komposto
526,,,,fruit_compote,komposte_me_fruta
527,,,,dumpling,petë
528,,,,flan,DUPLICATE_tortë
529,,,,frozen_dessert,ëmbëlsirë_e_ngrirë
530,,,,junket,DUPLICATE_NO_TRANSLATION
531,,,,mold,myk
532,,,,mould,DUPLICATE_myk
533,,,,mousse,shkumë
534,,,,pavlova,pavlova
535,,,,peach_melba,pjeshkë_melba
536,,,,pudding,puding
537,,,,pud,DUPLICATE_puding
538,,,,syllabub,ajka_me_verë
539,,,,sillabub,DUPLICATE_ajka_me_verë
540,,,,tiramisu,tiramisu
541,,,,whip,ajkë
542,,,,zabaglione,DUPLICATE_NO_TRANSLATION
543,,,,sabayon,DUPLICATE_NO_TRANSLATION
544,,,,charlotte_russe,DUPLICATE_NO_TRANSLATION
545,,,,apple_dumpling,petë_me_mollë
546,,,,frozen_custard,krem_i_ngrirë
547,,,,soft_ice_cream,akullore_e_butë
548,,,,frozen_pudding,puding_i_ngrirë
549,,,,frozen_yogurt,kos_i_ngrirë
550,,,,ice-cream_cake,torte_me_akullore
551,,,,icebox_cake,torte_me_kuti_akulli
552,,,,ice-cream_cone,kon_akulloreje
553,,,,ice-cream_sundae,akullore_sunde
554,,,,sundae,sunde
555,,,,ice,akull
556,,,,frappe,frape
557,,,,ice_cream,akullore
558,,,,icecream,DUPLICATE_akullore
559,,,,ice_lolly,lëpirëse_akulli
560,,,,lolly,lëpirëse
561,,,,lollipop,llollipop
562,,,,popsicle,akullore_me_lëng_frutash
563,,,,ice_milk,qumësht_me_akull
564,,,,parfait,DUPLICATE_NO_TRANSLATION
565,,,,sherbert,sherbet
566,,,,sherbet,DUPLICATE_sherbet
567,,,,snowball,top_bore
568,,,,split,ndarë
569,,,,chocolate_mousse,muse_çokollate
570,,,,trifle,vogëlsirë
571,,,,brown_betty,DUPLICATE_NO_TRANSLATION
572,,,,chocolate_pudding,puding_çokollate
573,,,,duff,brum
574,,,,plum_duff,brum_me_kumbullë
575,,,,flummery,DUPLICATE_puding
576,,,,nesselrode,DUPLICATE_NO_TRANSLATION
577,,,,nesselrode_pudding,DUPLICATE_NO_TRANSLATION
578,,,,pease_pudding,puding_me_bizele
579,,,,plum_pudding,puding_me_kumbulla
580,,,,christmas_pudding,puding_krishtlindje
581,,,,roly-poly,DUPLICATE_NO_TRANSLATION
582,,,,roly-poly_pudding,DUPLICATE_NO_TRANSLATION
583,,,,steamed_pudding,puding_me_avull
584,,,,suet_pudding,DUPLICATE_NO_TRANSLATION
585,,,,tapioca_pudding,DUPLICATE_NO_TRANSLATION
586,,,,vanilla_pudding,puding_vanileje
587,,,,prune_whip,kumbulla_të_rrahura
588,,,,water_ice,ujë_akulli
589,,,,sorbet,DUPLICATE_sherbet
590,,,,chocolate_ice_cream,akullore_çokollate
591,,,,neapolitan_ice_cream,akullore_neapolitane
592,,,,peach_ice_cream,akullore_pjeshke
593,,,,strawberry_ice_cream,akullore_luleshtrydhe
594,,,,tutti-frutti,tuti-fruti
595,,,,vanilla_ice_cream,akullore_me_vanilje
596,,,,banana_split,banana_split
597,,,,tipsy_cake,DUPLICATE_NO_TRANSLATION
598,,,,spotted_dick,DUPLICATE_NO_TRANSLATION
599,,,,choc-ice,akullore_me_cokolladë
601,L03_23,hyponyms - misc,dress,,veshje
602,,,,gown,fustan
603,,,,caftan,kaftan
604,,,,kaftan,DUPLICATE_kaftan
605,,,,chemise,këmishë
606,,,,sack,thes
607,,,,shift,ndërrim
608,,,,coatdress,pallto
609,,,,cocktail_dress,fustan_kokteji
610,,,,sheath,këllëf
611,,,,dirndl,NO_TRANSLATION
612,,,,jumper,kërcyes
613,,,,pinafore,pinafore
614,,,,pinny,gjilpërë
615,,,,kirtle,DUPLICATE_NO_TRANSLATION
616,,,,morning,mëngjes
617,,,,evening,mbrëmje
618,,,,muumuu,DUPLICATE_NO_TRANSLATION
619,,,,polonaise,polonezë
620,,,,sari,sari
621,,,,saree,DUPLICATE_NO_TRANSLATION
622,,,,shirtdress,DUPLICATE_këmishë
623,,,,strapless,pa_rripa
624,,,,sundress,veshje_dielli
626,L03_24,hyponyms - misc,drum,,daulle
627,,,,tambourine,dajre
628,,,,bass_drum,DUPLICATE_daulle
629,,,,gran_casa,NO_TRANSLATION
630,,,,bongo,bongo
631,,,,bongo_drum,daulle_bongo
632,,,,snare_drum,lak_daulle
633,,,,snare,kurth
634,,,,side_drum,anë_daulle
635,,,,tabor,tabur
636,,,,tabour,DUPLICATE_tabur
637,,,,tambour,DUPLICATE_dajre
638,,,,tenor_drum,daulle_tenori
639,,,,tom-tom,tom-tom
640,,,,timbrel,DUPLICATE_dajre
641,,,,djembe,xhembe
642,,,,doumbek,dumbek
643,,,,darbuka,darbukë
645,L03_25,hyponyms - misc,emotion,,emocion
646,,,,anger,zemërim
647,,,,choler,kolerë
648,,,,ire,inat
649,,,,anxiety,ankth
650,,,,conditioned_emotional_response,përgjigje_emocionale_e_kushtëzuar
651,,,,cer,NO_TRANSLATION
652,,,,conditioned_emotion,emocion_i_kushtëzuar
653,,,,emotional_state,gjendje_mocionale
654,,,,spirit,shpirt
655,,,,fear,frikë
656,,,,fearfulness,DUPLICATE_frikë
657,,,,fright,frika
658,,,,reverence,nderimi
659,,,,awe,DUPLICATE_frikë
660,,,,veneration,nderim
661,,,,hate,urrejtje
662,,,,hatred,DUPLICATE_urrejtje
663,,,,joy,gëzim
664,,,,joyousness,DUPLICATE_gëzim
665,,,,joyfulness,DUPLICATE_gëzim
666,,,,love,dashuri
667,,,,annoyance,bezdi
668,,,,chafe,kafshoj
669,,,,vexation,shqetësim
670,,,,bad_temper,temperament_i_keq
671,,,,ill_temper,DUPLICATE_temperament_i_keq
672,,,,dander,zbokth
673,,,,hackles,DUPLICATE_NO_TRANSLATION
674,,,,fury,tërbim
675,,,,rage,DUPLICATE_tërbim
676,,,,madness,çmenduri
677,,,,huffiness,zhurmë
678,,,,indignation,indinjatë
679,,,,outrage,DUPLICATE_zemërim
680,,,,infuriation,DUPLICATE_tërbim
681,,,,enragement,DUPLICATE_tërbim
682,,,,umbrage,përbuzje
683,,,,offense,vepër_penale
684,,,,offence,DUPLICATE_vepër_penale
685,,,,angst,DUPLICATE_ankth
686,,,,anxiousness,DUPLICATE_ankth
687,,,,disquiet,DUPLICATE_shqetësim
688,,,,concern,DUPLICATE_shqetësim
689,,,,care,kujdes
690,,,,discomfiture,DUPLICATE_shqetësim
691,,,,discomposure,qetësi
692,,,,disconcertion,DUPLICATE_shqetësim
693,,,,disconcertment,DUPLICATE_shqetësim
694,,,,edginess,nervozizëm
695,,,,uneasiness,DUPLICATE_shqetësim
696,,,,inquietude,DUPLICATE_shqetësim
697,,,,disquietude,DUPLICATE_shqetësim
698,,,,insecurity,pasiguri
699,,,,jitteriness,DUPLICATE_nervozizëm
700,,,,jumpiness,kërcim
701,,,,nervousness,nervozizmi
702,,,,restiveness,DUPLICATE_shqetësim
703,,,,scruple,skrupull
704,,,,qualm,merak
705,,,,misgiving,dyshues
706,,,,sinking,fundosje
707,,,,sinking_feeling,ndjesi_fundosjeje
708,,,,worry,merakos
709,,,,trouble,telashe
710,,,,ecstasy,ekstazi
711,,,,rapture,rrëmbim
712,,,,transport,transport
713,,,,exaltation,ekzaltim
714,,,,raptus,raptus
715,,,,embarrassment,siklet
716,,,,gratification,kënaqësi
717,,,,satisfaction,DUPLICATE_kënaqësi
718,,,,happiness,lumturi
719,,,,felicity,DUPLICATE_lumturi
720,,,,state,gjendje
721,,,,unhappiness,pakënaqësi
722,,,,alarm,alarm
723,,,,dismay,tronditje
724,,,,consternation,DUPLICATE_tronditje
725,,,,apprehension,kapje
726,,,,apprehensiveness,DUPLICATE_shqetësim
727,,,,dread,DUPLICATE_frikë
728,,,,creeps,zvarritje
729,,,,frisson,DUPLICATE_NO_TRANSLATION
730,,,,shiver,të_dridhura
731,,,,chill,ftohtë
732,,,,quiver,dridhje
733,,,,shudder,dridhen
734,,,,thrill,emocion
735,,,,tingle,ndjesi__shpimi_me_gjilpëra
736,,,,horror,tmerr
737,,,,hysteria,histeri
738,,,,intimidation,frikësim
739,,,,panic,panik
740,,,,terror,terror
741,,,,affright,frikshëm
742,,,,scare,tremb
743,,,,panic_attack,sulm_panike
744,,,,stage_fright,skenë_frike
745,,,,timidity,ndrojtje
746,,,,timidness,DUPLICATE_ndrojtje
747,,,,timorousness,DUPLICATE_frikësim
748,,,,abhorrence,neveri
749,,,,abomination,DUPLICATE_neveri
750,,,,detestation,DUPLICATE_neveri
751,,,,execration,përndjekje
752,,,,loathing,DUPLICATE_urrejtje
753,,,,odium,DUPLICATE_NO_TRANSLATION
754,,,,despisal,DUPLICATE_përbuzje
755,,,,despising,DUPLICATE_përbuzje
756,,,,hostility,armiqësi
757,,,,enmity,DUPLICATE_armiqësi
758,,,,ill_will,vullnetkeq
759,,,,malevolence,keqdashje
760,,,,malignity,DUPLICATE_keqdashje
761,,,,misanthropy,mizantropi
762,,,,misogamy,mizogami
763,,,,misogyny,mizogjini
764,,,,misogynism,mizogjinizëm
765,,,,misology,misologji
766,,,,misoneism,misoneizëm
767,,,,misopedia,misopedi
768,,,,murderousness,vrasësi
769,,,,elation,ngazëllim
770,,,,high_spirits,shpirtra_të_lartë
771,,,,lightness,butësi
772,,,,exhilaration,DUPLICATE_ngazëllim
773,,,,excitement,eksitim
774,,,,exuberance,bollëk
775,,,,exultation,DUPLICATE_ngazëllim
776,,,,jubilance,DUPLICATE_ngazëllim
777,,,,jubilancy,DUPLICATE_gëzim
778,,,,jubilation,DUPLICATE_ngazëllim
779,,,,agape,agape
780,,,,agape_love,dashuri_agape
781,,,,amorousness,DUPLICATE_dashuri
782,,,,enamoredness,të_dashuruar
783,,,,ardor,zjarrvënie
784,,,,ardour,DUPLICATE_zjarrvënie
785,,,,benevolence,dashamirësi
786,,,,devotion,përkushtim
787,,,,devotedness,DUPLICATE_përkushtim
788,,,,filial_love,filial_dashuri
789,,,,heartstrings,telat_e_zemrës
790,,,,lovingness,DUPLICATE_dashuri
791,,,,caring,i_kujdesshëm
792,,,,loyalty,besnikëri
793,,,,puppy_love,dashuri_qenushesh
794,,,,calf_love,dshuri_viçi
795,,,,crush,shtypje
796,,,,infatuation,pasion
797,,,,worship,adhurim
