,ID,Relation,Source,Target,AL
198,,,,faraway,DUPLICATE_i_largët
200,L09_11,antonyms - gradable,colorful,,me_ngjyra
201,,,,colorless,pa_ngjyra
202,,,,colourless,DUPLICATE_pa_ngjyra
203,,,,dull,i_zbehtë
204,,,,neutral,neutral
205,,,,pale,DUPLICATE_i_zbehtë
206,,,,white,i_bardhë
207,,,,bleached,i_zbardhur
208,,,,faded,i_zbehur
209,,,,washed-out,i_ka_dalë_boja
210,,,,washy,i_shpëlarë
211,,,,drab,DUPLICATE_i_zymtë
212,,,,somber,i_zymtë
213,,,,sombre,DUPLICATE_i_zymtë
214,,,,dulled,DUPLICATE_i_zbehur
215,,,,greyed,i_thinjur
216,,,,etiolate,zbardh
217,,,,etiolated,DUPLICATE_i_zbardhur
218,,,,lurid,DUPLICATE_i_zbehtë
219,,,,waxen,i_dylltë
220,,,,waxlike,si_dyll
221,,,,waxy,dyllor
222,,,,whitened,DUPLICATE_i_zbardhur
224,L09_12,antonyms - gradable,common,,i_zakonshëm
225,,,,rare,i_rrallë
226,,,,infrequent,jo_i_shpeshtë
227,,,,scarce,i_pakët
228,,,,uncommon,i_pazakonshëm
229,,,,extraordinary,i_jashtëzakonshëm
231,L09_13,antonyms - gradable,competent,,i_aftë
232,,,,incompetent,i_paaftë
233,,,,unskilled,DUPLICATE_i_pakualifikuar
234,,,,unqualified,i_pakualifikuar
235,,,,inefficient,i_paefektshëm
237,L09_14,antonyms - gradable,concerned,,i_shqetësuar
238,,,,unconcerned,i_pashqetësuar
239,,,,blase,moskokëçarës
240,,,,blithe,shpërfillës
241,,,,casual,i_zakonshëm
242,,,,insouciant,mospërfillës
243,,,,nonchalant,DUPLICATE_mospërfillës
244,,,,degage,i_shpenguar
245,,,,detached,i_shkëputur
246,,,,uninvolved,i_papërfshirë
247,,,,indifferent,indiferent
248,,,,careless,i_pakujdesshëm
249,,,,untroubled,DUPLICATE_i_pashqetësuar
251,L09_15,antonyms - gradable,cooked,,i_gatuar
252,,,,raw,i_gjallë
253,,,,half-baked,gjysmë_i_pjekur
254,,,,fresh,i_freskët
255,,,,natural,natural
256,,,,underdone,i_pabërë
257,,,,rare,i_rrallë
258,,,,uncooked,i_pagatuar
259,,,,untoasted,i_papjekur
261,L09_16,antonyms - gradable,dangerous,,i_rrezikshëm
262,,,,safe,i_sigurt
263,,,,fail-safe,DUPLICATE_i_sigurt
264,,,,risk-free,pa_rreziqe
265,,,,riskless,pa_rrezik
266,,,,unhazardous,i_parrezikshëm
267,,,,safe-and-sound,shëndoshë_e_mirë
268,,,,unhurt,i_palënduar
269,,,,harmless,i_padëmshëm
270,,,,invulnerable,i_paprekshëm
271,,,,secure,DUPLICATE_i_sigurt
272,,,,uninjured,DUPLICATE_i_palënduar
274,L09_17,antonyms - gradable,decisive,,i_vendosur
275,,,,hesitating,ngurrues
276,,,,indecisive,i_pavendosur
277,,,,hesitant,DUPLICATE_ngurrues
278,,,,inconclusive,jo_përfundimtar
279,,,,irresolute,DUPLICATE_i_pavendosur
281,L09_18,antonyms - gradable,dry,,i_thatë
282,,,,wet,i_lagur
283,,,,bedewed,i_vesuar
284,,,,dewy,me_vesë
285,,,,besprent,i_spërkatur
286,,,,boggy,moçalor
287,,,,marshy,kënetor
288,,,,miry,DUPLICATE_me_baltë
289,,,,mucky,i_turbullt
290,,,,muddy,me_baltë
291,,,,quaggy,DUPLICATE_moçalor
292,,,,sloppy,i_lerosur
293,,,,sloughy,baltak
294,,,,soggy,DUPLICATE_i_lagur
295,,,,squashy,i_qullët
296,,,,swampy,DUPLICATE_moçalor
297,,,,waterlogged,i_mbushur_me_ujë
298,,,,clammy,DUPLICATE_i_lagësht
299,,,,dank,i_njomë
300,,,,damp,i_lagësht
301,,,,dampish,pak_i_lagësht
302,,,,moist,DUPLICATE_i_lagësht
303,,,,sodden,DUPLICATE_i_lagur
304,,,,soppy,qullë
305,,,,drippy,me_lëng
306,,,,drizzly,me_shi_të_imët
307,,,,humid,me_lagështirë
308,,,,misty,i_mjegullt
309,,,,muggy,me_zagushi
310,,,,steamy,me_avull
311,,,,sticky,DUPLICATE_me_lagështi
312,,,,reeking,që_lëshon_avull
313,,,,watery,i_lëngshëm
314,,,,rheumy,DUPLICATE_i_lagësht
315,,,,showery,me_rrebesh
316,,,,rainy,me_shi
317,,,,steaming,që_nxjerr_avull
318,,,,tacky,që_ngjit
319,,,,undried,i_patharë
320,,,,washed,i_larë
322,L09_19,antonyms - gradable,energetic,,energjik
323,,,,lethargic,letargjik
324,,,,unergetic,jo_energjik
325,,,,dazed,i_trullosur
326,,,,foggy,i_mjegullt
327,,,,groggy,i_merren_këmbët
328,,,,logy,i_rënduar
329,,,,stuporous,DUPLICATE_i_trullosur
330,,,,dreamy,i_përgjumur
331,,,,lackadaisical,i_plogësht
332,,,,languid,i_ngathët
333,,,,languorous,i_avashtë
334,,,,listless,i_topitur
335,,,,inactive,jo_aktiv
337,L09_20,antonyms - gradable,familiar,,i_njohur
338,,,,unfamiliar,i_panjohur
339,,,,strange,i_huaj
340,,,,unknown,DUPLICATE_i_panjohur
341,,,,unacquainted,DUPLICATE_i_panjohur
342,,,,foreign,DUPLICATE_i_huaj
344,L09_21,antonyms - gradable,fat,,i_shëndoshë
345,,,,thin,i_dobët
346,,,,lean,i_hollë
347,,,,anorexic,anoreksik
348,,,,anorectic,DUPLICATE_anoreksik
349,,,,bony,i_duken_kockat
350,,,,cadaverous,si_i_vdekur
351,,,,emaciated,kockë_e_lëkurë
352,,,,gaunt,thatanik
353,,,,haggard,i_dërrmuar
354,,,,pinched,i_hequr_në_fytyrë
355,,,,skeletal,skelet
356,,,,wasted,i_tretur
357,,,,deep-eyed,me_sy_të_thellë
358,,,,hollow-eyed,me_sy_të_zbrazët
359,,,,sunken-eyed,me_sy_të_futur
360,,,,gangling,gjatahul
361,,,,gangly,DUPLICATE_gjatahul
362,,,,lanky,gjatosh
363,,,,lank,gjataman
364,,,,spindly,hollak
365,,,,rawboned,kockanjar
366,,,,reedy,si_kallam
367,,,,reedlike,DUPLICATE_si_kallam
368,,,,twiggy,DUPLICATE_si_filiz
369,,,,twiglike,si_filiz
370,,,,scarecrowish,si_dordolec
371,,,,scraggy,DUPLICATE_thatanik
372,,,,boney,DUPLICATE_kockanjar
373,,,,scrawny,DUPLICATE_i_dobët
374,,,,skinny,i_thatë
375,,,,underweight,nënpeshë
376,,,,weedy,thatim
377,,,,shriveled,i_tharë
378,,,,shrivelled,DUPLICATE_i_tharë
379,,,,shrunken,i_tkurrur
380,,,,withered,i_fishkur
381,,,,wizen,DUPLICATE_i_rrudhur
382,,,,wizened,i_rrudhur
383,,,,slender,DUPLICATE_i_hollë
384,,,,slight,i_pakët
385,,,,slim,DUPLICATE_i_hollë
386,,,,svelte,shtatderdhur
387,,,,slender-waisted,belhollë
388,,,,slim-waisted,DUPLICATE_belhollë
389,,,,wasp-waisted,DUPLICATE_belhollë
390,,,,spare,DUPLICATE_i_dobët
391,,,,trim,i_shkurtuar
392,,,,spindle-legged,këmbëgjatë
393,,,,spindle-shanked,kërcigjatë
394,,,,stringy,fillak
395,,,,wiry,si_fill
396,,,,wisplike,DUPLICATE_i_hollë
397,,,,wispy,i_vockël
399,L09_22,antonyms - gradable,full,,plot
400,,,,empty,i_zbrazët
401,,,,bare,i_zhveshur
402,,,,stripped,DUPLICATE_i_zhveshur
403,,,,blank,bosh
404,,,,clean,i_pastër
405,,,,white,i_bardhë
406,,,,empty-handed,duarbosh
407,,,,glassy,i_thatë
408,,,,glazed,DUPLICATE_i_thatë
409,,,,lifeless,i_pajetë
410,,,,looted,i_plaçkitur
411,,,,pillaged,i_grabitur
412,,,,plundered,DUPLICATE_i_plaçkitur
413,,,,ransacked,DUPLICATE_i_grabitur
414,,,,vacant,i_lirë
415,,,,vacuous,DUPLICATE_i_zbrazët
416,,,,void,DUPLICATE_i_zbrazët
418,L09_23,antonyms - gradable,gaseous,,i_gaztë
419,,,,solid,i_ngurtë
420,,,,hard,i_fortë
421,,,,coagulated,i_koaguluar
422,,,,solidified,i_ngurtësuar
423,,,,concrete,i_betontë
424,,,,congealed,i_mpiksur
425,,,,jelled,i_trashur
426,,,,jellied,DUPLICATE_i_trashur
427,,,,dry,i_thatë
428,,,,semisolid,gjysmë_i_ngurtë
429,,,,solid-state,në_gjendje_të_ngurtë
431,L09_24,antonyms - gradable,generous,,bujar
432,,,,stingy,koprrac
433,,,,beggarly,lypsar
434,,,,mean,kurnac
435,,,,cheap,i_lirë
436,,,,chinchy,DUPLICATE_koprrac
437,,,,chintzy,DUPLICATE_koprrac
438,,,,cheeseparing,kursen_edhe_qindarkat
439,,,,close,i_ngushtë
440,,,,near,DUPLICATE_i_ngushtë
441,,,,penny-pinching,kursen_qindarkat
442,,,,skinny,DUPLICATE_koprrac
443,,,,closefisted,DUPLICATE_dorështrënguar
444,,,,hardfisted,DUPLICATE_dorështrënguar
445,,,,tightfisted,dorështrënguar
446,,,,grudging,që_qahet
447,,,,niggardly,DUPLICATE_dorështrënguar
448,,,,scrimy,DUPLICATE_koprrac
449,,,,mingy,DUPLICATE_kurnac
450,,,,miserly,DUPLICATE_kurnac
451,,,,tight,DUPLICATE_i_ngushtë
452,,,,parsimonious,kursimtar
453,,,,penurious,i_varfër
454,,,,selfish,egoist
455,,,,uncharitable,DUPLICATE_jo_bujar
456,,,,ungenerous,jo_bujar
457,,,,meanspirited,shpirtngushtë
459,L09_25,antonyms - gradable,happy,,i_lumtur
460,,,,sad,i_mërzitur
461,,,,bittersweet,i_hidhur
462,,,,doleful,i_trishtuar
463,,,,mournful,i_pikëlluar
464,,,,heavyhearted,zemërbrengosur
465,,,,melancholy,DUPLICATE_melankolik
466,,,,melancholic,melankolik
467,,,,pensive,i_menduar
468,,,,wistful,DUPLICATE_i_pikëlluar
469,,,,tragic,tragjik
470,,,,tragical,DUPLICATE_tragjik
471,,,,tragicomic,tragjikomik
472,,,,tragicomical,DUPLICATE_tragjikomik
473,,,,deplorable,i_mjerueshëm
474,,,,distressing,shqetësues
475,,,,lamentable,i_vajtueshëm
476,,,,pitiful,për_të_ardhur_keq
477,,,,sorry,më_vjen_keq
479,L09_26,antonyms - gradable,hard,,i_fortë
480,,,,soft,i_butë
481,,,,mellow,DUPLICATE_i_butë
482,,,,brushed,i_krehur
483,,,,fleecy,me_lesh
484,,,,napped,me_push
485,,,,cheeselike,si_djathë
486,,,,compressible,që_mund_të_ngjeshet
487,,,,squeezable,që_mund_të_shtrydhet
488,,,,cottony,si_pambuk
489,,,,cushioned,me_jastëk
490,,,,cushiony,DUPLICATE_i_butë
491,,,,padded,i_mbushur
492,,,,demulcent,DUPLICATE_zbutës
493,,,,emollient,DUPLICATE_zbutës
494,,,,salving,qetësues
495,,,,softening,zbutës
496,,,,downy,me_pupla
497,,,,downlike,i_butë_si_pupël
498,,,,flossy,i_mëndafshtë
499,,,,fluffy,DUPLICATE_i_butë
500,,,,flaccid,DUPLICATE_i_butë
501,,,,flocculent,leshatak
502,,,,woolly,i_leshtë
503,,,,wooly,DUPLICATE_i_leshtë
504,,,,yielding,DUPLICATE_I_BUTË
505,,,,mushy,i_qullët
506,,,,overstuffed,i_tejmbushur
507,,,,softish,DUPLICATE_i_butë
508,,,,semisoft,gjysmë_i_butë
509,,,,spongy,si_sfungjer
510,,,,squashy,DUPLICATE_i_qullët
511,,,,squishy,DUPLICATE_i_butë
512,,,,spongelike,DUPLICATE_si_sfyngjer
513,,,,velvet,kadife
514,,,,velvety,i_kadifenjtë
516,L09_27,antonyms - gradable,hot,,ngrohtë
517,,,,cold,ftohtë
518,,,,chilly,DUPLICATE_ftohtë
519,,,,frosty,me_ngricë
520,,,,cool,freskët
521,,,,frigid,shumë_ftohtë
523,L09_28,antonyms - gradable,interesting,,interesant
524,,,,uninteresting,jo_interesant
525,,,,dull,DUPLICATE_i_mërzitshëm
526,,,,boring,i_mërzitshëm
527,,,,deadening,vdekjeprurës
528,,,,ho-hum,DUPLICATE_i_mërzitshëm
529,,,,irksome,i_bezdisshëm
530,,,,slow,i_ngadaltë
531,,,,tedious,DUPLICATE_i_lodhshëm
532,,,,tiresome,i_lodhshëm
533,,,,wearisome,DUPLICATE_i_lodhshëm
534,,,,insipid,pa_shije
535,,,,jejune,i_rëndomtë
536,,,,narcotic,narkotik
537,,,,soporiferous,gjumëdhënës
538,,,,soporific,DUPLICATE_gjumëdhënës
539,,,,prosaic,prozaik
540,,,,prosy,DUPLICATE_i_rëndomtë
541,,,,earthbound,materialist
542,,,,ponderous,i_thatë
543,,,,putdownable,që_të_vjen_ta_lësh
544,,,,unexciting,që_nuk_të_emocionon
545,,,,unstimulating,që_nuk_të_nxit
547,L09_29,antonyms - gradable,introvert,,introvert
548,,,,extravert,ekstravert
549,,,,extrovert,DUPLICATE_ekstravert
550,,,,outgoing,i_afrueshëm
551,,,,extroverted,DUPLICATE_ekstravert
552,,,,forthcoming,i_hapur
553,,,,sociable,i_shoqërueshëm
555,L09_30,antonyms - gradable,large,,i_madh
556,,,,small,i_vogël
557,,,,little,DUPLICATE_i_vogël
558,,,,atomic,atomik
559,,,,subatomic,subatomik
560,,,,bantam,i_imët
561,,,,diminutive,shumë_i_vogël
562,,,,lilliputian,si_liliput
563,,,,midget,xhuxh
564,,,,petite,vocërrak
565,,,,tiny,i_vockël
566,,,,flyspeck,njollë_e_zezë
567,,,,bitty,DUPLICATE_i_vogël
568,,,,bittie,DUPLICATE_i_vogël
569,,,,teensy,DUPLICATE_i_mbledhur
570,,,,teentsy,DUPLICATE_i_mbledhur
571,,,,teeny,i_mbledhur
572,,,,wee,DUPLICATE_i_vockël
573,,,,weeny,DUPLICATE_i_vockël
574,,,,weensy,DUPLICATE_i_vockël
575,,,,teensy-weensy,DUPLICATE_shumë_i_vockël
576,,,,teeny-weeny,shumë_i_vockël
577,,,,itty-bitty,DUPLICATE_i_vogël
578,,,,itsy-bitsy,DUPLICATE_i_vogël
579,,,,dinky,i_papërfillshëm
580,,,,dwarfish,si_xhuxh
581,,,,elfin,kukudh
582,,,,elflike,si_kukudh
583,,,,gnomish,gnom
584,,,,half-size,gjysmë_bojë
585,,,,infinitesimal,jashtëzakonisht_i_vogël
586,,,,minute,DUPLICATE_i_imët
587,,,,lesser,më_i_vogël
588,,,,microscopic,mikroskopik
589,,,,microscopical,DUPLICATE_mikroskopic
590,,,,micro,mikro
591,,,,miniature,miniaturë
592,,,,minuscule,DUPLICATE_i_vogël
593,,,,miniscule,DUPLICATE_i_vogël
594,,,,olive-sized,sa_një_ulli
595,,,,pocket-size,sa_një_xhep
596,,,,pocket-sized,DUPLICATE_sa_një_xhep
597,,,,pocketable,xhepi
598,,,,puny,i_pakët
599,,,,runty,rrëgjak
600,,,,shrimpy,si_karkalec
601,,,,slender,i_hollë
602,,,,slim,DUPLICATE_i_hollë
603,,,,smaller,DUPLICATE_më_i_vogël
604,,,,littler,DUPLICATE_më_i_vogël
605,,,,smallish,DUPLICATE_i_vogël
606,,,,small-scale,në_shkallë_të_vogël
607,,,,undersize,nën_masë
608,,,,undersized,DUPLICATE_nën_masë
610,L09_31,antonyms - gradable,long,,i_gjatë
611,,,,short,i_shkurtër
612,,,,abbreviated,i_shkurtuar
613,,,,shortened,DUPLICATE_i_shkurtuar
614,,,,truncated,i_prerë
615,,,,brief,DUPLICATE_i_shkurtër
616,,,,clipped,DUPLICATE_i_prerë
617,,,,fleeting,fluturak
618,,,,fugitive,jetëshkurtër
619,,,,momentaneous,i_momentit
620,,,,momentary,DUPLICATE_i_momentit
621,,,,short_and_sweet,shkurt
622,,,,short-dated,me_afat_të_shkurtër
623,,,,short-range,DUPLICATE_afatshkurtër
624,,,,short-run,për_një_kohë_të_shkurtër
625,,,,short-term,afatshkurtër
626,,,,close,i_ngushtë
627,,,,curtal,DUPLICATE_i_shkurtër
628,,,,sawed-off,i_sharruar
629,,,,sawn-off,DUPLICATE_i_sharruar
630,,,,shortish,DUPLICATE_i_shkurtër
631,,,,short-snouted,turishkurtër
632,,,,snub,i_shtypur
633,,,,stubby,si_cung
634,,,,telescoped,i_futur
635,,,,truncate,DUPLICATE_i_prerë
636,,,,chunky,DUPLICATE_shulak
637,,,,dumpy,shulak
638,,,,low-set,DUPLICATE_i_shkurtër
639,,,,squat,shkurtabiq
640,,,,squatty,DUPLICATE_shkurtabiq
641,,,,stumpy,DUPLICATE_shulak
642,,,,compact,kompakt
643,,,,heavyset,trupngjeshur
644,,,,stocky,DUPLICATE_trupngjeshur
645,,,,thick,i_mbushur
646,,,,thickset,trupmbushur
647,,,,half-length,gjysmë_i_gjatë
648,,,,pint-size,i_vogël
649,,,,pint-sized,DUPLICATE_i_vogël
650,,,,runty,më_i_vogli
651,,,,short-stalked,me_kërcell_të_shkurtër
652,,,,squab,shkurtalaq
653,,,,squabby,DUPLICATE_shkurtalaq
655,L09_32,antonyms - gradable,lumpy,,me_gunga
656,,,,flat,i_sheshtë
657,,,,level,i_njëtrajtshëm
658,,,,plane,DUPLICATE_i_rrafshët
659,,,,even,i_rrafshët
661,L09_33,antonyms - gradable,noisy,,i_zhurmshëm
662,,,,silent,i_heshtur
663,,,,uncommunicative,nuk_flet
664,,,,dumb,memec
665,,,,mute,DUPLICATE_i_heshtur
666,,,,inarticulate,DUPLICATE_nuk_flet
667,,,,unarticulate,i_pagojë
669,L09_34,antonyms - gradable,normal,,normal
670,,,,abnormal,anormal
671,,,,aberrant,DUPLICATE_i_pazakontë
672,,,,deviant,devijues
673,,,,deviate,DUPLICATE_devijues
674,,,,anomalous,DUPLICATE_anomal
675,,,,antidromic,antidromik
676,,,,atypical,jo_tipik
677,,,,irregular,i_parregullt
678,,,,brachydactylic,DUPLICATE_anormal
679,,,,brachydactylous,DUPLICATE_anormal
680,,,,defective,me_defekt
681,,,,freakish,DUPLICATE_i_çuditshëm
682,,,,kinky,DUPLICATE_i_çuditshëm
683,,,,perverted,pervers
684,,,,subnormal,nën_normale
685,,,,supernormal,mbi_normale
686,,,,vicarious,DUPLICATE_i_pazakontë
687,,,,unusual,i_pazakontë
688,,,,exceptional,i_veçantë
689,,,,insane,i_çmendur
690,,,,unnatural,i_panatyrshëm
692,L09_35,antonyms - gradable,organized,,i_organizuar
693,,,,unorganized,i_paorganizuar
694,,,,unstructured,i_pastrukturuar
695,,,,uncoordinated,i_pakoordinuar
696,,,,unformed,i_paformuar
697,,,,unincorporated,i_papërfshirë
699,L09_36,antonyms - gradable,pale,,i_zbehtë
700,,,,tanned,i_nxirë
701,,,,bronzed,i_bronzuar
702,,,,suntanned,i_nxirë_nga_dielli
703,,,,brunet,brun
704,,,,brunette,DUPLICATE_brun
706,L09_37,antonyms - gradable,rich,,i_pasur
707,,,,poor,i_varfër
708,,,,broke,trokë
709,,,,bust,i_falimentuar
710,,,,skint,xhepshpuar
711,,,,stone-broke,pa_asnjë_kacidhe
712,,,,stony-broke,DUPLICATE_pa_asnjë_kacidhe
713,,,,destitute,varfanjak
714,,,,impoverished,i_varfëruar
715,,,,indigent,DUPLICATE_i_varfër
716,,,,necessitous,DUPLICATE_nevojtar
717,,,,needy,nevojtar
718,,,,poverty-stricken,i_skamur
719,,,,hard_up,keq
720,,,,impecunious,DUPLICATE_pa_para
721,,,,penniless,pa_asnjë_qindarkë
722,,,,penurious,pa_mundësi_financiare
723,,,,pinched,ngushtë
724,,,,moneyless,pa_para
725,,,,unprovided,pa_të_ardhura
727,L09_38,antonyms - gradable,sane,,"i_arsyeshëm,_normal"
728,,,,crazy,i_çmendur
729,,,,loony,i_shkalluar
730,,,,looney,i_luajtur
731,,,,nutcase,i_lajthitur
732,,,,weirdo,i_çuditshëm
733,,,,mad,i_marrë
734,,,,insane,DUPLICATE_i_çmendur
736,L09_39,antonyms - gradable,short,,i_shkurtër
737,,,,tall,i_gjatë
738,,,,gangling,gjatok
739,,,,gangly,DUPLICATE_gjatok
740,,,,lanky,gjataman
741,,,,rangy,shtatgjatë
742,,,,height,gjatësi
743,,,,leggy,DUPLICATE_këmbëgjatë
744,,,,long-legged,këmbëgjatë
