,ID,Relation,Source,Target,HE
141,,,,library,סִפְרִיָה
143,L05_35,meronyms - member,player,,שחקן
144,,,,team,DUPLICATE_קבוצה
145,,,,group,קְבוּצָה
146,,,,orchestra,אורכסטרה
148,L05_36,meronyms - member,policeman,,שׁוֹטֵר
149,,,,police,מִשׁטָרָה
151,L05_37,meronyms - member,secretary,,מזכיר
152,,,,staff,סגל
154,L05_38,meronyms - member,senator,,סֵנָטוֹר
155,,,,senate,סֵנָט
156,,,,house,בַּיִת
158,L05_39,meronyms - member,sheep,,כבשים
159,,,,flock,עֵדֶר
161,L05_40,meronyms - member,shrub,,שִׂיחַ
162,,,,shrubbery,שִׂיחִים
164,L05_41,meronyms - member,singer,,זמר
165,,,,choir,מקהלה
166,,,,band,להקה
167,,,,duo,זוג
168,,,,trio,שִׁלוּשׁ
169,,,,quartet,רביעייה
171,L05_42,meronyms - member,soldier,,לוֹחֶם
172,,,,army,צָבָא
173,,,,unit,יחידה
174,,,,division,מחלקה
175,,,,troop,גְדוּד
177,L05_43,meronyms - member,song,,שִׁיר
178,,,,album,אַלבּוֹם
179,,,,collection,אוסף
180,,,,antology,אַנתוֹלוֹגִיָה
181,,,,library,סִפְרִיָה
183,L05_44,meronyms - member,spouse,,בן_זוג
184,,,,couple,זוּג
185,,,,relationship,מערכת_יחסים
186,,,,family,מִשׁפָּחָה
188,L05_45,meronyms - member,star,,כוכב
189,,,,constellation,קבוצת_כוכיבם
190,,,,galaxy,גָלַקסִיָה
192,L05_46,meronyms - member,state,,מדינה
193,,,,country,DUPLICATE_מדינה
194,,,,province,מָחוֹז
196,L05_47,meronyms - member,student,,סטוּדֶנט
197,,,,class,כיתה
198,,,,school,בית_ספר
200,L05_48,meronyms - member,tree,,עֵץ
201,,,,forest,יַעַר
202,,,,wood,DUPLICATE_עץ
203,,,,grove,חוּרשָׁה
205,L05_49,meronyms - member,wolf,,זְאֵב
206,,,,pack,להקה
208,L05_50,meronyms - member,word,,מִלָה
209,,,,paragraph,פסקה
210,,,,sentence,משפט
211,,,,text,טֶקסט
