,ID,Relation,Source,Target,HE
346,,,,lean,DUPLICATE_רזה
347,,,,anorexic,אנורקסי
348,,,,anorectic,DUPLICATE_אנורקסי
349,,,,bony,גַרמִי
350,,,,cadaverous,פגרי
351,,,,emaciated,DUPLICATE_כחוש
352,,,,gaunt,כָּחוּשׁ
353,,,,haggard,DUPLICATE_כחוש
354,,,,pinched,DUPLICATE_כחוש
355,,,,skeletal,שִׁלדִי
356,,,,wasted,גמור
357,,,,deep-eyed,עינים_עמוקות
358,,,,hollow-eyed,עיניים_חלולות
359,,,,sunken-eyed,עיינים_שקועות
360,,,,gangling,גַּמְלוֹנִי
361,,,,gangly,גבוה
362,,,,lanky,גבוה_ורזה
363,,,,lank,כחוש_וגבוה
364,,,,spindly,דַק
365,,,,rawboned,DUPLICATE_כחוש
366,,,,reedy,דק_וחלש
367,,,,reedlike,דמוי_קנה
368,,,,twiggy,צנום
369,,,,twiglike,דמוי_זרדים
370,,,,scarecrowish,דחליל
371,,,,scraggy,DUPLICATE_כחוש
372,,,,boney,דומה_לעצם
373,,,,scrawny,DUPLICATE_כחוש
374,,,,skinny,DUPLICATE_רזה
375,,,,underweight,תת_משקל
376,,,,weedy,עשבי
377,,,,shriveled,מְצוּמָק
378,,,,shrivelled,DUPLICATE_מצומק
379,,,,shrunken,מְכוּוָץ
380,,,,withered,קָמֵל
381,,,,wizen,קָמוּל
382,,,,wizened,DUPLICATE_מצומק
383,,,,slender,DUPLICATE_רזה
384,,,,slight,זָעוּם
385,,,,slim,DUPLICATE_מצומק
386,,,,svelte,תָמִיר
387,,,,slender-waisted,רזה_מותניים
388,,,,slim-waisted,מותניים_רזים
389,,,,wasp-waisted,מותניים_צרות
390,,,,spare,DUPLICATE_כחוש
391,,,,trim,מְטוּפָּח
392,,,,spindle-legged,בעלי_רגלי_ציר
393,,,,spindle-shanked,בעל_ציר
394,,,,stringy,חוּטִי
395,,,,wiry,שְׁרִירִי
396,,,,wisplike,אניץ
397,,,,wispy,קָלוּשׁ
399,L09_22,antonyms - gradable,full,,מלא
400,,,,empty,ריק
401,,,,bare,חָשׂוּף
402,,,,stripped,DUPLICATE_חשוף
403,,,,blank,DUPLICATE_ריק
404,,,,clean,נקי
405,,,,white,לבן
406,,,,empty-handed,בידיים_ריקות
407,,,,glassy,זְגוּגִי
408,,,,glazed,מְזוֹגָג
409,,,,lifeless,חסר_חיים
410,,,,looted,נבזז
411,,,,pillaged,בזזו
412,,,,plundered,DUPLICATE_נבזז
413,,,,ransacked,נפרץ
414,,,,vacant,DUPLICATE_ריק
415,,,,vacuous,פנוי
416,,,,void,DUPLICATE_ריק
418,L09_23,antonyms - gradable,gaseous,,גזי
419,,,,solid,מוצק
420,,,,hard,קָשֶׁה
421,,,,coagulated,קָרוּשׁ
422,,,,solidified,מיוצק
423,,,,concrete,בֵּטוֹן
424,,,,congealed,DUPLICATE_קָרוּשׁ
425,,,,jelled,DUPLICATE_קרוש
426,,,,jellied,DUPLICATE_קָרוּשׁ
427,,,,dry,יָבֵשׁ
428,,,,semisolid,חצי_מוצק
429,,,,solid-state,מצב_מוצק
431,L09_24,antonyms - gradable,generous,,נָדִיב
432,,,,stingy,קַמצָן
433,,,,beggarly,אֶביוֹנִי
434,,,,mean,DUPLICATE_קמצני
435,,,,cheap,זוֹל
436,,,,chinchy,צ'ינצ'י
437,,,,chintzy,DUPLICATE_זול
438,,,,cheeseparing,DUPLICATE_קמצן
439,,,,close,סגור
440,,,,near,ליד
441,,,,penny-pinching,צביטה_בפרוטה
442,,,,skinny,רזה
443,,,,closefisted,ידו_קמוצה
444,,,,hardfisted,קשוחה
445,,,,tightfisted,DUPLICATE_קמצני
446,,,,grudging,שומר_טינה
447,,,,niggardly,קמצני
448,,,,scrimy,קימץ
449,,,,mingy,DUPLICATE_קמצן
450,,,,miserly,DUPLICATE_קמצן
451,,,,tight,DUPLICATE_קמצני
452,,,,parsimonious,קַמצָנִי
453,,,,penurious,דל
454,,,,selfish,אָנוֹכִי
455,,,,uncharitable,חסר_צדקה
456,,,,ungenerous,לא_נדיב
457,,,,meanspirited,מרושע
459,L09_25,antonyms - gradable,happy,,שַׂמֵחַ
460,,,,sad,עָצוּב
461,,,,bittersweet,מתוק_מר
462,,,,doleful,DUPLICATE_עגום
463,,,,mournful,עָגוּם
464,,,,heavyhearted,DUPLICATE_עצוב
465,,,,melancholy,מֶלַנְכּוֹלְיָה
466,,,,melancholic,מלנכולי
467,,,,pensive,מְהוּרהָר
468,,,,wistful,עַגמוּמִי
469,,,,tragic,טְרָגִי
470,,,,tragical,DUPLICATE_טרגי
471,,,,tragicomic,טרגיקומי
472,,,,tragicomical,DUPLICATE_טרגיקומי
473,,,,deplorable,DUPLICATE_מצער
474,,,,distressing,מְצַעֵר
475,,,,lamentable,DUPLICATE_טרגי
476,,,,pitiful,מעורר_רחמים
477,,,,sorry,מצטער
479,L09_26,antonyms - gradable,hard,,קָשֶׁה
480,,,,soft,רַך
481,,,,mellow,DUPLICATE_רך
482,,,,brushed,מוברש
483,,,,fleecy,צַמרִירִי
484,,,,napped,אוורירי
485,,,,cheeselike,דמוי_גבינה
486,,,,compressible,דָחִיס
487,,,,squeezable,סָחִיט
488,,,,cottony,דמוי_כותנה
489,,,,cushioned,DUPLICATE_מרופד
490,,,,cushiony,כרית
491,,,,padded,מְרוּפָד
492,,,,demulcent,הרס
493,,,,emollient,מרכך
494,,,,salving,משח
495,,,,softening,הִתרַכְּכוּת
496,,,,downy,פְּלוּמָתִי
497,,,,downlike,כמו_למטה
498,,,,flossy,משיי
499,,,,fluffy,DUPLICATE_רך
500,,,,flaccid,רָפֶה
501,,,,flocculent,פתיתי
502,,,,woolly,צַמרִי
503,,,,wooly,צמר
504,,,,yielding,גמיש
505,,,,mushy,רכרוכי
506,,,,overstuffed,ממולא_מידי
507,,,,softish,רך
508,,,,semisoft,חצי_רך
509,,,,spongy,סְפוֹגִי
510,,,,squashy,דחוס
511,,,,squishy,סועש
512,,,,spongelike,דמוי_ספוג
513,,,,velvet,קְטִיפָה
514,,,,velvety,קְטִיפָתִי
516,L09_27,antonyms - gradable,hot,,חַם
517,,,,cold,קַר
518,,,,chilly,DUPLICATE_קריר
519,,,,frosty,צוֹנֵן
520,,,,cool,קריר
521,,,,frigid,קָפוּא
523,L09_28,antonyms - gradable,interesting,,מעניין
524,,,,uninteresting,לא_מעניין
525,,,,dull,DUPLICATE_משעמם
526,,,,boring,מְשַׁעֲמֵם
527,,,,deadening,ממית
528,,,,ho-hum,NO_TRANSLATION
529,,,,irksome,מַטרִיד
530,,,,slow,אטי
531,,,,tedious,DUPLICATE_משעמם
532,,,,tiresome,DUPLICATE_משעמם
533,,,,wearisome,מְיַגֵעַ
534,,,,insipid,תָפֵל
535,,,,jejune,צָחִיחַ
536,,,,narcotic,נרקוטי
537,,,,soporiferous,ספורי
538,,,,soporific,מַרדִים
539,,,,prosaic,פּרוֹזָאִי
540,,,,prosy,DUPLICATE_פרוזאי
541,,,,earthbound,DUPLICATE_משעמם
542,,,,ponderous,משעמם_מאד
543,,,,putdownable,השפלה
544,,,,unexciting,לא_מרגש
545,,,,unstimulating,לא_מעורר
547,L09_29,antonyms - gradable,introvert,,מוּפנָם
548,,,,extravert,אקסטרוורט
549,,,,extrovert,מוּחצָן
550,,,,outgoing,DUPLICATE_חברותי
551,,,,extroverted,DUPLICATE_מוחצן
552,,,,forthcoming,נגיש
553,,,,sociable,חַברוּתִי
555,L09_30,antonyms - gradable,large,,גָדוֹל
556,,,,small,קָטָן
557,,,,little,DUPLICATE_קטן
558,,,,atomic,אָטוֹמִי
559,,,,subatomic,תת_אטומי
560,,,,bantam,NO_TRANSLATION
561,,,,diminutive,צורת_הקטנה
562,,,,lilliputian,נַנָּסִי
563,,,,midget,גַמָד
564,,,,petite,DUPLICATE_קטן
565,,,,tiny,זָעִיר
566,,,,flyspeck,כתם_זבוב
567,,,,bitty,טיפ_טיפה
568,,,,bittie,DUPLICATE_קטנטן
569,,,,teensy,DUPLICATE_זעיר
570,,,,teentsy,DUPLICATE_זעיר
571,,,,teeny,קְטַנטַן
572,,,,wee,פעוט
573,,,,weeny,DUPLICATE_זעיר
574,,,,weensy,DUPLICATE_זעיר
575,,,,teensy-weensy,פִּצְפּוֹן
577,,,,itty-bitty,DUPLICATE_טיפ_טיפה
578,,,,itsy-bitsy,DUPLICATE_קטנטן
579,,,,dinky,חסר_חשיבות
580,,,,dwarfish,גַמָדִי
581,,,,elfin,DUPLICATE_קטן
582,,,,elflike,שדונים
583,,,,gnomish,ננס
584,,,,half-size,חצי_מידה
585,,,,infinitesimal,זעיר_מאד
586,,,,minute,דַקָה
587,,,,lesser,DUPLICATE_קטן_יותר
588,,,,microscopic,מִיקרוֹסקוֹפִּי
589,,,,microscopical,DUPLICATE_מיקרוסקופי
590,,,,micro,מיקרו
591,,,,miniature,מִינִיאָטוּרָה
592,,,,minuscule,DUPLICATE_זעיר
593,,,,miniscule,DUPLICATE_זעיר
594,,,,olive-sized,בגודל_זית
595,,,,pocket-size,גודל_כיס
596,,,,pocket-sized,בגודל_כיס
597,,,,pocketable,ניתן_לכיס
598,,,,puny,חַלָּשׁ
599,,,,runty,DUPLICATE_רזה
600,,,,shrimpy,חסילון
601,,,,slender,DUPLICATE_רזה
602,,,,slim,רָזֶה
603,,,,smaller,קטן_יותר
604,,,,littler,מועט
605,,,,smallish,DUPLICATE_קטן
606,,,,small-scale,קנה_מידה_קטן
607,,,,undersize,גודל_תחתון
608,,,,undersized,גוּץ
610,L09_31,antonyms - gradable,long,,ארוך
611,,,,short,קצר
612,,,,abbreviated,DUPLICATE_מקוצר
613,,,,shortened,מְקוּצָר
614,,,,truncated,קטום
615,,,,brief,DUPLICATE_קצר
616,,,,clipped,גזוז
617,,,,fleeting,חוֹלֵף
618,,,,fugitive,נִמלָט
619,,,,momentaneous,DUPLICATE_רגעי
620,,,,momentary,רִגעִי
621,,,,short_and_sweet,קצר_וקולע
622,,,,short-dated,קצר_מיועד
623,,,,short-range,קצר_טווח
624,,,,short-run,ריצה_קצרה
625,,,,short-term,טווח_קצר
626,,,,close,סגור
627,,,,curtal,קורטל
628,,,,sawed-off,DUPLICATE_מנוסר
629,,,,sawn-off,מנוסר
630,,,,shortish,DUPLICATE_קצר
631,,,,short-snouted,קצר_חוטם
632,,,,snub,השפלה
633,,,,stubby,קצר_ועבה
634,,,,telescoped,מעוך
635,,,,truncate,קצוץ
636,,,,chunky,שמנמן
637,,,,dumpy,מְדוּכדָך
638,,,,low-set,נִמוך
639,,,,squat,שָׁפוּף
640,,,,squatty,DUPLICATE_גוץ
641,,,,stumpy,גוץ_ושמן
642,,,,compact,קוֹמפָּקטִי
643,,,,heavyset,מוצק_וקומפקטי
644,,,,stocky,גוּץ
645,,,,thick,עבה
646,,,,thickset,DUPLICATE_גוּץ
647,,,,half-length,חצי_אורך
648,,,,pint-size,גודל_ליטר
649,,,,pint-sized,בגודל_ליטר
650,,,,runty,רץ
651,,,,short-stalked,גבעול_קצר
652,,,,squab,DUPLICATE_גוץ
653,,,,squabby,DUPLICATE_גוץ
655,L09_32,antonyms - gradable,lumpy,,גושי
656,,,,flat,שָׁטוּחַ
657,,,,level,DUPLICATE_מישור
658,,,,plane,מישור
659,,,,even,DUPLICATE_שטוח
661,L09_33,antonyms - gradable,noisy,,רוֹעֵשׁ
662,,,,silent,שקט
663,,,,uncommunicative,לא_תקשורתי
664,,,,dumb,דומם
665,,,,mute,אילם
666,,,,inarticulate,עילג
667,,,,unarticulate,DUPLICATE_עילג
669,L09_34,antonyms - gradable,normal,,נוֹרמָלִי
670,,,,abnormal,לא_נורמלי
671,,,,aberrant,DUPLICATE_סוטה
672,,,,deviant,סוֹטֶה
673,,,,deviate,לִסְטוֹת
674,,,,anomalous,אנומלי
675,,,,antidromic,אנטידרומי
676,,,,atypical,לא_טיפוסי
677,,,,irregular,לא_סדיר
678,,,,brachydactylic,ברכידקטליה
679,,,,brachydactylous,DUPLICATE_ברכידקטליה
680,,,,defective,פָּגוּם
681,,,,freakish,DUPLICATE_מטורף
682,,,,kinky,קינקי
683,,,,perverted,מְסוּלָף
684,,,,subnormal,תת-נורמלי
685,,,,supernormal,סופר-נורמלי
686,,,,vicarious,מחליף
687,,,,unusual,בלתי_שגרתי
688,,,,exceptional,יוצא_דופן
689,,,,insane,מטורף
690,,,,unnatural,לא_טבעי
692,L09_35,antonyms - gradable,organized,,מְאוּרגָן
693,,,,unorganized,לא_מאורגן
694,,,,unstructured,לא_מובנה
695,,,,uncoordinated,לא_מתואם
696,,,,unformed,חסר_צורה
697,,,,unincorporated,לא_מאוגד
699,L09_36,antonyms - gradable,pale,,חיוור
700,,,,tanned,שָׁזוּף
701,,,,bronzed,DUPLICATE_שזוף
702,,,,suntanned,DUPLICATE_שזוף
703,,,,brunet,ברונטי
704,,,,brunette,ברונטית
706,L09_37,antonyms - gradable,rich,,עָשִׁיר
707,,,,poor,עני
708,,,,broke,DUPLICATE_חסר_פרוטה
709,,,,bust,פשט_את_הרגל
710,,,,skint,DUPLICATE_חסר_כסף
711,,,,stone-broke,מרושש
712,,,,stony-broke,DUPLICATE_מרושש
713,,,,destitute,מחוסר_כסף
714,,,,impoverished,DUPLICATE_מרושש
715,,,,indigent,נִצרָך
716,,,,necessitous,DUPLICATE_נזקק
717,,,,needy,נִזקָק
718,,,,poverty-stricken,מוכה_עוני
719,,,,hard_up,דחוק
720,,,,impecunious,DUPLICATE_עני
721,,,,penniless,חסר_פרוטה
722,,,,penurious,דל
723,,,,pinched,pinched
724,,,,moneyless,חסר_כסף
725,,,,unprovided,חסר_הכנסה
727,L09_38,antonyms - gradable,sane,,שפוי
728,,,,crazy,מְטוּרָף
729,,,,loony,מְשׁוּגָע
730,,,,looney,DUPLICATE_משוגע
731,,,,nutcase,DUPLICATE_משוגע
732,,,,weirdo,תִמהוֹנִי
733,,,,mad,DUPLICATE_מטורף
734,,,,insane,DUPLICATE_מטורף
736,L09_39,antonyms - gradable,short,,קצר
737,,,,tall,גובה
738,,,,gangling,גַּמְלוֹנִי
739,,,,gangly,DUPLICATE_גבוה
740,,,,lanky,גבוה_ורזה
741,,,,rangy,בעל_איברים_ארוכים
742,,,,height,גוֹבַה
743,,,,leggy,רגלי
744,,,,long-legged,ארוך_רגליים
745,,,,long-shanked,ארוך_שוק
746,,,,tall-growing,גדל_גובה
747,,,,long,ארוך
748,,,,long-stalked,גבעול_ארוך
749,,,,tall-stalked,גבעול_גבוה
750,,,,stately,מַרשִׁים
751,,,,statuesque,כמו_פסל
752,,,,tallish,גבוה_למדי
754,L09_40,antonyms - gradable,simple,,פָּשׁוּט
755,,,,difficult,קָשֶׁה
756,,,,challenging,מאתגר
757,,,,hard,DUPLICATE_קשה
758,,,,complicated,מורכב
759,,,,demanding,תוֹבְעָנִי
760,,,,daunting,מפחיד
761,,,,taxing,DUPLICATE_תובעני
763,L09_41,antonyms - gradable,sincere,,כן
764,,,,insincere,צָבוּעַ
765,,,,bootlicking,התרפסות
766,,,,fawning,DUPLICATE_מתרפס
767,,,,obsequious,מִתרַפֵּס
768,,,,sycophantic,חַנְפָנִי
769,,,,toadyish,מתחנפן_להשיג_טובה
770,,,,buttery,DUPLICATE_חנפני
771,,,,fulsome,מָאוּס
