,ID,Relation,Source,Target,EL
365,,,,vertebrate,σπονδυλωτό
366,,,,creature,πλάσμα
367,,,,beast,θηρίο
368,,,,being,ον
369,,,,animal,ζώο
370,,,,organism,οργανισμός
371,,,,fauna,πανίδα
372,,,,chordate,χορδωτό
373,,,,animate_being,έμψυχο_ον
374,,,,craniate,κρανιωτό
375,,,,iving_thing,ζωντανό_ον
376,,,,raptorial_bird,αρπακτικό_πτηνό
377,,,,bird_of_prey,DUPLICATE_αρπακτικό_πτηνό
379,,,,,αρπακτικό_πουλί
380,L01_21,hypernyms - animals,falcon,,γεράκι
381,,,,raptor,αρπακτικό
382,,,,bird,πτηνό
383,,,,vertebrate,σπονδυλωτό
384,,,,creature,πλάσμα
385,,,,beast,θηρίο
386,,,,being,ον
387,,,,animal,ζώο
388,,,,organism,οργανισμός
389,,,,fauna,πανίδα
390,,,,chordate,χορδωτό
391,,,,animate_being,έμψυχο_ον
392,,,,craniate,κρανιωτό
393,,,,living_thing,ζωντανό_ον
394,,,,raptorial_bird,αρπακτικό_πτηνό
395,,,,bird_of_prey,αρπακτικό_πουλί
397,L01_22,hypernyms - animals,fox,,αλεπού
398,,,,canine,NO_TRANSLATION
399,,,,vertebrate,σπονδυλωτό
400,,,,creature,πλάσμα
401,,,,beast,θηρίο
402,,,,canid,κυνίδης
403,,,,being,ον
404,,,,animal,ζώο
405,,,,organism,οργανισμός
406,,,,fauna,πανίδα
407,,,,placental,πλακουντοφόρο
408,,,,carnivore,σαρκοφάγο
409,,,,chordate,χορδωτό
410,,,,eutherian,ευθήριο
411,,,,mammal,θηλαστικό
412,,,,mammalian,DUPLICATE_θηλαστικό
413,,,,animate_being,έμψυχο_ον
414,,,,eutherian_mammal,ευθήριο_θηλαστικό
415,,,,locomote,DUPLICATE_NO_TRANSLATION
416,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
417,,,,craniate,κρανιωτό
418,,,,domesticated_animal,εξημερωμένο_ζώο
419,,,,physical_entity,φυσική_οντότητα
420,,,,domestic_animal,κατοικίδιο_ζώο
421,,,,living_thing,ζωντανό_ον
422,,,,,οικόσιτο_ζώο
423,L01_23,hypernyms - animals,gibbon,,γίββονας
424,,,,primate,πρωτεύον
425,,,,vertebrate,σπονδυλωτό
426,,,,creature,πλάσμα
427,,,,beast,θηρίο
428,,,,being,ον
429,,,,animal,ζώο
430,,,,organism,οργανισμός
431,,,,fauna,πανίδα
432,,,,placental,πλακουντοφόρο
433,,,,chordate,χορδωτό
434,,,,eutherian,ευθήριο
435,,,,mammal,θηλαστικό
436,,,,ape,πίθηκος
437,,,,mammalian,DUPLICATE_θηλαστικό
438,,,,animate_being,έμψυχο_ον
439,,,,eutherian_mammal,ευθήριο_θηλαστικό
440,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
441,,,,craniate,κρανιωτό
442,,,,physical_physical_entity,NO_TRANSLATION
443,,,,living_thing,ζωντανό_ον
446,L01_24,hypernyms - animals,goat,,κατσίκα
447,,,,bovid,βοοειδές
448,,,,mammal,θηλαστικό
449,,,,vertebrate,σπονδυλωτό
450,,,,ungulate,οπληφόρο
451,,,,beast,θηρίο
452,,,,being,ον
453,,,,animal,ζώο
454,,,,organism,οργανισμός
455,,,,fauna,πανίδα
456,,,,placental,πλακουντοφόρο
457,,,,artiodactyl,αρτιοδάκτυλο
458,,,,chordate,χορδωτό
459,,,,eutherian,ευθήριο
460,,,,mammalian,DUPLICATE_θηλαστικό
461,,,,animate_being,έμψυχο_ον
462,,,,eutherian_mammal,ευθήριο_θηλαστικό
463,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
464,,,,craniate,κρανιωτό
465,,,,hoofed_mammal,οπληφόρο_θηλαστικό
466,,,,even-toed_ungulate,οπληφόρο_με_ίσες_οπλές
467,,,,artiodactyl_mammal,αρτιοδάκτυλο_θηλαστικό
468,,,,living_thing,ζωντανό_ον
469,,,,,"γίδα,τράγος"
470,L01_25,hypernyms - animals,goose,,χήνα
471,,,,fowl,πουλερικό
472,,,,bird,πτηνό
473,,,,vertebrate,σπονδυλωτό
474,,,,poultry,DUPLICATE_πουλερικό
475,,,,creature,πλάσμα
476,,,,beast,θηρίο
477,,,,being,ον
478,,,,animal,ζώο
479,,,,organism,οργανισμός
480,,,,fauna,πανίδα
481,,,,chordate,χορδωτό
482,,,,domestic_fowl,κατοικίδιο_πτηνό
483,,,,waterfowl,υδρόβιο_πτηνό
484,,,,water_fowl,DUPLICATE_υδρόβιο_πτηνό
485,,,,animate_being,έμψυχο_ον
486,,,,anseriform_bird,χηνόμορφο_πτηνό
487,,,,craniate,κρανιωτό
488,,,,living_thing,ζωντανό_ον
489,,,,,οικόσιτο_πτηνό
490,L01_26,hypernyms - animals,gorilla,,γορίλας
491,,,,primate,πρωτεύον
492,,,,vertebrate,σπονδυλωτό
493,,,,creature,πλάσμα
494,,,,beast,θηρίο
495,,,,being,ον
496,,,,animal,ζώο
497,,,,organism,οργανισμός
498,,,,fauna,πανίδα
499,,,,placental,πλακουντοφόρο
500,,,,hominid,ανθρωποειδές
501,,,,chordate,χορδωτό
502,,,,eutherian,ευθήριο
503,,,,mammal,θηλαστικό
504,,,,ape,πίθηκος
505,,,,mammalian,DUPLICATE_θηλαστικό
506,,,,animate_being,έμψυχο_ον
507,,,,eutherian_mammal,ευθήριο_θηλαστικό
508,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
509,,,,craniate,κρανιωτό
510,,,,physical_physical_entity,NO_TRANSLATION
511,,,,living_thing,ζωντανό_ον
513,L01_27,hypernyms - animals,hawk,,γεράκι
514,,,,raptor,αρπακτικό
515,,,,bird,πτηνό
516,,,,vertebrate,σπονδυλωτό
517,,,,creature,πλάσμα
518,,,,beast,θηρίο
519,,,,being,ον
520,,,,animal,ζώο
521,,,,organism,οργανισμός
522,,,,fauna,πανίδα
523,,,,chordate,χορδωτό
524,,,,animate_being,έμψυχο_ον
525,,,,craniate,κρανιωτό
526,,,,living_thing,ζωντανό_ον
527,,,,raptorial_bird,αρπακτικό_πτηνό
528,,,,bird_of_prey,αρπακτικό_πουλί
530,L01_28,hypernyms - animals,human,,άνθρωπος
531,,,,primate,πρωτεύον
532,,,,vertebrate,σπονδυλωτό
533,,,,creature,πλάσμα
534,,,,beast,θηρίο
535,,,,being,ον
536,,,,animal,ζώο
537,,,,organism,οργανισμός
538,,,,fauna,πανίδα
539,,,,placental,πλακουντοφόρο
540,,,,hominid,ανθρωποειδές
541,,,,chordate,χορδωτό
542,,,,eutherian,ευθήριο
543,,,,mammal,θηλαστικό
544,,,,ape,πήθικος
545,,,,mammalian,DUPLICATE_θηλαστικό
546,,,,animate_being,έμψυχο_ον
547,,,,eutherian_mammal,ευθήριο_θηλαστικό
548,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
549,,,,craniate,κρανιωτό
550,,,,physical_physical_entity,NO_TRANSLATION
551,,,,living_thing,ζωντανό_ον
553,L01_29,hypernyms - animals,jackal,,τσακάλι
554,,,,canine,NO_TRANSLATION
555,,,,vertebrate,σπονδυλωτό
556,,,,creature,πλάσμα
557,,,,beast,θηρίο
558,,,,canid,κυνίδης
559,,,,being,ον
560,,,,animal,ζώο
561,,,,organism,οργανισμός
562,,,,fauna,πανίδα
563,,,,placental,πλακουντοφόρο
564,,,,carnivore,σαρκοφάγο
565,,,,chordate,χορδωτό
566,,,,eutherian,ευθήριο
567,,,,mammal,θηλαστικό
568,,,,mammalian,DUPLICATE_θηλαστικό
569,,,,animate_being,έμψυχο_ον
570,,,,eutherian_mammal,ευθήριο_θηλαστικό
571,,,,locomote,DUPLICATE_NO_TRANSLATION
572,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
573,,,,craniate,κρανιωτό
574,,,,domesticated_animal,εξημερωμένο_ζώο
575,,,,physical_entity,φυσική_οντότητα
576,,,,domestic_animal,κατοικίδιο_ζώο
577,,,,living_thing,ζωντανό_ον
578,,,,,οικόσιτο_ζώο
579,L01_30,hypernyms - animals,jaguar,,ιαγουάρος
580,,,,feline,αιλουροειδές
581,,,,cat,γάτα
582,,,,beast,θηρίο
583,,,,animal,ζώο
584,,,,organism,οργανισμός
585,,,,fauna,πανίδα
586,,,,placental,πλακουντοφόρο
587,,,,carnivore,σαρκοφάγο
588,,,,chordate,χορδωτό
589,,,,felid,DUPLICATE_αιλουροειδές
590,,,,eutherian,ευθήριο
591,,,,mammal,θηλαστικό
592,,,,mammalian,DUPLICATE_θηλαστικό
593,,,,eutherian_mammal,ευθήριο_θηλαστικό
594,,,,animate_being,έμψυχο_ον
595,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
596,,,,craniate,κρανιωτό
597,,,,big_cat,μεγάλη_γάτα
599,L01_31,hypernyms - animals,leopard,,λεοπάρδαλη
600,,,,feline,αιλουροειδές
601,,,,cat,γάτα
602,,,,beast,θηρίο
603,,,,animal,ζώο
604,,,,organism,οργανισμός
605,,,,fauna,πανίδα
606,,,,placental,πλακουντοφόρο
607,,,,carnivore,σαρκοφάγο
608,,,,causal_agent,NO_TRANSLATION
609,,,,chordate,χορδωτό
610,,,,felid,DUPLICATE_αιλουροειδές
611,,,,eutherian,ευθήριο
612,,,,mammal,θηλαστικό
613,,,,mammalian,DUPLICATE_θηλαστικό
614,,,,eutherian_mammal,ευθήριο_θηλαστικό
615,,,,animate_being,έμψυχο_ον
616,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
617,,,,craniate,κρανιωτό
618,,,,big_cat,μεγάλη_γάτα
620,L01_32,hypernyms - animals,lion,,λιοντάρι
621,,,,feline,αιλουροειδές
622,,,,cat,γάτα
623,,,,beast,θηρίο
624,,,,animal,ζώο
625,,,,organism,οργανισμός
626,,,,fauna,πανίδα
627,,,,placental,πλακουντοφόρο
628,,,,carnivore,σαρκοφάγο
629,,,,chordate,χορδωτό
630,,,,felid,DUPLICATE_αιλουροειδές
631,,,,eutherian,ευθήριο
632,,,,mammal,θηλαστικό
633,,,,mammalian,DUPLICATE_θηλαστικό
634,,,,eutherian_mammal,ευθήριο_θηλαστικό
635,,,,animate_being,έμψυχο_ον
636,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
637,,,,craniate,κρανιωτό
638,,,,big_cat,μεγάλη_γάτα
640,L01_33,hypernyms - animals,mamba,,μάμπα
641,,,,snake,φίδι
642,,,,reptile,ερπετό
643,,,,elapid,ελαπίδα
644,,,,elapid_snake,NO_TRANSLATION
645,,,,serpent,DUPLICATE_φίδι
646,,,,ophidian,DUPLICATE_NO_TRANSLATION
648,L01_34,hypernyms - animals,mouse,,ποντίκι
649,,,,rodent,τρωκτικό
650,,,,vertebrate,σπονδυλωτό
651,,,,creature,πλάσμα
652,,,,beast,θηρίο
653,,,,animal,ζώο
654,,,,organism,οργανισμός
655,,,,fauna,πανίδα
656,,,,placental,πλακουντοφόρο
657,,,,chordate,χορδωτό
658,,,,eutherian,ευθήριο
659,,,,mammal,θηλαστικό
660,,,,mammalian,DUPLICATE_θηλαστικό
661,,,,eutherian_mammal,ευθήριο_θηλαστικό
662,,,,gnawer,DUPLICATE_τρωκτικό
663,,,,animate_being,έμψυχο_ον
664,,,,living_thing,ζωντανό_ον
665,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
666,,,,craniate,κρανιωτό
669,L01_35,hypernyms - animals,orangutan,,ουρακοτάγκος
670,,,,primate,πρωτεύον
671,,,,vertebrate,σπονδυλωτό
672,,,,creature,πλάσμα
673,,,,beast,θηρίο
674,,,,being,ον
675,,,,animal,ζώο
676,,,,organism,οργανισμός
677,,,,fauna,πανίδα
678,,,,placental,πλακουντοφόρο
679,,,,hominid,ανθρωποειδές
680,,,,chordate,χορδωτό
681,,,,eutherian,ευθήριο
682,,,,mammal,θηλαστικό
683,,,,ape,πήθικος
684,,,,mammalian,DUPLICATE_θηλαστικό
685,,,,animate_being,έμψυχο_ον
686,,,,eutherian_mammal,ευθήριο_θηλαστικό
687,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
688,,,,craniate,κρανιωτό
689,,,,physical_physical_entity,NO_TRANSLATION
690,,,,living_thing,ζωντανό_ον
692,L01_36,hypernyms - animals,owl,,κουκουβάγια
693,,,,raptor,αρπακτικό
694,,,,bird,πτηνό
695,,,,vertebrate,σπονδυλωτό
696,,,,creature,πλάσμα
697,,,,beast,θηρίο
698,,,,being,ον
699,,,,animal,ζώο
700,,,,organism,οργανισμός
701,,,,fauna,πανίδα
702,,,,chordate,χορδωτό
703,,,,animate_being,έμψυχο_ον
704,,,,craniate,κρανιωτό
705,,,,living_thing,ζωντανό_ον
706,,,,raptorial_bird,αρπακτικό_πτηνό
707,,,,bird_of_prey,DUPLICATE_αρπακτικό_πτηνό
708,,,,,αρπακτικό_πουλί
709,L01_37,hypernyms - animals,pony,,πόνι
710,,,,bovid,NO_TRANSLATION
711,,,,mammal,θηλαστικό
712,,,,horse,άλογο
713,,,,vertebrate,σπονδυλωτό
714,,,,creature,πλάσμα
715,,,,beast,θηρίο
716,,,,animal,ζώο
717,,,,organism,οργανισμός
718,,,,fauna,πανίδα
719,,,,placental,πλακουντοφόρο
720,,,,eutherian,ευθήριο
721,,,,equine,DUPLICATE_NO_TRANSLATION
722,,,,mammalian,DUPLICATE_θηλαστικό
723,,,,equid,ιππίδα
724,,,,living_thing,ζωντανό_ον
725,,,,odd-toed_ungulate,οπληφόρο_με_άνισες_οπλές
726,,,,animate_being,έμψυχο_ον
727,,,,eutherian_mammal,ευθήριο_θηλαστικό
728,,,,perissodactyl,περισσοδάκτυλος
729,,,,placental_mammal,πλακουντοφόρο_θηλαστικό
730,,,,craniate,κρανιωτό
731,,,,hoofed_mammal,οπληφόρο_θηλαστικό
732,,,,physical_entity,φυσική_οντότητα
733,,,,perissodactyl_mammal,περισσοδάκτυλο_θηλαστικό
734,,,,equus_caballus,ίππος
736,L01_38,hypernyms - animals,porcupine,,ακανθόχοιρος
737,,,,rodent,τρωκτικό
738,,,,vertebrate,σπονδυλωτό
739,,,,creature,πλάσμα
740,,,,beast,θηρίο
741,,,,animal,ζώο
742,,,,organism,οργανισμός
