,ID,Relation,Source,Target,SK
228,,,,water,voda
229,,,,oxygen,kyslík
230,,,,hydrogen,vodík
231,,,,flake,vločka
232,,,,ice,ľad
233,,,,snowflake,snehová_vločka
234,,,,snowflakes,snehové_vločky
235,,,,h2o,H₂O
236,,,,atomic_number_1,atómové_číslo_1
237,,,,atomic_number_8,atómové_číslo_8
238,,,,h,H
239,,,,o,O
241,L04_42,meronyms - substance,spoon,,lyžička
242,,,,aluminium,hliník
243,,,,wood,drevo
244,,,,steel,oceľ
246,L04_43,meronyms - substance,steel,,oceľ
247,,,,iron,železo
248,,,,pearlite,perlit
249,,,,carbon,uhlík
250,,,,cementite,cementit
251,,,,ferrite,ferit
252,,,,iron_carbide,karbid_železa
253,,,,fe,Fe
254,,,,atomic_number_26,atómové_číslo_26
255,,,,alpha_iron,železo_α
257,L04_44,meronyms - substance,table,,stôl
258,,,,wood,drevo
259,,,,metal,kov
260,,,,plastic,umelá_hmota
262,L04_45,meronyms - substance,wall,,stena
263,,,,cement,cement
264,,,,bricks,tehly
265,,,,stones,kamene
266,,,,rocks,DUPLICATE_kamene
267,,,,wood,drevo
268,,,,cardboard,kartón
269,,,,board,platňa
270,,,,plank,doska
271,,,,clay,hlina
272,,,,mud,blato
274,L04_46,meronyms - substance,water,,voda
275,,,,oxygen,kyslík
276,,,,hydrogen,vodík
277,,,,water,voda
278,,,,h2o,H₂O
279,,,,atomic_number_1,atómové_číslo_1
280,,,,atomic_number_8,atómové_číslo_8
281,,,,h,H
282,,,,o,O
284,L04_47,meronyms - substance,wig,,parochňa
285,,,,hair,vlas
287,L04_48,meronyms - substance,wine,,víno
288,,,,grapes,hrozno
289,,,,grape,DUPLICATE_hrozno
291,L04_49,meronyms - substance,wire,,drôt
292,,,,metal,kov
294,L04_50,meronyms - substance,yogurt,,jogurt
295,,,,milk,mlieko
