,ID,Relation,Source,Target,SK
114,L10_17,antonyms - binary,employ,,zmestnať
115,,,,dismiss,prepustiť
116,,,,fire,vyhodiť
117,,,,sack,vyraziť
118,,,,displace,NO_TRANSLATION
119,,,,terminate,ukončiť_pracovný_pomer
121,L10_18,antonyms - binary,exit,,východ
122,,,,entrance,vchod
123,,,,entranceway,NO_TRANSLATION
124,,,,entryway,DUPLICATE_NO_TRANSLATION
125,,,,entry,vstup
126,,,,entree,DUPLICATE_NO_TRANSLATION
128,L10_19,antonyms - binary,fall,,pád
129,,,,rise,stúpanie
130,,,,upward,DUPLICATE_stúpanie
131,,,,climb,NO_TRANSLATION
133,L10_20,antonyms - binary,first,,prvý
134,,,,last,posledný
135,,,,end,konečný
136,,,,terminal,terminálny
137,,,,ending,NO_TRANSLATION
138,,,,final,finálny
139,,,,finish,finiš
140,,,,finale,finále
141,,,,conclusion,záver
143,L10_21,antonyms - binary,forget,,zabudnúť
144,,,,remember,pamätať
145,,,,retrieve,vyvolať_spomienku
146,,,,recall,rozpamätať_sa
147,,,,call_back,pripomenúť_si
148,,,,call_up,NO_TRANSLATION
149,,,,recollect,spomenúť_si
151,L10_22,antonyms - binary,forward,,dopredu
152,,,,backward,dozadu
153,,,,back,vzad
154,,,,backwards,NO_TRANSLATION
155,,,,rearward,DUPLICATE_NO_TRANSLATION
156,,,,rearwards,DUPLICATE_NO_TRANSLATION
158,L10_23,antonyms - binary,front,,predný
159,,,,back,zadný
160,,,,rear,DUPLICATE_zadný
161,,,,forepart,NO_TRANSLATION
163,L10_24,antonyms - binary,in,,do
164,,,,out,z
165,,,,outer,vonkajší
166,,,,exterior,externý
167,,,,outside,zvonka
169,L10_25,antonyms - binary,inbound,,prichádzajúci
170,,,,outbound,odchádzajúci
172,L10_26,antonyms - binary,inhale,,nadýchnuť_sa
173,,,,exhale,vydýchnuť
175,L10_27,antonyms - binary,input,,vstup
176,,,,output,výstup
178,L10_28,antonyms - binary,inside,,vnútrajšok
179,,,,outside,vonkajšok
180,,,,exterior,exteriér
181,,,,out,NO_TRANSLATION
183,L10_29,antonyms - binary,interior,,interiér
184,,,,exterior,exteriér
185,,,,outdoor,DUPLICATE_vonkajšok
186,,,,out-of-door,NO_TRANSLATION
187,,,,outside,vonkajšok
189,L10_30,antonyms - binary,internal,,vnútorný
190,,,,external,externý
191,,,,outer,vonkajší
194,L10_31,antonyms - binary,inverse,,?
201,L10_32,antonyms - binary,mortal,,smrteľný
202,,,,immortal,nesmrteľný
204,L10_33,antonyms - binary,occupied,,obsadený
205,,,,vacant,neobsadený
206,,,,free,voľný
208,L10_34,antonyms - binary,off,,vypnutý
209,,,,on,zapnutý
211,L10_35,antonyms - binary,out,,vonku
212,,,,in,vnútri
213,,,,inside,vovnútri
215,L10_36,antonyms - binary,outward,,von
220,L10_37,antonyms - binary,over,,nad
221,,,,under,pod
222,,,,below,popod
223,,,,beneath,DUPLICATE_pod
225,L10_38,antonyms - binary,previously,,predtým
226,,,,subsequently,následne
227,,,,later,neskôr
228,,,,afterwards,potom
229,,,,afterward,DUPLICATE_potom
230,,,,after,po
231,,,,subsequent,NO_TRANSLATION
233,L10_39,antonyms - binary,proceed,,pokračovať
234,,,,retreat,ustúpiť
235,,,,return,vrátiť_sa
237,L10_40,antonyms - binary,rise,,stúpať
238,,,,sink,klesať
239,,,,drop,NO_TRANSLATION
240,,,,fall,padať
242,L10_41,antonyms - binary,south,,juh
243,,,,north,sever
245,L10_42,antonyms - binary,southeast,,juhovýchod
246,,,,southwest,juhozápad
247,,,,northeast,severovýchod
249,L10_43,antonyms - binary,submerge,,ponoriť
250,,,,emerge,vynoriť
252,L10_44,antonyms - binary,top,,vrch
253,,,,bottom,spodok
254,,,,underside,spodná_strana
257,L10_45,antonyms - binary,toward,,k
258,,,,away,preč
259,,,,off,od
260,,,,forth,NO_TRANSLATION
261,,,,aside,DUPLICATE_NO_TRANSLATION
263,L10_46,antonyms - binary,True,,pravdivý
264,,,,False,nepravdivý
265,,,,incorrect,nesprávny
266,,,,wrong,zlý
267,,,,mistaken,pomýlený
269,L10_47,antonyms - binary,under,,pod
270,,,,over,nad
271,,,,above,ponad
272,,,,up,hore_na
274,L10_48,antonyms - binary,up,,hore
275,,,,down,dolu
276,,,,downwards,nadol
277,,,,downward,DUPLICATE_nadol
278,,,,downwardly,NO_TRANSLATION
280,L10_49,antonyms - binary,uphill,,hore_kopcom
281,,,,downhill,dolu_kopcom
282,,,,decline,NO_TRANSLATION
283,,,,fall,DUPLICATE_NO_TRANSLATION
284,,,,declivitous,DUPLICATE_NO_TRANSLATION
285,,,,downward-sloping,naklonený_dolu
287,L10_50,antonyms - binary,west,,západ
288,,,,east,východ
