,ID,Relation,Source,Target,SK
129,,,,feline,mačkovitý
130,,,,beast,zviera
131,,,,animal,živočích
132,,,,organism,organizmus
133,,,,fauna,fauna
134,,,,placental,placentovec
135,,,,carnivore,mäsožravec
136,,,,chordate,chordát
137,,,,felid,DUPLICATE_mačkovitý
138,,,,eutherian,vyšší_cicavec
139,,,,mammal,cicavec
140,,,,mammalian,DUPLICATE_cicavec
141,,,,eutherian_mammal,DUPLICATE_placentálovec
142,,,,animate_being,živá_bytosť
143,,,,placental_mammal,placentálovec
144,,,,craniate,DUPLICATE_stavovec
146,L01_10,hypernyms - animals,chicken,,kura
147,,,,fowl,NO_TRANSLATION
148,,,,bird,vták
149,,,,vertebrate,stavovec
150,,,,poultry,hydina
151,,,,creature,tvor
152,,,,beast,zviera
153,,,,being,bytosť
154,,,,animal,živočích
155,,,,organism,organizmus
156,,,,fauna,fauna
157,,,,chordate,chordát
158,,,,domestic_fowl,domáca_hydina
159,,,,animate_being,živá_bytosť
160,,,,gallinaceous_bird,hrabavý_vták
161,,,,craniate,DUPLICATE_stavovec
162,,,,gallinacean,hrabavá_hydina
163,,,,living_thing,živá_vec
166,L01_11,hypernyms - animals,chimpanzee,,šimpanz
167,,,,primate,primát
168,,,,vertebrate,stavovec
169,,,,creature,tvor
170,,,,beast,zviera
171,,,,being,bytosť
172,,,,animal,živočích
173,,,,organism,organizmus
174,,,,fauna,fauna
175,,,,placental,placentovec
176,,,,hominid,hominid
177,,,,chordate,chordát
178,,,,eutherian,vyšší_cicavec
179,,,,mammal,cicavec
180,,,,ape,opica
181,,,,mammalian,DUPLICATE_cicavec
182,,,,animate_being,živá_bytosť
183,,,,eutherian_mammal,DUPLICATE_placentálovec
184,,,,placental_mammal,placentálovec
185,,,,craniate,DUPLICATE_stavovec
186,,,,physical_physical_entity,NO_TRANSLATION
187,,,,living_thing,živá_vec
189,L01_12,hypernyms - animals,chinchilla,,činčila
190,,,,rodent,hlodavec
191,,,,vertebrate,stavovec
192,,,,creature,tvor
193,,,,beast,zviera
194,,,,animal,živočích
195,,,,organism,organizmus
196,,,,fauna,fauna
197,,,,placental,placentovec
198,,,,chordate,chordát
199,,,,eutherian,vyšší_cicavec
200,,,,mammal,cicavec
201,,,,mammalian,DUPLICATE_cicavec
202,,,,eutherian_mammal,DUPLICATE_placentálovec
203,,,,gnawer,DUPLICATE_hlodavec
204,,,,animate_being,živá_bytosť
205,,,,living_thing,živá_vec
206,,,,placental_mammal,placentálovec
207,,,,craniate,DUPLICATE_stavovec
209,L01_13,hypernyms - animals,cobra,,kobra
210,,,,snake,had
211,,,,reptile,plaz
212,,,,elapid,koralovcovitý
213,,,,elapid_snake,korálovcovitý
214,,,,serpent,DUPLICATE_had
215,,,,ophidian,DUPLICATE_had
217,L01_14,hypernyms - animals,cockroach,,šváb
218,,,,insect,hmyz
219,,,,invertebrate,bezstavovec
220,,,,creature,tvor
221,,,,beast,zviera
222,,,,dictyopterous_insect,NO_TRANSLATION
223,,,,being,bytosť
224,,,,animal,živočích
225,,,,organism,organizmus
226,,,,fauna,fauna
227,,,,arthropod,článkonožec
228,,,,animate_being,živá_bytosť
229,,,,physical_entity,fyzická_entita
230,,,,living_thing,živá_vec
233,L01_15,hypernyms - animals,cow,,krava
234,,,,bovid,tur
235,,,,mammal,cicavec
236,,,,cattle,dobytok
237,,,,vertebrate,stavovec
238,,,,creature,tvor
239,,,,ungulate,kopytník
240,,,,beast,zviera
241,,,,being,bytosť
242,,,,animal,živočích
243,,,,organism,organizmus
244,,,,fauna,fauna
245,,,,placental,placentovec
246,,,,artiodactyl,DUPLICATE_párnokopytník
247,,,,ruminant,prežúvavec
248,,,,chordate,chordát
249,,,,eutherian,vyšší_cicavec
250,,,,mammalian,DUPLICATE_cicavec
251,,,,animate_being,živá_bytosť
252,,,,eutherian_mammal,DUPLICATE_placentálovec
253,,,,placental_mammal,placentálovec
254,,,,craniate,DUPLICATE_stavovec
255,,,,physical_hoofed_mammal,NO_TRANSLATION
256,,,,physical_entity,fyzická_entita
257,,,,even-toed_ungulate,párnokopytník
258,,,,artiodactyl_mammal,DUPLICATE_NO_TRANSLATION
259,,,,living_thing,živá_vec
261,L01_16,hypernyms - animals,coyote,,kojot
262,,,,canine,psovitý
263,,,,vertebrate,stavovec
264,,,,creature,tvor
265,,,,beast,zviera
266,,,,canid,DUPLICATE_psovitý
267,,,,being,bytosť
268,,,,animal,živočích
269,,,,organism,organizmus
270,,,,fauna,fauna
271,,,,placental,placentovec
272,,,,carnivore,mäsožravec
273,,,,chordate,chordát
274,,,,eutherian,vyšší_cicavec
275,,,,mammal,cicavec
276,,,,mammalian,DUPLICATE_cicavec
277,,,,animate_being,živá_bytosť
278,,,,eutherian_mammal,DUPLICATE_placentálovec
279,,,,locomote,NO_TRANSLATION
280,,,,placental_mammal,DUPLICATE_placentálovec
281,,,,craniate,DUPLICATE_stavovec
282,,,,domesticated_animal,domáce_zviera
283,,,,physical_entity,fyzická_entita
284,,,,domestic_animal,DUPLICATE_domáce_zviera
285,,,,living_thing,živá_vec
287,L01_17,hypernyms - animals,deer,,jeleň
288,,,,bovid,tur
289,,,,mammal,cicavec
290,,,,vertebrate,stavovec
291,,,,creature,tvor
292,,,,ungulate,kopytník
293,,,,beast,zviera
294,,,,being,bytosť
295,,,,animal,živočích
296,,,,organism,organizmus
297,,,,fauna,fauna
298,,,,placental,placentovec
299,,,,artiodactyl,DUPLICATE_párnokopytník
300,,,,ruminant,prežúvavec
301,,,,chordate,chordát
302,,,,eutherian,vyšší_cicavec
303,,,,mammalian,DUPLICATE_cicavec
304,,,,bovine,DUPLICATE_tur
305,,,,animate_being,živá_bytosť
306,,,,eutherian_mammal,placentálovec
307,,,,placental_mammal,DUPLICATE_placentálovec
308,,,,craniate,DUPLICATE_stavovec
309,,,,physical_hoofed_mammal,NO_TRANSLATION
310,,,,physical_entity,fyzická_entita
311,,,,even-toed_ungulate,párnokopytník
312,,,,artiodactyl_mammal,DUPLICATE_NO_TRANSLATION
313,,,,living_thing,živá_vec
316,L01_18,hypernyms - animals,dog,,pes
317,,,,canine,psovitý
318,,,,vertebrate,stavovec
319,,,,creature,tvor
320,,,,beast,zviera
321,,,,canid,DUPLICATE_psovitý
322,,,,being,bytosť
323,,,,animal,živočích
324,,,,organism,organizmus
325,,,,fauna,fauna
326,,,,placental,placentovec
327,,,,carnivore,mäsožravec
328,,,,chordate,chordát
329,,,,eutherian,vyšší_cicavec
330,,,,mammal,cicavec
331,,,,mammalian,DUPLICATE_cicavec
332,,,,animate_being,živá_bytosť
333,,,,eutherian_mammal,DUPLICATE_placentálovec
334,,,,locomote,NO_TRANSLATION
335,,,,placental_mammal,placentálovec
336,,,,craniate,DUPLICATE_stavovec
337,,,,domesticated_animal,domáce_zviera
338,,,,physical_entity,fyzická_entita
339,,,,domestic_animal,DUPLICATE_domáce_zviera
340,,,,living_thing,živá_vec
342,L01_19,hypernyms - animals,duck,,kačka
343,,,,fowl,NO_TRANSLATION
344,,,,bird,vták
345,,,,vertebrate,stavovec
346,,,,poultry,hydina
347,,,,creature,tvor
348,,,,beast,zviera
349,,,,being,bytosť
350,,,,animal,živočích
351,,,,organism,organizmus
352,,,,fauna,fauna
353,,,,chordate,chordát
354,,,,domestic_fowl,domáca_hydina
355,,,,waterfowl,vodné_vtáctvo
356,,,,water_fowl,DUPLICATE_vodné_vtáctvo
357,,,,animate_being,živá_bytosť
358,,,,anseriform_bird,husotvarý
359,,,,craniate,DUPLICATE_stavovec
360,,,,living_thing,živá_vec
362,L01_20,hypernyms - animals,eagle,,orol
363,,,,raptor,dravý_vták
364,,,,bird,vták
365,,,,vertebrate,stavovec
366,,,,creature,tvor
367,,,,beast,zviera
368,,,,being,bytosť
369,,,,animal,živočích
370,,,,organism,organizmus
371,,,,fauna,fauna
372,,,,chordate,chordát
373,,,,animate_being,živá_bytosť
374,,,,craniate,DUPLICATE_stavovec
375,,,,iving_thing,NO_TRANSLATION
376,,,,raptorial_bird,DUPLICATE_dravý_vták
377,,,,bird_of_prey,DUPLICATE_dravý_vták
380,L01_21,hypernyms - animals,falcon,,sokol
381,,,,raptor,dravý_vták
382,,,,bird,vták
383,,,,vertebrate,stavovec
384,,,,creature,tvor
385,,,,beast,zviera
386,,,,being,bytosť
387,,,,animal,živočích
388,,,,organism,organizmus
389,,,,fauna,fauna
390,,,,chordate,chordát
391,,,,animate_being,živá_bytosť
392,,,,craniate,DUPLICATE_stavovec
393,,,,living_thing,živá_vec
394,,,,raptorial_bird,DUPLICATE_dravý_vták
395,,,,bird_of_prey,DUPLICATE_dravý_vták
397,L01_22,hypernyms - animals,fox,,líška
398,,,,canine,psovitý
399,,,,vertebrate,stavovec
400,,,,creature,bytosť
401,,,,beast,zviera
402,,,,canid,DUPLICATE_psovitý
403,,,,being,DUPLICATE_bytosť
404,,,,animal,živočích
405,,,,organism,organizmus
406,,,,fauna,fauna
407,,,,placental,placentovec
408,,,,carnivore,mäsožravec
409,,,,chordate,chordát
410,,,,eutherian,vyšší_cicavec
411,,,,mammal,cicavec
412,,,,mammalian,DUPLICATE_cicavec
413,,,,animate_being,živá_bytosť
414,,,,eutherian_mammal,DUPLICATE_placentálovec
415,,,,locomote,NO_TRANSLATION
416,,,,placental_mammal,placentálovec
417,,,,craniate,DUPLICATE_stavovec
418,,,,domesticated_animal,domáce_zviera
419,,,,physical_entity,fyzická_entita
420,,,,domestic_animal,DUPLICATE_domáce_zviera
421,,,,living_thing,živá_vec
423,L01_23,hypernyms - animals,gibbon,,gibon
424,,,,primate,primát
425,,,,vertebrate,stavovec
426,,,,creature,tvor
427,,,,beast,zviera
428,,,,being,bytosť
429,,,,animal,živočích
430,,,,organism,organizmus
431,,,,fauna,fauna
432,,,,placental,placentovec
433,,,,chordate,chordát
434,,,,eutherian,vyšší_cicavec
435,,,,mammal,cicavec
436,,,,ape,opica
437,,,,mammalian,DUPLICATE_cicavec
438,,,,animate_being,živá_bytosť
439,,,,eutherian_mammal,DUPLICATE_placentálovec
440,,,,placental_mammal,placentálovec
441,,,,craniate,DUPLICATE_stavovec
442,,,,physical_physical_entity,NO_TRANSLATION
443,,,,living_thing,živá_vec
446,L01_24,hypernyms - animals,goat,,koza
447,,,,bovid,tur
448,,,,mammal,cicavec
449,,,,vertebrate,stavovec
450,,,,ungulate,kopytník
451,,,,beast,zviera
452,,,,being,bytosť
453,,,,animal,živočích
454,,,,organism,organizmus
455,,,,fauna,fauna
456,,,,placental,placentovec
457,,,,artiodactyl,DUPLICATE_párnokopytník
458,,,,chordate,chordát
459,,,,eutherian,vyšší_cicavec
460,,,,mammalian,DUPLICATE_cicavec
461,,,,animate_being,živá_bytosť
462,,,,eutherian_mammal,DUPLICATE_placentálovec
463,,,,placental_mammal,placentálovec
464,,,,craniate,DUPLICATE_stavovec
465,,,,hoofed_mammal,DUPLICATE_kopytník
466,,,,even-toed_ungulate,párnokopytník
467,,,,artiodactyl_mammal,NO_TRANSLATION
468,,,,living_thing,živá_vec
470,L01_25,hypernyms - animals,goose,,hus
471,,,,fowl,NO_TRANSLATION
472,,,,bird,vták
473,,,,vertebrate,stavovec
474,,,,poultry,hydina
475,,,,creature,tvor
476,,,,beast,zviera
477,,,,being,bytosť
478,,,,animal,živočích
479,,,,organism,organizmus
480,,,,fauna,fauna
481,,,,chordate,chordát
482,,,,domestic_fowl,domáca_hydina
483,,,,waterfowl,vodné_vtáctvo
484,,,,water_fowl,DUPLICATE_vodné_vtáctvo
485,,,,animate_being,živá_bytosť
486,,,,anseriform_bird,husotvarý
487,,,,craniate,DUPLICATE_stavovec
488,,,,living_thing,živá_vec
490,L01_26,hypernyms - animals,gorilla,,gorila
491,,,,primate,primát
492,,,,vertebrate,stavovec
493,,,,creature,tvor
494,,,,beast,zviera
495,,,,being,bytosť
496,,,,animal,živočích
497,,,,organism,organizmus
498,,,,fauna,fauna
499,,,,placental,placentovec
500,,,,hominid,hominid
501,,,,chordate,chordát
502,,,,eutherian,vyšší_cicavec
503,,,,mammal,cicavec
504,,,,ape,opica
505,,,,mammalian,DUPLICATE_cicavec
506,,,,animate_being,živá_bytosť
507,,,,eutherian_mammal,placentálovec
508,,,,placental_mammal,DUPLICATE_placentálovec
509,,,,craniate,DUPLICATE_stavovec
510,,,,physical_physical_entity,NO_TRANSLATION
511,,,,living_thing,živá_vec
513,L01_27,hypernyms - animals,hawk,,jastrab
514,,,,raptor,dravý_vták
515,,,,bird,vták
516,,,,vertebrate,stavovec
517,,,,creature,tvor
518,,,,beast,zviera
519,,,,being,bytosť
520,,,,animal,živočích
521,,,,organism,organizmus
522,,,,fauna,fauna
523,,,,chordate,chordát
524,,,,animate_being,živá_bytosť
525,,,,craniate,DUPLICATE_stavovec
526,,,,living_thing,živá_vec
527,,,,raptorial_bird,DUPLICATE_dravý_vták
528,,,,bird_of_prey,DUPLICATE_dravý_vták
530,L01_28,hypernyms - animals,human,,človek
531,,,,primate,primát
532,,,,vertebrate,stavovec
533,,,,creature,tvor
534,,,,beast,zviera
535,,,,being,bytosť
536,,,,animal,živočích
537,,,,organism,organizmus
538,,,,fauna,fauna
539,,,,placental,placentovec
540,,,,hominid,hominid
541,,,,chordate,chordát
542,,,,eutherian,vyšší_cicavec
543,,,,mammal,cicavec
544,,,,ape,opica
545,,,,mammalian,DUPLICATE_cicavec
546,,,,animate_being,živá_bytosť
547,,,,eutherian_mammal,placentálovec
548,,,,placental_mammal,DUPLICATE_placentálovec
549,,,,craniate,DUPLICATE_stavovec
550,,,,physical_physical_entity,NO_TRANSLATION
551,,,,living_thing,živá_vec
553,L01_29,hypernyms - animals,jackal,,šakal
554,,,,canine,psovitý
555,,,,vertebrate,stavovec
556,,,,creature,tvor
557,,,,beast,zviera
558,,,,canid,DUPLICATE_psovitý
559,,,,being,bytosť
560,,,,animal,živočích
561,,,,organism,organizmus
562,,,,fauna,fauna
563,,,,placental,placentovec
564,,,,carnivore,mäsožravec
565,,,,chordate,chordát
566,,,,eutherian,vyšší_cicavec
567,,,,mammal,cicavec
568,,,,mammalian,DUPLICATE_cicavec
569,,,,animate_being,živá_bytosť
570,,,,eutherian_mammal,DUPLICATE_placentálovec
571,,,,locomote,NO_TRANSLATION
572,,,,placental_mammal,placentálovec
573,,,,craniate,DUPLICATE_stavovec
574,,,,domesticated_animal,domáce_zviera
575,,,,physical_entity,fyzická_entita
576,,,,domestic_animal,DUPLICATE_domáce_zviera
577,,,,living_thing,živá_vec
579,L01_30,hypernyms - animals,jaguar,,jaguár
580,,,,feline,mačkovitý
581,,,,cat,mačka
582,,,,beast,zviera
583,,,,animal,živočích
584,,,,organism,organizmus
585,,,,fauna,fauna
586,,,,placental,placentovec
587,,,,carnivore,mäsožravec
588,,,,chordate,chordát
589,,,,felid,DUPLICATE_mačkovitý
590,,,,eutherian,vyšší_cicavec
591,,,,mammal,cicavec
592,,,,mammalian,DUPLICATE_cicavec
593,,,,eutherian_mammal,DUPLICATE_placentálovec
594,,,,animate_being,živá_bytosť
595,,,,placental_mammal,placentálovec
596,,,,craniate,DUPLICATE_stavovec
597,,,,big_cat,mačkovitá_šelma
599,L01_31,hypernyms - animals,leopard,,leopard
600,,,,feline,mačkovitý
601,,,,cat,mačka
602,,,,beast,zviera
603,,,,animal,živočích
604,,,,organism,organizmus
605,,,,fauna,fauna
606,,,,placental,placentovec
607,,,,carnivore,mäsožravec
608,,,,causal_agent,kauzálny_agent
609,,,,chordate,chordát
610,,,,felid,DUPLICATE_mačkovitý
611,,,,eutherian,vyšší_cicavec
612,,,,mammal,cicavec
613,,,,mammalian,DUPLICATE_cicavec
614,,,,eutherian_mammal,DUPLICATE_placentálovec
615,,,,animate_being,živá_bytosť
616,,,,placental_mammal,placentálovec
617,,,,craniate,DUPLICATE_stavovec
618,,,,big_cat,mačkovitá_šelma
620,L01_32,hypernyms - animals,lion,,lev
621,,,,feline,mačkovitý
622,,,,cat,mačka
623,,,,beast,zviera
624,,,,animal,živočích
625,,,,organism,organizmus
626,,,,fauna,fauna
627,,,,placental,placentovec
628,,,,carnivore,mäsožravec
629,,,,chordate,chordát
630,,,,felid,DUPLICATE_mačkovitý
631,,,,eutherian,vyšší_cicavec
632,,,,mammal,cicavec
633,,,,mammalian,DUPLICATE_cicavec
634,,,,eutherian_mammal,DUPLICATE_placentálovec
635,,,,animate_being,živá_bytosť
636,,,,placental_mammal,placentálovec
637,,,,craniate,DUPLICATE_stavovec
638,,,,big_cat,mačkovitá_šelma
640,L01_33,hypernyms - animals,mamba,,mamba
641,,,,snake,had
642,,,,reptile,plaz
643,,,,elapid,koralovcovitý
644,,,,elapid_snake,korálovcovitý
645,,,,serpent,DUPLICATE_had
646,,,,ophidian,DUPLICATE_had
648,L01_34,hypernyms - animals,mouse,,myš
649,,,,rodent,hlodavec
650,,,,vertebrate,stavovec
651,,,,creature,tvor
652,,,,beast,zviera
653,,,,animal,živočích
654,,,,organism,organizmus
655,,,,fauna,fauna
656,,,,placental,placentovec
657,,,,chordate,chordát
658,,,,eutherian,vyšší_cicavec
659,,,,mammal,cicavec
660,,,,mammalian,DUPLICATE_cicavec
661,,,,eutherian_mammal,DUPLICATE_placentálovec
662,,,,gnawer,DUPLICATE_hlodavec
663,,,,animate_being,živá_bytosť
664,,,,living_thing,živá_vec
665,,,,placental_mammal,placentálovec
666,,,,craniate,DUPLICATE_stavovec
669,L01_35,hypernyms - animals,orangutan,,orangutan
670,,,,primate,primát
671,,,,vertebrate,stavovec
672,,,,creature,tvor
673,,,,beast,zviera
674,,,,being,bytosť
675,,,,animal,živočích
676,,,,organism,organizmus
677,,,,fauna,fauna
678,,,,placental,placentovec
679,,,,hominid,hominid
680,,,,chordate,chordát
681,,,,eutherian,vyšší_cicavec
682,,,,mammal,cicavec
683,,,,ape,opica
684,,,,mammalian,DUPLICATE_cicavec
685,,,,animate_being,živá_bytosť
686,,,,eutherian_mammal,DUPLICATE_placentálovec
687,,,,placental_mammal,placentálovec
688,,,,craniate,DUPLICATE_stavovec
689,,,,physical_physical_entity,NO_TRANSLATION
690,,,,living_thing,živá_vec
692,L01_36,hypernyms - animals,owl,,sova
693,,,,raptor,dravý_vták
694,,,,bird,vták
695,,,,vertebrate,stavovec
696,,,,creature,tvor
697,,,,beast,zviera
698,,,,being,bytosť
699,,,,animal,živočích
700,,,,organism,organizmus
701,,,,fauna,fauna
702,,,,chordate,chordát
703,,,,animate_being,živá_bytosť
704,,,,craniate,DUPLICATE_stavovec
705,,,,living_thing,živá_vec
706,,,,raptorial_bird,DUPLICATE_dravý_vták
707,,,,bird_of_prey,DUPLICATE_dravý_vták
709,L01_37,hypernyms - animals,pony,,poník
710,,,,bovid,bovid
711,,,,mammal,cicavec
712,,,,horse,kôň
713,,,,vertebrate,stavovec
714,,,,creature,tvor
715,,,,beast,zviera
716,,,,animal,živočích
717,,,,organism,organizmus
718,,,,fauna,fauna
719,,,,placental,placentovec
720,,,,eutherian,vyšší_cicavec
721,,,,equine,DUPLICATE_kôň
722,,,,mammalian,DUPLICATE_cicavec
723,,,,equid,DUPLICATE_kôň
724,,,,living_thing,živá_vec
725,,,,odd-toed_ungulate,nepárnokopytník
726,,,,animate_being,živá_bytosť
727,,,,eutherian_mammal,placentálovec
728,,,,perissodactyl,DUPLICATE_nepárnokopytník
729,,,,placental_mammal,DUPLICATE_placentálovec
730,,,,craniate,DUPLICATE_stavovec
731,,,,hoofed_mammal,DUPLICATE_kopytník
732,,,,physical_entity,fyzická_entita
733,,,,perissodactyl_mammal,DUPLICATE_nepárnokopytník
734,,,,equus_caballus,kôň_domáci
736,L01_38,hypernyms - animals,porcupine,,dikobraz
737,,,,rodent,hlodavec
738,,,,vertebrate,stavovec
739,,,,creature,tvor
740,,,,beast,zviera
741,,,,animal,živočích
742,,,,organism,organizmus
743,,,,fauna,fauna
744,,,,placental,placentovec
745,,,,chordate,chordát
746,,,,eutherian,vyšší_cicavec
747,,,,mammal,cicavec
748,,,,mammalian,DUPLICATE_cicavec
749,,,,eutherian_mammal,placentálovec
750,,,,gnawer,DUPLICATE_hlodavec
751,,,,animate_being,živá_bytosť
752,,,,living_thing,živá_vec
753,,,,placental_mammal,DUPLICATE_placentálovec
754,,,,craniate,DUPLICATE_stavovec
756,L01_39,hypernyms - animals,quail,,prepelica
757,,,,fowl,NO_TRANSLATION
758,,,,bird,vták
759,,,,vertebrate,stavovec
760,,,,poultry,hydina
761,,,,creature,tvor
762,,,,beast,zviera
763,,,,being,bytosť
764,,,,animal,živočích
765,,,,organism,organizmus
766,,,,fauna,fauna
767,,,,chordate,chordát
768,,,,wild_fowl,divý_vták
769,,,,wildfowl,DUPLICATE_divý_vták
770,,,,animate_being,živá_bytosť
771,,,,gallinaceous_bird,hrabavý_vták
772,,,,craniate,DUPLICATE_stavovec
773,,,,gallinacean,hrabavá_hydina
774,,,,living_thing,živá_vec
776,L01_40,hypernyms - animals,rattlesnake,,štrkáč
777,,,,snake,had
778,,,,reptile,plaz
779,,,,pit_viper,štrkáčovitý
780,,,,serpent,DUPLICATE_had
781,,,,ophidian,DUPLICATE_had
783,L01_41,hypernyms - animals,squirrel,,veverička
784,,,,rodent,hlodavec
785,,,,vertebrate,stavovec
786,,,,creature,tvor
787,,,,beast,zviera
788,,,,animal,živočích
789,,,,organism,organizmus
790,,,,fauna,fauna
791,,,,placental,placentovec
792,,,,chordate,chordát
793,,,,eutherian,vyšší_cicavec
794,,,,mammal,cicavec
795,,,,mammalian,DUPLICATE_cicavec
796,,,,eutherian_mammal,DUPLICATE_placentálovec
797,,,,gnawer,DUPLICATE_hlodavec
798,,,,animate_being,živá_bytosť
799,,,,living_thing,živá_vec
800,,,,placental_mammal,placentálovec
801,,,,craniate,DUPLICATE_stavovec
803,L01_42,hypernyms - animals,stegosaurus,,stegosaurus
804,,,,dinosaur,dinosaurus
805,,,,reptile,plaz
806,,,,armored_dinosaur,obrnený_dinosaurus
807,,,,archosaur,archosaurus
808,,,,archosaurian,DUPLICATE_archosaurus
809,,,,archosaurian_reptile,DUPLICATE_archosaurus
811,L01_43,hypernyms - animals,tiger,,tiger
812,,,,feline,mačkovitý
813,,,,cat,mačka
814,,,,beast,zviera
815,,,,animal,živočích
816,,,,organism,organizmus
817,,,,fauna,fauna
818,,,,placental,placentovec
819,,,,carnivore,mäsožravec
820,,,,chordate,chordát
821,,,,felid,DUPLICATE_mačkovitý
822,,,,eutherian,vyšší_cicavec
823,,,,mammal,cicavec
824,,,,mammalian,DUPLICATE_cicavec
825,,,,eutherian_mammal,DUPLICATE_placentálovec
826,,,,animate_being,živá_bytosť
827,,,,placental_mammal,placentálovec
828,,,,craniate,DUPLICATE_stavovec
829,,,,big_cat,mačkovitá_šelma
832,L01_44,hypernyms - animals,triceratops,,triceratops
833,,,,dinosaur,dinosaurus
834,,,,reptile,plaz
835,,,,ceratopsian,ceratops
836,,,,horned_dinosaur,rohatý_dinosaurus
837,,,,archosaur,archosaurus
838,,,,archosaurian,DUPLICATE_archosaurus
839,,,,archosaurian_reptile,DUPLICATE_archosaurus
841,L01_45,hypernyms - animals,turkey,,moriak
842,,,,fowl,NO_TRANSLATION
843,,,,bird,vták
844,,,,vertebrate,stavovec
845,,,,poultry,hydina
846,,,,creature,tvor
847,,,,beast,zviera
848,,,,being,bytosť
849,,,,animal,živočích
850,,,,organism,organizmus
851,,,,fauna,fauna
852,,,,chordate,chordát
853,,,,domestic_fowl,domáca_hydina
854,,,,animate_being,živá_bytosť
