,ID,Relation,Source,Target,SK
115,L05_29,meronyms - member,musician,,hudobník
116,,,,orchestra,orchester
117,,,,band,hodina
119,L05_30,meronyms - member,nomad,,nomád
120,,,,horde,horda
122,L05_31,meronyms - member,page,,strana
123,,,,book,kniha
124,,,,notebook,zápisník
125,,,,website,NO_TRANSLATION
126,,,,web-site,DUPLICATE_NO_TRANSLATION
128,L05_32,meronyms - member,parishioner,,farník
129,,,,parish,fara
130,,,,church,cirkev
132,L05_33,meronyms - member,person,,osoba
133,,,,society,spoločnosť
134,,,,company,DUPLICATE_spoločnosť
135,,,,party,NO_TRANSLATION
136,,,,world,svet
137,,,,,"spoločenstvo,združenie"
138,L05_34,meronyms - member,photo,,fotografia
139,,,,album,album
140,,,,collection,zbierka_fotografií
141,,,,library,NO_TRANSLATION
142,,,,,fotoalbum
143,L05_35,meronyms - member,player,,hráč
144,,,,team,tím
145,,,,group,skupina
146,,,,orchestra,orchester
148,L05_36,meronyms - member,policeman,,policajt
149,,,,police,polícia
151,L05_37,meronyms - member,secretary,,sekretárka
152,,,,staff,personál
154,L05_38,meronyms - member,senator,,senátor
155,,,,senate,senát
156,,,,house,komora
158,L05_39,meronyms - member,sheep,,ovca
159,,,,flock,stádo
161,L05_40,meronyms - member,shrub,,krík
162,,,,shrubbery,kríky
164,L05_41,meronyms - member,singer,,spevák
165,,,,choir,zbor
166,,,,band,skupina
167,,,,duo,duo
168,,,,trio,trio
169,,,,quartet,kvarteto
171,L05_42,meronyms - member,soldier,,vojak
172,,,,army,armáda
173,,,,unit,jednotka
174,,,,division,divízia
175,,,,troop,oddiel
177,L05_43,meronyms - member,song,,pesnička
178,,,,album,album
179,,,,collection,zbierka_piesní
180,,,,antology,antológia
181,,,,library,hudobná_knižnica
183,L05_44,meronyms - member,spouse,,manželský_partner
184,,,,couple,pár
185,,,,relationship,vzťah
186,,,,family,rodina
188,L05_45,meronyms - member,star,,hviezda
189,,,,constellation,súhvezdie
190,,,,galaxy,galaxia
192,L05_46,meronyms - member,state,,štát
193,,,,country,krajina
194,,,,province,provincia
196,L05_47,meronyms - member,student,,žiak
197,,,,class,trieda
198,,,,school,škola
200,L05_48,meronyms - member,tree,,strom
201,,,,forest,les
202,,,,wood,háj
203,,,,grove,lesík
205,L05_49,meronyms - member,wolf,,vlk
206,,,,pack,svorka
208,L05_50,meronyms - member,word,,slovo
209,,,,paragraph,odsek
210,,,,sentence,veta
211,,,,text,text
