,ID,Relation,Source,Target,SK
93,,,,shrimpy,DUPLICATE_NO_TRANSLATION
94,,,,slender,chatrný
95,,,,slim,DUPLICATE_NO_TRANSLATION
96,,,,smaller,DUPLICATE_menší
97,,,,littler,DUPLICATE_menší
98,,,,smallish,neveľký
99,,,,small-scale,DUPLICATE_NO_TRANSLATION
100,,,,undersize,DUPLICATE_poddimenzovaný
101,,,,undersized,poddimenzovaný
102,,,,,"malilinký,mini,nano,mrňavý,prťavý,pidi"
103,L09_6,antonyms - gradable,bright,,jasný
104,,,,pale,bledý
105,,,,colorless,bezfarebný
106,,,,colourless,DUPLICATE_bezfarebný
107,,,,dull,kalný
108,,,,neutral,neutrálny
109,,,,white,biely
110,,,,bleached,odfarbený
111,,,,faded,vyblednutý
112,,,,washed-out,NO_TRANSLATION
113,,,,washy,DUPLICATE_NO_TRANSLATION
114,,,,drab,fádny
115,,,,somber,pochmúrny
116,,,,sombre,temný
117,,,,dulled,DUPLICATE_NO_TRANSLATION
118,,,,greyed,zošedivený
119,,,,etiolate,DUPLICATE_NO_TRANSLATION
120,,,,etiolated,DUPLICATE_NO_TRANSLATION
121,,,,lurid,chmúrny
122,,,,waxen,DUPLICATE_NO_TRANSLATION
123,,,,waxlike,DUPLICATE_NO_TRANSLATION
124,,,,waxy,voskový
125,,,,whitened,vybielený
126,,,,,"nevýrazný,mdlý,zošednutý,ponurý"
127,L09_7,antonyms - gradable,cheap,,lacný
128,,,,expensive,drahý
129,,,,big-ticket,DUPLICATE_drahý
130,,,,high-ticket,DUPLICATE_drahý
131,,,,costly,nákladný
132,,,,dear,DUPLICATE_drahý
133,,,,high-priced,NO_TRANSLATION
134,,,,pricey,DUPLICATE_drahý
135,,,,pricy,DUPLICATE_drahý
136,,,,dearly-won,DUPLICATE_NO_TRANSLATION
137,,,,overpriced,nadcenený
138,,,,valuable,cenný
139,,,,,"drahocenný,nekresťanský,predražený,predrahý,drahý_špás,veľa_stojaci"
140,L09_8,antonyms - gradable,clean,,čistý
141,,,,dirty,špinavý
142,,,,soiled,umazaný
143,,,,unclean,nečistý
144,,,,augean,augiášov
145,,,,bedraggled,znečistený
146,,,,draggled,pošpinený
147,,,,befouled,ufúľaný
148,,,,fouled,zafúľaný
149,,,,begrimed,DUPLICATE_zamazaný
150,,,,dingy,ošúchaný
151,,,,grimy,zababraný
152,,,,grubby,ušpinený
153,,,,grungy,NO_TRANSLATION
154,,,,raunchy,DUPLICATE_NO_TRANSLATION
155,,,,black,čierny
156,,,,smutty,začadený
157,,,,buggy,zavšivený
158,,,,cobwebby,pokrytý_pavučinami
159,,,,dirty-faced,DUPLICATE_NO_TRANSLATION
160,,,,feculent,kalný
161,,,,filthy,DUPLICATE_znečistený
162,,,,foul,DUPLICATE_nečistý
163,,,,nasty,hnusný
164,,,,flyblown,DUPLICATE_NO_TRANSLATION
165,,,,squalid,zanedbaný
166,,,,sordid,DUPLICATE_NO_TRANSLATION
167,,,,greasy,mastný
168,,,,oily,olejový
169,,,,lousy,všivavý
170,,,,maculate,poškvrnený
171,,,,mucky,DUPLICATE_NO_TRANSLATION
172,,,,muddy,zablatený
173,,,,ratty,DUPLICATE_NO_TRANSLATION
174,,,,scummy,DUPLICATE_NO_TRANSLATION
175,,,,smudgy,zamazaný
176,,,,snotty,sopľavý
177,,,,snot-nosed,zasoplený
178,,,,sooty,očadený
179,,,,travel-soiled,DUPLICATE_NO_TRANSLATION
180,,,,travel-stained,DUPLICATE_NO_TRANSLATION
181,,,,uncleanly,nečistotný
182,,,,unswept,nepozametaný
183,,,,unwashed,neumytý
184,,,,,"neumývaný,nemytý,zasraný,zaprasený,začiernený,humusný,zasmradený,zablšený,zavšivavený"
185,L09_9,antonyms - gradable,clear,,jasný
186,,,,vague,neurčitý
187,,,,obscure,DUPLICATE_neurčitý
188,,,,unclear,nejasný
189,,,,undefined,nedefinovaný
190,,,,indefinable,nedefinovateľný
191,,,,undefinable,DUPLICATE_nedefinovateľný
192,,,,,"nezadefinovateľný,nevyjasnený"
193,L09_10,antonyms - gradable,close,,blízky
194,,,,distant,vzdialený
195,,,,remote,odľahlý
196,,,,removed,DUPLICATE_vzdialený
197,,,,far,ďaleký
198,,,,faraway,DUPLICATE_ďaleký
199,,,,,preďaleký
200,L09_11,antonyms - gradable,colorful,,farebný
201,,,,colorless,bezfarebný
202,,,,colourless,DUPLICATE_bezfarebný
203,,,,dull,kalný
204,,,,neutral,neutrálny
205,,,,pale,bledý
206,,,,white,biely
207,,,,bleached,odfarbený
208,,,,faded,vyblednutý
209,,,,washed-out,NO_TRANSLATION
210,,,,washy,DUPLICATE_NO_TRANSLATION
211,,,,drab,fádny
212,,,,somber,pochmúrny
213,,,,sombre,temný
214,,,,dulled,DUPLICATE_NO_TRANSLATION
215,,,,greyed,zošedivený
216,,,,etiolate,DUPLICATE_NO_TRANSLATION
217,,,,etiolated,DUPLICATE_NO_TRANSLATION
218,,,,lurid,chmúrny
219,,,,waxen,DUPLICATE_NO_TRANSLATION
220,,,,waxlike,DUPLICATE_NO_TRANSLATION
221,,,,waxy,voskový
222,,,,whitened,vybielený
223,,,,,"nevýrazný,mdlý,zošednutý,ponurý"
224,L09_12,antonyms - gradable,common,,bežný
225,,,,rare,zriedkavý
226,,,,infrequent,nefrekventovaný
227,,,,scarce,vzácny
228,,,,uncommon,nevšedný
229,,,,extraordinary,výnimočný
231,L09_13,antonyms - gradable,competent,,kompetentný
232,,,,incompetent,nekompetentný
233,,,,unskilled,nevyučený
234,,,,unqualified,nekvalifikovaný
235,,,,inefficient,neefektívny
237,L09_14,antonyms - gradable,concerned,,zainteresovaný
238,,,,unconcerned,nezainteresovaný
239,,,,blase,blazeovaný
240,,,,blithe,DUPLICATE_bezstarostný
241,,,,casual,nedbalý
242,,,,insouciant,DUPLICATE_bezstarostný
243,,,,nonchalant,nonšalantný
244,,,,degage,NO_TRANSLATION
245,,,,detached,DUPLICATE_NO_TRANSLATION
246,,,,uninvolved,nezúčastnený
247,,,,indifferent,ľahostajný
248,,,,careless,bezstarostný
249,,,,untroubled,nerušený
250,,,,,"nesužovaný,nevšímavý,indiferentný,nezaujatý"
251,L09_15,antonyms - gradable,cooked,,uvarený
252,,,,raw,surový
253,,,,half-baked,polosurový
254,,,,fresh,čerstvý
255,,,,natural,na_prírodno
256,,,,underdone,NO_TRANSLATION
257,,,,rare,DUPLICATE_NO_TRANSLATION
258,,,,uncooked,neuvarený
259,,,,untoasted,neupečený
260,,,,,"nedopečený,nedovarený,neprepečený"
261,L09_16,antonyms - gradable,dangerous,,nebezpečný
262,,,,safe,bezpečný
263,,,,fail-safe,NO_TRANSLATION
264,,,,risk-free,DUPLICATE_NO_TRANSLATION
265,,,,riskless,bez_rizika
266,,,,unhazardous,DUPLICATE_NO_TRANSLATION
267,,,,safe-and-sound,DUPLICATE_NO_TRANSLATION
268,,,,unhurt,neporanený
269,,,,harmless,neškodný
270,,,,invulnerable,nezraniteľný
271,,,,secure,zabezpečený
272,,,,uninjured,nezranený
273,,,,,neškodiaci
274,L09_17,antonyms - gradable,decisive,,rozhodný
275,,,,hesitating,váhajúci
276,,,,indecisive,nerozhodný
277,,,,hesitant,váhavý
278,,,,inconclusive,NO_TRANSLATION
279,,,,irresolute,kolísavý
280,,,,,neodhodlaný
281,L09_18,antonyms - gradable,dry,,suchý
282,,,,wet,mokrý
283,,,,bedewed,orosený
284,,,,dewy,zarosený
285,,,,besprent,skropený
286,,,,boggy,močaristý
287,,,,marshy,močiarovitý
288,,,,miry,blatistý
289,,,,mucky,NO_TRANSLATION
290,,,,muddy,zablatený
291,,,,quaggy,slatinný
292,,,,sloppy,rozblatený
293,,,,sloughy,DUPLICATE_NO_TRANSLATION
294,,,,soggy,blativý
295,,,,squashy,DUPLICATE_NO_TRANSLATION
296,,,,swampy,barinný
297,,,,waterlogged,nasiaknutý
298,,,,clammy,lepkavý
299,,,,dank,zatuchnutý
300,,,,damp,navlhčený
301,,,,dampish,navlhlý
302,,,,moist,mokvavý
303,,,,sodden,premočený
304,,,,soppy,premoknutý
305,,,,drippy,kvapkajúci
306,,,,drizzly,mrholivý
307,,,,humid,vlhký
308,,,,misty,hmlistý
309,,,,muggy,dusný
310,,,,steamy,parný
311,,,,sticky,DUPLICATE_lepkavý
312,,,,reeking,DUPLICATE_NO_TRANSLATION
313,,,,watery,vodnatý
314,,,,rheumy,zahlienený
315,,,,showery,prehánkový
316,,,,rainy,daždivý
317,,,,steaming,pariaci_sa
318,,,,tacky,DUPLICATE_lepkavý
319,,,,undried,DUPLICATE_mokrý
320,,,,washed,umytý
321,,,,,"pokropený,bahenný,bahnistý,bahnitý,zahmlený"
322,L09_19,antonyms - gradable,energetic,,energický
323,,,,lethargic,letargický
324,,,,unergetic,nevýbojný
325,,,,dazed,omámený
326,,,,foggy,NO_TRANSLATION
327,,,,groggy,grogy
328,,,,logy,ťažkopádny
329,,,,stuporous,otupený
330,,,,dreamy,zasnený
331,,,,lackadaisical,ľahostajný
332,,,,languid,mdlý
333,,,,languorous,malátny
334,,,,listless,netečný
335,,,,inactive,neaktívny
336,,,,,apatický
337,L09_20,antonyms - gradable,familiar,,známy
338,,,,unfamiliar,neznámy
339,,,,strange,cudzí
340,,,,unknown,nepoznaný
341,,,,unacquainted,NO_TRANSLATION
342,,,,foreign,cudzozemský
343,,,,,zahraničný
344,L09_21,antonyms - gradable,fat,,tučný
345,,,,thin,chudý
346,,,,lean,DUPLICATE_štíhly
347,,,,anorexic,DUPLICATE_anorektický
348,,,,anorectic,anorektický
349,,,,bony,kostnatý
350,,,,cadaverous,mŕtvolný
351,,,,emaciated,vyziabnutý
352,,,,gaunt,vychudnutý
353,,,,haggard,DUPLICATE_vycivený
354,,,,pinched,vycivený
355,,,,skeletal,vychudnutý_na_kosť
356,,,,wasted,prepadnutý
357,,,,deep-eyed,DUPLICATE_s_vpadnutými_očami
358,,,,hollow-eyed,DUPLICATE_s_vpadnutými_očami
359,,,,sunken-eyed,s_vpadnutými_očami
360,,,,gangling,vyhúknutý
361,,,,gangly,vytiahnutý
362,,,,lanky,DUPLICATE_vytiahnutý
363,,,,lank,DUPLICATE_vytiahnutý
364,,,,spindly,ako_palička
365,,,,rawboned,NO_TRANSLATION
366,,,,reedy,DUPLICATE_NO_TRANSLATION
367,,,,reedlike,DUPLICATE_NO_TRANSLATION
368,,,,twiggy,DUPLICATE_NO_TRANSLATION
369,,,,twiglike,DUPLICATE_NO_TRANSLATION
370,,,,scarecrowish,DUPLICATE_NO_TRANSLATION
371,,,,scraggy,DUPLICATE_NO_TRANSLATION
372,,,,boney,DUPLICATE_kostnatý
373,,,,scrawny,DUPLICATE_NO_TRANSLATION
374,,,,skinny,DUPLICATE_NO_TRANSLATION
375,,,,underweight,DUPLICATE_NO_TRANSLATION
376,,,,weedy,DUPLICATE_NO_TRANSLATION
377,,,,shriveled,zosušený
378,,,,shrivelled,vysušený
379,,,,shrunken,zošúverený
380,,,,withered,DUPLICATE_NO_TRANSLATION
381,,,,wizen,DUPLICATE_NO_TRANSLATION
382,,,,wizened,DUPLICATE_NO_TRANSLATION
383,,,,slender,štíhly
384,,,,slight,DUPLICATE_NO_TRANSLATION
385,,,,slim,DUPLICATE_NO_TRANSLATION
386,,,,svelte,DUPLICATE_NO_TRANSLATION
387,,,,slender-waisted,DUPLICATE_NO_TRANSLATION
388,,,,slim-waisted,DUPLICATE_NO_TRANSLATION
389,,,,wasp-waisted,DUPLICATE_NO_TRANSLATION
390,,,,spare,DUPLICATE_NO_TRANSLATION
391,,,,trim,DUPLICATE_NO_TRANSLATION
392,,,,spindle-legged,DUPLICATE_NO_TRANSLATION
393,,,,spindle-shanked,DUPLICATE_NO_TRANSLATION
394,,,,stringy,DUPLICATE_NO_TRANSLATION
395,,,,wiry,šľachovitý
396,,,,wisplike,DUPLICATE_NO_TRANSLATION
397,,,,wispy,DUPLICATE_NO_TRANSLATION
398,,,,,"astenický,tenký,opadnutý,vpadnutý,chudučký,schudnutý,pochudnutý,scvrknutý,scivený,podvyživený,chatrný"
399,L09_22,antonyms - gradable,full,,plný
400,,,,empty,prázdny
401,,,,bare,holý
402,,,,stripped,NO_TRANSLATION
403,,,,blank,DUPLICATE_NO_TRANSLATION
404,,,,clean,čistý
405,,,,white,DUPLICATE_NO_TRANSLATION
406,,,,empty-handed,s_prázdnymi_rukami
407,,,,glassy,DUPLICATE_NO_TRANSLATION
408,,,,glazed,DUPLICATE_NO_TRANSLATION
409,,,,lifeless,DUPLICATE_NO_TRANSLATION
410,,,,looted,vykradnutý
411,,,,pillaged,rozkradnutý
412,,,,plundered,vypľundrovaný
413,,,,ransacked,vybrakovaný
414,,,,vacant,vyprázdnený
415,,,,vacuous,DUPLICATE_NO_TRANSLATION
416,,,,void,pustý
417,,,,,"očesaný,oholený,obraný,obratý,pooberaný"
418,L09_23,antonyms - gradable,gaseous,,plynový
419,,,,solid,pevný
420,,,,hard,tvrdý
421,,,,coagulated,koagulovaný
422,,,,solidified,stuhnutý
423,,,,concrete,NO_TRANSLATION
424,,,,congealed,zamrznutý
425,,,,jelled,kryštalizovaný
426,,,,jellied,skryštalizovaný
427,,,,dry,suchý
428,,,,semisolid,polotuhý
429,,,,solid-state,v_pevnom_skupenstve
430,,,,,"stvrdnutý,zrazený"
431,L09_24,antonyms - gradable,generous,,štedrý
432,,,,stingy,lakomý
433,,,,beggarly,žobrácky
434,,,,mean,NO_TRANSLATION
435,,,,cheap,lacný
436,,,,chinchy,chamtivý
437,,,,chintzy,držgrošský
438,,,,cheeseparing,DUPLICATE_NO_TRANSLATION
439,,,,close,DUPLICATE_NO_TRANSLATION
440,,,,near,DUPLICATE_NO_TRANSLATION
441,,,,penny-pinching,DUPLICATE_NO_TRANSLATION
442,,,,skinny,DUPLICATE_NO_TRANSLATION
443,,,,closefisted,DUPLICATE_NO_TRANSLATION
444,,,,hardfisted,DUPLICATE_NO_TRANSLATION
445,,,,tightfisted,DUPLICATE_NO_TRANSLATION
446,,,,grudging,DUPLICATE_NO_TRANSLATION
447,,,,niggardly,DUPLICATE_NO_TRANSLATION
448,,,,scrimy,DUPLICATE_NO_TRANSLATION
449,,,,mingy,DUPLICATE_NO_TRANSLATION
450,,,,miserly,skúpy
451,,,,tight,DUPLICATE_NO_TRANSLATION
452,,,,parsimonious,DUPLICATE_NO_TRANSLATION
453,,,,penurious,šetrný
454,,,,selfish,sebecký
455,,,,uncharitable,DUPLICATE_NO_TRANSLATION
456,,,,ungenerous,DUPLICATE_NO_TRANSLATION
457,,,,meanspirited,DUPLICATE_NO_TRANSLATION
458,,,,,"skupánsky,sporivý,mamonársky,vypočítavý"
459,L09_25,antonyms - gradable,happy,,šťastný
460,,,,sad,smutný
461,,,,bittersweet,horkosladný
462,,,,doleful,skormútený
463,,,,mournful,zarmútený
464,,,,heavyhearted,NO_TRANSLATION
465,,,,melancholy,DUPLICATE_NO_TRANSLATION
466,,,,melancholic,melancholický
467,,,,pensive,zádumčivý
468,,,,wistful,clivý
469,,,,tragic,tragický
470,,,,tragical,DUPLICATE_tragický
471,,,,tragicomic,tragikomický
472,,,,tragicomical,DUPLICATE_tragikomický
473,,,,deplorable,poľutovaniahodný
474,,,,distressing,stiesnený
475,,,,lamentable,DUPLICATE_NO_TRANSLATION
476,,,,pitiful,biedny
477,,,,sorry,žalostný
478,,,,,"trudnomyseľný,tklivý"
479,L09_26,antonyms - gradable,hard,,tvrdý
480,,,,soft,mäkký
481,,,,mellow,NO_TRANSLATION
482,,,,brushed,DUPLICATE_NO_TRANSLATION
483,,,,fleecy,huńatý
484,,,,napped,DUPLICATE_NO_TRANSLATION
485,,,,cheeselike,DUPLICATE_NO_TRANSLATION
486,,,,compressible,stlačiteľný
487,,,,squeezable,stláčateľný
488,,,,cottony,bavlnený
489,,,,cushioned,poduškový
490,,,,cushiony,vankúšikový
491,,,,padded,čalúnený
492,,,,demulcent,zjemňujúci
493,,,,emollient,zmäkčovací
494,,,,salving,balzamový
495,,,,softening,zmäkčujúci
496,,,,downy,hebký
497,,,,downlike,páperový
498,,,,flossy,jemný_ako_hodváb
499,,,,fluffy,nadýchaný
500,,,,flaccid,ochabnutý
501,,,,flocculent,DUPLICATE_NO_TRANSLATION
502,,,,woolly,DUPLICATE_vlnený
503,,,,wooly,vlnený
504,,,,yielding,poddajný
505,,,,mushy,kašovitý
506,,,,overstuffed,DUPLICATE_NO_TRANSLATION
507,,,,softish,DUPLICATE_NO_TRANSLATION
508,,,,semisoft,polomäkký
509,,,,spongy,špongiový
510,,,,squashy,DUPLICATE_NO_TRANSLATION
511,,,,squishy,DUPLICATE_NO_TRANSLATION
512,,,,spongelike,špongiovitý
513,,,,velvet,DUPLICATE_zamatový
514,,,,velvety,zamatový
515,,,,,"jemný,páperovitý,načechraný,zmäknutý,rozmäknutý"
516,L09_27,antonyms - gradable,hot,,horúci
517,,,,cold,studený
518,,,,chilly,sychravý
519,,,,frosty,mrazivý
520,,,,cool,chladný
521,,,,frigid,ľadový
523,L09_28,antonyms - gradable,interesting,,zaujímavý
524,,,,uninteresting,nezaujímavý
525,,,,dull,fádny
526,,,,boring,nudný
527,,,,deadening,ubíjajúci
528,,,,ho-hum,nezáživný
529,,,,irksome,DUPLICATE_nudný
530,,,,slow,pomalý
531,,,,tedious,zdĺhavý
532,,,,tiresome,únavný
533,,,,wearisome,úmorný
534,,,,insipid,nemastný-neslaný
535,,,,jejune,suchopárny
536,,,,narcotic,narkotický
537,,,,soporiferous,uspávajúci
538,,,,soporific,DUPLICATE_uspávajúci
539,,,,prosaic,prozaický
540,,,,prosy,všedný
541,,,,earthbound,pozemský
542,,,,ponderous,NO_TRANSLATION
543,,,,putdownable,DUPLICATE_NO_TRANSLATION
544,,,,unexciting,nevzrušujúci
545,,,,unstimulating,nestimulujúci
546,,,,,"otravný,monotónny"
547,L09_29,antonyms - gradable,introvert,,introvert
548,,,,extravert,DUPLICATE_extrovert
549,,,,extrovert,extrovert
550,,,,outgoing,NO_TRANSLATION
551,,,,extroverted,DUPLICATE_extrovert
552,,,,forthcoming,DUPLICATE_NO_TRANSLATION
553,,,,sociable,spoločenský
554,,,,,"neformálny,družný,kamarátsky"
555,L09_30,antonyms - gradable,large,,veľký
556,,,,small,malý
557,,,,little,DUPLICATE_malý
558,,,,atomic,atómový
559,,,,subatomic,subatómový
560,,,,bantam,NO_TRANSLATION
561,,,,diminutive,zdrobnený
562,,,,lilliputian,liliputánsky
563,,,,midget,trpazličí
564,,,,petite,maličký
565,,,,tiny,drobný
566,,,,flyspeck,DUPLICATE_NO_TRANSLATION
567,,,,bitty,DUPLICATE_NO_TRANSLATION
568,,,,bittie,DUPLICATE_NO_TRANSLATION
569,,,,teensy,drobnučký
570,,,,teentsy,drobulinký
571,,,,teeny,drobučký
572,,,,wee,DUPLICATE_NO_TRANSLATION
573,,,,weeny,DUPLICATE_NO_TRANSLATION
574,,,,weensy,DUPLICATE_NO_TRANSLATION
575,,,,teensy-weensy,drobučičký
576,,,,teeny-weeny,DUPLICATE_NO_TRANSLATION
577,,,,itty-bitty,DUPLICATE_NO_TRANSLATION
578,,,,itsy-bitsy,DUPLICATE_NO_TRANSLATION
579,,,,dinky,DUPLICATE_NO_TRANSLATION
580,,,,dwarfish,DUPLICATE_trpazličí
581,,,,elfin,DUPLICATE_NO_TRANSLATION
582,,,,elflike,DUPLICATE_NO_TRANSLATION
583,,,,gnomish,DUPLICATE_trpazličí
584,,,,half-size,polovičný
585,,,,infinitesimal,infinitezimálny
586,,,,minute,DUPLICATE_NO_TRANSLATION
587,,,,lesser,menší
588,,,,microscopic,mikroskopický
589,,,,microscopical,DUPLICATE_mikroskopický
590,,,,micro,mikro
591,,,,miniature,miniatúrny
592,,,,minuscule,DUPLICATE_NO_TRANSLATION
593,,,,miniscule,DUPLICATE_NO_TRANSLATION
594,,,,olive-sized,DUPLICATE_NO_TRANSLATION
595,,,,pocket-size,DUPLICATE_vreckový
596,,,,pocket-sized,vreckový
597,,,,pocketable,DUPLICATE_vreckový
598,,,,puny,malinký
599,,,,runty,krpatý
600,,,,shrimpy,DUPLICATE_NO_TRANSLATION
601,,,,slender,chatrný
602,,,,slim,DUPLICATE_NO_TRANSLATION
603,,,,smaller,DUPLICATE_menší
604,,,,littler,DUPLICATE_menší
605,,,,smallish,neveľký
606,,,,small-scale,DUPLICATE_NO_TRANSLATION
607,,,,undersize,DUPLICATE_poddimenzovaný
608,,,,undersized,poddimenzovaný
609,,,,,"malilinký,mini,nano,mrňavý,prťavý,pidi"
610,L09_31,antonyms - gradable,long,,dlhý
611,,,,short,krátky
612,,,,abbreviated,DUPLICATE_skrátený
613,,,,shortened,skrátený
614,,,,truncated,useknutý
615,,,,brief,stručný
616,,,,clipped,orezaný
617,,,,fleeting,prchavý
618,,,,fugitive,miznúci
619,,,,momentaneous,momentálny
620,,,,momentary,NO_TRANSLATION
621,,,,short_and_sweet,DUPLICATE_NO_TRANSLATION
622,,,,short-dated,DUPLICATE_NO_TRANSLATION
623,,,,short-range,DUPLICATE_NO_TRANSLATION
624,,,,short-run,krátkotrvajúci
625,,,,short-term,krátkodobý
626,,,,close,blízky
627,,,,curtal,DUPLICATE_NO_TRANSLATION
628,,,,sawed-off,odpílený
629,,,,sawn-off,spílený
630,,,,shortish,DUPLICATE_NO_TRANSLATION
631,,,,short-snouted,DUPLICATE_NO_TRANSLATION
632,,,,snub,DUPLICATE_NO_TRANSLATION
633,,,,stubby,DUPLICATE_NO_TRANSLATION
634,,,,telescoped,DUPLICATE_NO_TRANSLATION
635,,,,truncate,DUPLICATE_NO_TRANSLATION
636,,,,chunky,územčistý
637,,,,dumpy,zavalitý
638,,,,low-set,DUPLICATE_NO_TRANSLATION
639,,,,squat,DUPLICATE_NO_TRANSLATION
640,,,,squatty,DUPLICATE_NO_TRANSLATION
641,,,,stumpy,DUPLICATE_NO_TRANSLATION
642,,,,compact,kompaktný
643,,,,heavyset,DUPLICATE_NO_TRANSLATION
644,,,,stocky,DUPLICATE_NO_TRANSLATION
645,,,,thick,DUPLICATE_NO_TRANSLATION
646,,,,thickset,DUPLICATE_NO_TRANSLATION
647,,,,half-length,DUPLICATE_NO_TRANSLATION
648,,,,pint-size,DUPLICATE_NO_TRANSLATION
649,,,,pint-sized,DUPLICATE_NO_TRANSLATION
650,,,,runty,krpatý
651,,,,short-stalked,DUPLICATE_NO_TRANSLATION
652,,,,squab,DUPLICATE_NO_TRANSLATION
653,,,,squabby,DUPLICATE_NO_TRANSLATION
654,,,,,"kratučký,prikrátky"
655,L09_32,antonyms - gradable,lumpy,,hrboľatý
656,,,,flat,ploský
657,,,,level,rovný
658,,,,plane,plochý
659,,,,even,vyrovnaný
661,L09_33,antonyms - gradable,noisy,,hlučný
662,,,,silent,tichý
663,,,,uncommunicative,nekomunikatívny
664,,,,dumb,DUPLICATE_nemý
665,,,,mute,nemý
666,,,,inarticulate,málovravný
667,,,,unarticulate,neartikulovaný
668,,,,,mlčanlivý
669,L09_34,antonyms - gradable,normal,,normálny
670,,,,abnormal,abnormálny
671,,,,aberrant,aberantný
672,,,,deviant,deviantný
673,,,,deviate,úchylný
674,,,,anomalous,anomálny
675,,,,antidromic,antidromický
676,,,,atypical,atypický
677,,,,irregular,nezvyklý
678,,,,brachydactylic,brachydaktylický
679,,,,brachydactylous,DUPLICATE_brachydaktylický
680,,,,defective,defektný
681,,,,freakish,čudácky
682,,,,kinky,zvrátený
683,,,,perverted,perverzný
684,,,,subnormal,podnormálny
685,,,,supernormal,nadnormálny
686,,,,vicarious,zástupný
687,,,,unusual,neobvyklý
688,,,,exceptional,výnimočný
689,,,,insane,šialený
690,,,,unnatural,neprirodzený
691,,,,,"nenormálny,netypický"
692,L09_35,antonyms - gradable,organized,,organizovaný
693,,,,unorganized,neorganizovaný
694,,,,unstructured,neštrukturovaný
695,,,,uncoordinated,nekoordinovaný
696,,,,unformed,neformovaný
697,,,,unincorporated,nezačlenený
699,L09_36,antonyms - gradable,pale,,bledý
700,,,,tanned,opálený
701,,,,bronzed,bronzový
702,,,,suntanned,DUPLICATE_opálený
