,Language,a,b,c,d,prompts
50,SL,zavedajoče,indiferentno,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""zavedajoče"" je besedi ""indiferentno"" enako, kot je beseda ""barvito"" besedi "
51,SL,obilno,tesno,lepo,"['grdo', 'iznakaženo', 'zlo_izgledajoče', 'neprivlačno', 'groteskno', 'pošastno', 'ostudno', 'odbijajoče', 'nenaklonjeno', 'škrofulozno', 'neljubo', 'neslikovito', 'nevideno', 'nezadovoljivo', 'čudno']","Beseda ""obilno"" je besedi ""tesno"" enako, kot je beseda ""lepo"" besedi "
52,SL,kuhano,polpečeno,odločno,"['obotavljajoče', 'neodločno', 'odlašajoče', 'nezaključno', 'nerešljivo']","Beseda ""kuhano"" je besedi ""polpečeno"" enako, kot je beseda ""odločno"" besedi "
53,SL,barvito,nevtralno,obilno,"['redko', 'tesno', 'skromen', 'skromno', 'skopo', 'nezadostno', 'pomanjkljivo']","Beseda ""barvito"" je besedi ""nevtralno"" enako, kot je beseda ""obilno"" besedi "
54,SL,kompetenten,nekompetenten,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""kompetenten"" je besedi ""nekompetenten"" enako, kot je beseda ""barvito"" besedi "
55,SL,lepo,grdo,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""lepo"" je besedi ""grdo"" enako, kot je beseda ""barvito"" besedi "
56,SL,zavedajoče,indiferentno,kompetenten,"['nekompetenten', 'nevešč', 'nekvalificiran', 'neučinkovid']","Beseda ""zavedajoče"" je besedi ""indiferentno"" enako, kot je beseda ""kompetenten"" besedi "
57,SL,jasno,nedoločljivo,zmožen,"['nezmožen', 'nesposoben', 'nekompetenten', 'neenak']","Beseda ""jasno"" je besedi ""nedoločljivo"" enako, kot je beseda ""zmožen"" besedi "
58,SL,običajno,redko,zaskrbljen,"['nezaskrbljen', 'posveten', 'brezskrben', 'brezbrižen', 'malobrižen', 'nonšalantno', 'ravnodušen', 'odsoten', 'nevključen', 'indiferenten', 'nepazljiv', 'neobremenjen']","Beseda ""običajno"" je besedi ""redko"" enako, kot je beseda ""zaskrbljen"" besedi "
59,SL,kuhano,polpečeno,jasno,"['dvomljivo', 'obskurno', 'nejasno', 'nedoločljivo', 'neenolično', 'nedoločno']","Beseda ""kuhano"" je besedi ""polpečeno"" enako, kot je beseda ""jasno"" besedi "
60,SK,farebný,neutrálny,rozhodný,"['váhajúci', 'nerozhodný', 'váhavý', 'kolísavý', 'neodhodlaný']","Slovo ""farebný""  sa má k slovu ""neutrálny"" ako slovo ""rozhodný"" k slovu "
61,SK,vedomý,ľahostajný,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""vedomý""  sa má k slovu ""ľahostajný"" ako slovo ""farebný"" k slovu "
62,SK,zainteresovaný,nedbalý,zainteresovaný,"['nezainteresovaný', 'blazeovaný', 'nedbalý', 'nonšalantný', 'nezúčastnený', 'ľahostajný', 'bezstarostný', 'nerušený', 'nesužovaný,nevšímavý,indiferentný,nezaujatý']","Slovo ""zainteresovaný""  sa má k slovu ""nedbalý"" ako slovo ""zainteresovaný"" k slovu "
63,SK,farebný,pochmúrny,nádherný,"['škaredý', 'znetvorený', 'príšerný', 'groteskný', 'monštrózny', 'ohavný', 'odporný', 'ohyzdný', 'nepríjemný', 'nefotogenický', 'nepekný', 'protivný', 'neatraktívny', 'čudný', 'hnusný,hrozný,mrzký']","Slovo ""farebný""  sa má k slovu ""pochmúrny"" ako slovo ""nádherný"" k slovu "
64,SK,rozhodný,nerozhodný,kompetentný,"['nekompetentný', 'nevyučený', 'nekvalifikovaný', 'neefektívny']","Slovo ""rozhodný""  sa má k slovu ""nerozhodný"" ako slovo ""kompetentný"" k slovu "
65,SK,farebný,biely,rozhodný,"['váhajúci', 'nerozhodný', 'váhavý', 'kolísavý', 'neodhodlaný']","Slovo ""farebný""  sa má k slovu ""biely"" ako slovo ""rozhodný"" k slovu "
66,SK,hojný,deficitný,uvarený,"['surový', 'polosurový', 'čerstvý', 'na_prírodno', 'neuvarený', 'neupečený', 'nedopečený,nedovarený,neprepečený']","Slovo ""hojný""  sa má k slovu ""deficitný"" ako slovo ""uvarený"" k slovu "
67,SK,schopný,neschopný,bežný,"['zriedkavý', 'nefrekventovaný', 'vzácny', 'nevšedný', 'výnimočný']","Slovo ""schopný""  sa má k slovu ""neschopný"" ako slovo ""bežný"" k slovu "
68,SK,nádherný,škaredý,zainteresovaný,"['nezainteresovaný', 'blazeovaný', 'nedbalý', 'nonšalantný', 'nezúčastnený', 'ľahostajný', 'bezstarostný', 'nerušený', 'nesužovaný,nevšímavý,indiferentný,nezaujatý']","Slovo ""nádherný""  sa má k slovu ""škaredý"" ako slovo ""zainteresovaný"" k slovu "
69,SK,nebezpečný,bezpečný,nádherný,"['škaredý', 'znetvorený', 'príšerný', 'groteskný', 'monštrózny', 'ohavný', 'odporný', 'ohyzdný', 'nepríjemný', 'nefotogenický', 'nepekný', 'protivný', 'neatraktívny', 'čudný', 'hnusný,hrozný,mrzký']","Slovo ""nebezpečný""  sa má k slovu ""bezpečný"" ako slovo ""nádherný"" k slovu "
70,SK,nebezpečný,bezpečný,nebezpečný,"['bezpečný', 'bez_rizika', 'neporanený', 'neškodný', 'nezraniteľný', 'zabezpečený', 'nezranený', 'neškodiaci']","Slovo ""nebezpečný""  sa má k slovu ""bezpečný"" ako slovo ""nebezpečný"" k slovu "
71,SK,farebný,odfarbený,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""farebný""  sa má k slovu ""odfarbený"" ako slovo ""farebný"" k slovu "
72,SK,rozhodný,váhajúci,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""rozhodný""  sa má k slovu ""váhajúci"" ako slovo ""farebný"" k slovu "
73,SK,farebný,bezfarebný,kompetentný,"['nekompetentný', 'nevyučený', 'nekvalifikovaný', 'neefektívny']","Slovo ""farebný""  sa má k slovu ""bezfarebný"" ako slovo ""kompetentný"" k slovu "
74,SK,farebný,odfarbený,hojný,"['vzácny', 'zriedkavý', 'sotva_dostačujúci', 'chudobný', 'biedny', 'nedostatočný', 'deficitný', 'nedostupný,chýbajúci,nedostačujúci']","Slovo ""farebný""  sa má k slovu ""odfarbený"" ako slovo ""hojný"" k slovu "
75,SK,nádherný,nepríjemný,kompetentný,"['nekompetentný', 'nevyučený', 'nekvalifikovaný', 'neefektívny']","Slovo ""nádherný""  sa má k slovu ""nepríjemný"" ako slovo ""kompetentný"" k slovu "
76,SK,nádherný,odporný,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""nádherný""  sa má k slovu ""odporný"" ako slovo ""farebný"" k slovu "
77,SK,rozhodný,váhajúci,jasný,"['neurčitý', 'nejasný', 'nedefinovaný', 'nedefinovateľný', 'nezadefinovateľný,nevyjasnený']","Slovo ""rozhodný""  sa má k slovu ""váhajúci"" ako slovo ""jasný"" k slovu "
78,SK,farebný,odfarbený,nebezpečný,"['bezpečný', 'bez_rizika', 'neporanený', 'neškodný', 'nezraniteľný', 'zabezpečený', 'nezranený', 'neškodiaci']","Slovo ""farebný""  sa má k slovu ""odfarbený"" ako slovo ""nebezpečný"" k slovu "
79,SK,farebný,biely,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""farebný""  sa má k slovu ""biely"" ako slovo ""farebný"" k slovu "
80,SK,vedomý,ľahostajný,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""vedomý""  sa má k slovu ""ľahostajný"" ako slovo ""farebný"" k slovu "
81,SK,hojný,sotva_dostačujúci,nádherný,"['škaredý', 'znetvorený', 'príšerný', 'groteskný', 'monštrózny', 'ohavný', 'odporný', 'ohyzdný', 'nepríjemný', 'nefotogenický', 'nepekný', 'protivný', 'neatraktívny', 'čudný', 'hnusný,hrozný,mrzký']","Slovo ""hojný""  sa má k slovu ""sotva_dostačujúci"" ako slovo ""nádherný"" k slovu "
82,SK,uvarený,polosurový,rozhodný,"['váhajúci', 'nerozhodný', 'váhavý', 'kolísavý', 'neodhodlaný']","Slovo ""uvarený""  sa má k slovu ""polosurový"" ako slovo ""rozhodný"" k slovu "
83,SK,farebný,neutrálny,hojný,"['vzácny', 'zriedkavý', 'sotva_dostačujúci', 'chudobný', 'biedny', 'nedostatočný', 'deficitný', 'nedostupný,chýbajúci,nedostačujúci']","Slovo ""farebný""  sa má k slovu ""neutrálny"" ako slovo ""hojný"" k slovu "
84,SK,kompetentný,nekompetentný,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""kompetentný""  sa má k slovu ""nekompetentný"" ako slovo ""farebný"" k slovu "
85,SK,nádherný,škaredý,farebný,"['bezfarebný', 'kalný', 'neutrálny', 'bledý', 'biely', 'odfarbený', 'vyblednutý', 'fádny', 'pochmúrny', 'temný', 'zošedivený', 'chmúrny', 'voskový', 'vybielený', 'nevýrazný,mdlý,zošednutý,ponurý']","Slovo ""nádherný""  sa má k slovu ""škaredý"" ako slovo ""farebný"" k slovu "
86,SK,vedomý,ľahostajný,kompetentný,"['nekompetentný', 'nevyučený', 'nekvalifikovaný', 'neefektívny']","Slovo ""vedomý""  sa má k slovu ""ľahostajný"" ako slovo ""kompetentný"" k slovu "
87,SK,jasný,nedefinovaný,schopný,"['neschopný', 'nekompetentný', 'nerovný', 'nesúci']","Slovo ""jasný""  sa má k slovu ""nedefinovaný"" ako slovo ""schopný"" k slovu "
88,SK,bežný,zriedkavý,zainteresovaný,"['nezainteresovaný', 'blazeovaný', 'nedbalý', 'nonšalantný', 'nezúčastnený', 'ľahostajný', 'bezstarostný', 'nerušený', 'nesužovaný,nevšímavý,indiferentný,nezaujatý']","Slovo ""bežný""  sa má k slovu ""zriedkavý"" ako slovo ""zainteresovaný"" k slovu "
89,SK,uvarený,polosurový,jasný,"['neurčitý', 'nejasný', 'nedefinovaný', 'nedefinovateľný', 'nezadefinovateľný,nevyjasnený']","Slovo ""uvarený""  sa má k slovu ""polosurový"" ako slovo ""jasný"" k slovu "
90,HE,צִבעוֹנִי,ניטראלי,מַכרִיעַ,"['חוֹשֵׁשׁ', 'הססני', 'מְהַסֵס', 'לא_מכריע']"," ל ""מַכרִיעַ"" כ ""ניטראלי"" ל ""צִבעוֹנִי"""
91,HE,מוּדָע,אָדִישׁ,צִבעוֹנִי,"['חסר_צבע', 'קֵהֶה', 'ניטראלי', 'חיוור', 'לבן', 'מולבן', 'דהה', 'דהוי', 'מְשַׁעֲמֵם', 'קוֹדֵר', 'עמום', 'אפור', 'הֶחְוִיר', 'חִוֵּר', 'שעווה', 'דמוי_שעווה', 'הלבנה']"," ל ""צִבעוֹנִי"" כ ""אָדִישׁ"" ל ""מוּדָע"""
92,HE,מודאג,אַגָבִי,מודאג,"['לא_אכפתי', 'עַלִיז', 'אַגָבִי', 'שַׁאֲנָן', 'קר_רוח', 'לא_מודאג', 'מְנוּתָק', 'לא_מעורב', 'אָדִישׁ', 'רשלן', 'חסר_דאגה']"," ל ""מודאג"" כ ""אַגָבִי"" ל ""מודאג"""
93,HE,צִבעוֹנִי,קוֹדֵר,יפה,"['מְכוֹעָר', 'מעוות', 'רע-למראה', 'מכוער_מאד', 'גרוֹטֶסקִי', 'מִפלַצתִי', 'דוֹחֶה', 'מגושם', 'לא_נעים_למראה', 'לא_ציורי', 'לא_נעים', 'לא_מושך', 'מוזר']"," ל ""יפה"" כ ""קוֹדֵר"" ל ""צִבעוֹנִי"""
94,HE,מַכרִיעַ,הססני,מוסמך,"['חסר_יכולת', 'לא_מקצועי', 'לא_מוסמך', 'לא_יעיל']"," ל ""מוסמך"" כ ""הססני"" ל ""מַכרִיעַ"""
95,HE,צִבעוֹנִי,לבן,מַכרִיעַ,"['חוֹשֵׁשׁ', 'הססני', 'מְהַסֵס', 'לא_מכריע']"," ל ""מַכרִיעַ"" כ ""לבן"" ל ""צִבעוֹנִי"""
96,HE,שׁוֹפֵעַ,חָסֵר,מְבוּשָׁל,"['גָּלְמִי', 'אפוי_למחצה', 'טָרִי', 'טִבעִי', 'נא', 'לא_מבושל', 'לא_קלוי']"," ל ""מְבוּשָׁל"" כ ""חָסֵר"" ל ""שׁוֹפֵעַ"""
97,HE,יכול,לא_מסוגל,מְשׁוּתָף,"['נָדִיר', 'בלתי_רגיל', 'יוצא_דופן']"," ל ""מְשׁוּתָף"" כ ""לא_מסוגל"" ל ""יכול"""
98,HE,יפה,מְכוֹעָר,מודאג,"['לא_אכפתי', 'עַלִיז', 'אַגָבִי', 'שַׁאֲנָן', 'קר_רוח', 'לא_מודאג', 'מְנוּתָק', 'לא_מעורב', 'אָדִישׁ', 'רשלן', 'חסר_דאגה']"," ל ""מודאג"" כ ""מְכוֹעָר"" ל ""יפה"""
