,Language,a,b,c,d,prompts
40,SL,bron,baker,ledena_sveča,"['led', 'voda']","Beseda ""bron"" je besedi ""baker"" enako, kot je beseda ""ledena_sveča"" besedi "
41,SL,brada,lazje,ledena_sveča,"['led', 'voda']","Beseda ""brada"" je besedi ""lazje"" enako, kot je beseda ""ledena_sveča"" besedi "
42,SL,peni,nikelj,voda,"['kisik', 'vodik', 'voda', 'h2o', 'atomsko_število_1', 'atomsko_število_8', 'h', 'o']","Beseda ""peni"" je besedi ""nikelj"" enako, kot je beseda ""voda"" besedi "
43,SL,zid,glina,denar,"['papir', 'jeklo', 'srebro', 'zlato', 'železo', 'baker', 'kositer']","Beseda ""zid"" je besedi ""glina"" enako, kot je beseda ""denar"" besedi "
44,SL,plaža,kamenčki,miza,"['les', 'kovina', 'plastika']","Beseda ""plaža"" je besedi ""kamenčki"" enako, kot je beseda ""miza"" besedi "
45,SL,sladkarije,sadje,plastika,"['polimer', 'olje', 'plin', 'premog']","Beseda ""sladkarije"" je besedi ""sadje"" enako, kot je beseda ""plastika"" besedi "
46,SL,sneg,vodik,sneg,"['voda', 'kisik', 'vodik', 'kosmiči', 'led', 'snežinka', 'snežinke', 'h2o', 'atomsko_število_1', 'atomsko_število_8', 'h', 'o']","Beseda ""sneg"" je besedi ""vodik"" enako, kot je beseda ""sneg"" besedi "
47,SL,omleta,jajca,plaža,"['pesek', 'silicij', 'skale', 'kamenčki', 'atomsko_število_14']","Beseda ""omleta"" je besedi ""jajca"" enako, kot je beseda ""plaža"" besedi "
48,SL,sneg,led,peni,"['kovina', 'zlitina', 'bron', 'nikelj', 'cink', 'baker', 'kositer']","Beseda ""sneg"" je besedi ""led"" enako, kot je beseda ""peni"" besedi "
49,SL,atmosfera,plin,zid,"['cement', 'opeke', 'kamni', 'skale', 'les', 'karton', 'deska', 'glina', 'blato']","Beseda ""atmosfera"" je besedi ""plin"" enako, kot je beseda ""zid"" besedi "
50,SL,sladkarije,melasa,denar,"['papir', 'jeklo', 'srebro', 'zlato', 'železo', 'baker', 'kositer']","Beseda ""sladkarije"" je besedi ""melasa"" enako, kot je beseda ""denar"" besedi "
51,SL,steklenica,plastika,žlica,"['aluminij', 'les', 'jeklo']","Beseda ""steklenica"" je besedi ""plastika"" enako, kot je beseda ""žlica"" besedi "
52,SL,led,kisik,led,"['voda', 'kisik', 'vodik', 'h2o', 'atomsko_število_1', 'atomsko_število_8', 'h', 'o']","Beseda ""led"" je besedi ""kisik"" enako, kot je beseda ""led"" besedi "
53,SL,torba,usnje,led,"['voda', 'kisik', 'vodik', 'h2o', 'atomsko_število_1', 'atomsko_število_8', 'h', 'o']","Beseda ""torba"" je besedi ""usnje"" enako, kot je beseda ""led"" besedi "
54,SL,streha,kovina,skleda,"['kozared', 'keramika', 'aluminij', 'les', 'jeklo', 'plastika', 'glina']","Beseda ""streha"" je besedi ""kovina"" enako, kot je beseda ""skleda"" besedi "
55,SL,miza,kovina,kljuka,"['kovina', 'jeklo', 'bron', 'les']","Beseda ""miza"" je besedi ""kovina"" enako, kot je beseda ""kljuka"" besedi "
56,SL,plastika,plin,plaža,"['pesek', 'silicij', 'skale', 'kamenčki', 'atomsko_število_14']","Beseda ""plastika"" je besedi ""plin"" enako, kot je beseda ""plaža"" besedi "
57,SL,jeklo,ogljik,čokolada,"['kakav', 'fižol', 'kakavova_zrna']","Beseda ""jeklo"" je besedi ""ogljik"" enako, kot je beseda ""čokolada"" besedi "
58,SL,hiša,opeke,beton,"['silicij', 'cement', 'voda', 'pesek', 'atomsko_število_14']","Beseda ""hiša"" je besedi ""opeke"" enako, kot je beseda ""beton"" besedi "
59,SL,hiša,glina,atmosfera,"['plin', 'kisik', 'vodik', 'dušik', 'ozon']","Beseda ""hiša"" je besedi ""glina"" enako, kot je beseda ""atmosfera"" besedi "
60,SK,pečivo,vajce,chlieb,"['múka', 'kvasnice']","Slovo ""pečivo""  sa má k slovu ""vajce"" ako slovo ""chlieb"" k slovu "
61,SK,stôl,kov,cencúľ,"['ľad', 'voda']","Slovo ""stôl""  sa má k slovu ""kov"" ako slovo ""cencúľ"" k slovu "
62,SK,kľučka,drevo,peniaze,"['papier', 'kov', 'striebro', 'zlato', 'železo', 'meď', 'cín']","Slovo ""kľučka""  sa má k slovu ""drevo"" ako slovo ""peniaze"" k slovu "
63,SK,penny,meď,kľučka,"['kov', 'oceľ', 'bronz', 'drevo']","Slovo ""penny""  sa má k slovu ""meď"" ako slovo ""kľučka"" k slovu "
64,SK,betón,piesok,čokoláda,"['kakao', 'bôb', 'kakaový_bôb']","Slovo ""betón""  sa má k slovu ""piesok"" ako slovo ""čokoláda"" k slovu "
65,SK,strecha,škridle,cukrík,"['cukor', 'nugát', 'čokoláda', 'želatína', 'melasa', 'sirup', 'med', 'ovocie', 'oriešky']","Slovo ""strecha""  sa má k slovu ""škridle"" ako slovo ""cukrík"" k slovu "
66,SK,more,voda,cencúľ,"['ľad', 'voda']","Slovo ""more""  sa má k slovu ""voda"" ako slovo ""cencúľ"" k slovu "
67,SK,mračno,para,stena,"['cement', 'tehly', 'kamene', 'drevo', 'kartón', 'platňa', 'doska', 'hlina', 'blato']","Slovo ""mračno""  sa má k slovu ""para"" ako slovo ""stena"" k slovu "
68,SK,peniaze,meď,voda,"['kyslík', 'vodík', 'voda', 'H₂O', 'atómové_číslo_1', 'atómové_číslo_8', 'H', 'O']","Slovo ""peniaze""  sa má k slovu ""meď"" ako slovo ""voda"" k slovu "
69,SK,umelá_hmota,uhlie,víno,['hrozno'],"Slovo ""umelá_hmota""  sa má k slovu ""uhlie"" ako slovo ""víno"" k slovu "
70,SK,bronz,meď,cencúľ,"['ľad', 'voda']","Slovo ""bronz""  sa má k slovu ""meď"" ako slovo ""cencúľ"" k slovu "
71,SK,brada,chlp,cencúľ,"['ľad', 'voda']","Slovo ""brada""  sa má k slovu ""chlp"" ako slovo ""cencúľ"" k slovu "
72,SK,penny,nikel,voda,"['kyslík', 'vodík', 'voda', 'H₂O', 'atómové_číslo_1', 'atómové_číslo_8', 'H', 'O']","Slovo ""penny""  sa má k slovu ""nikel"" ako slovo ""voda"" k slovu "
73,SK,stena,hlina,peniaze,"['papier', 'kov', 'striebro', 'zlato', 'železo', 'meď', 'cín']","Slovo ""stena""  sa má k slovu ""hlina"" ako slovo ""peniaze"" k slovu "
74,SK,pláž,kamienky,stôl,"['drevo', 'kov', 'umelá_hmota']","Slovo ""pláž""  sa má k slovu ""kamienky"" ako slovo ""stôl"" k slovu "
75,SK,cukrík,ovocie,umelá_hmota,"['polymér', 'ropa', 'plyn', 'uhlie']","Slovo ""cukrík""  sa má k slovu ""ovocie"" ako slovo ""umelá_hmota"" k slovu "
76,SK,sneh,vodík,sneh,"['voda', 'kyslík', 'vodík', 'vločka', 'ľad', 'snehová_vločka', 'snehové_vločky', 'H₂O', 'atómové_číslo_1', 'atómové_číslo_8', 'H', 'O']","Slovo ""sneh""  sa má k slovu ""vodík"" ako slovo ""sneh"" k slovu "
77,SK,omeleta,vajcia,pláž,"['piesok', 'kremík', 'kamene', 'kamienky', 'atómové_číslo_14', 'Si']","Slovo ""omeleta""  sa má k slovu ""vajcia"" ako slovo ""pláž"" k slovu "
78,SK,sneh,ľad,penny,"['kov', 'zliatina', 'bronz', 'nikel', 'zinok', 'meď', 'cín']","Slovo ""sneh""  sa má k slovu ""ľad"" ako slovo ""penny"" k slovu "
79,SK,atmosféra,plyn,stena,"['cement', 'tehly', 'kamene', 'drevo', 'kartón', 'platňa', 'doska', 'hlina', 'blato']","Slovo ""atmosféra""  sa má k slovu ""plyn"" ako slovo ""stena"" k slovu "
80,SK,cukrík,melasa,peniaze,"['papier', 'kov', 'striebro', 'zlato', 'železo', 'meď', 'cín']","Slovo ""cukrík""  sa má k slovu ""melasa"" ako slovo ""peniaze"" k slovu "
81,SK,fľaša,umelá_hmota,lyžička,"['hliník', 'drevo', 'oceľ']","Slovo ""fľaša""  sa má k slovu ""umelá_hmota"" ako slovo ""lyžička"" k slovu "
82,SK,ľad,kyslík,ľad,"['voda', 'kyslík', 'vodík', 'H₂O', 'atómové_číslo_1', 'atómové_číslo_8', 'H', 'O']","Slovo ""ľad""  sa má k slovu ""kyslík"" ako slovo ""ľad"" k slovu "
83,SK,vak,koža,ľad,"['voda', 'kyslík', 'vodík', 'H₂O', 'atómové_číslo_1', 'atómové_číslo_8', 'H', 'O']","Slovo ""vak""  sa má k slovu ""koža"" ako slovo ""ľad"" k slovu "
84,SK,strecha,kov,misa,"['sklo', 'porcelán', 'hliník', 'drevo', 'oceľ', 'umelá_hmota', 'hlina']","Slovo ""strecha""  sa má k slovu ""kov"" ako slovo ""misa"" k slovu "
85,SK,stôl,kov,kľučka,"['kov', 'oceľ', 'bronz', 'drevo']","Slovo ""stôl""  sa má k slovu ""kov"" ako slovo ""kľučka"" k slovu "
86,SK,umelá_hmota,plyn,pláž,"['piesok', 'kremík', 'kamene', 'kamienky', 'atómové_číslo_14', 'Si']","Slovo ""umelá_hmota""  sa má k slovu ""plyn"" ako slovo ""pláž"" k slovu "
87,SK,oceľ,uhlík,čokoláda,"['kakao', 'bôb', 'kakaový_bôb']","Slovo ""oceľ""  sa má k slovu ""uhlík"" ako slovo ""čokoláda"" k slovu "
88,SK,dom,tehly,betón,"['kremík', 'cement', 'voda', 'piesok', 'atómové_číslo_14', 'Si']","Slovo ""dom""  sa má k slovu ""tehly"" ako slovo ""betón"" k slovu "
89,SK,dom,hlina,atmosféra,"['plyn', 'kyslík', 'vodík', 'dusík', 'ozón']","Slovo ""dom""  sa má k slovu ""hlina"" ako slovo ""atmosféra"" k slovu "
90,HE,מאפה,ביצה,לחם,"['קמח', 'שמרים']"," ל ""לחם"" כ ""ביצה"" ל ""מאפה"""
91,HE,שולחן,מַתֶכֶת,נטיף_קרח,"['קרח', 'מים']"," ל ""נטיף_קרח"" כ ""מַתֶכֶת"" ל ""שולחן"""
92,HE,ידית_של_דלת,עץ,כֶּסֶף,"['עיתון', 'מַתֶכֶת', 'צבע_כסף', 'צבע_זהב', 'בַּרזֶל', 'נְחוֹשֶׁת', 'פַּח']"," ל ""כֶּסֶף"" כ ""עץ"" ל ""ידית_של_דלת"""
93,HE,פֶּנִי,נְחוֹשֶׁת,ידית_של_דלת,"['מַתֶכֶת', 'פְּלָדָה', 'בְּרוֹנזָה', 'עץ']"," ל ""ידית_של_דלת"" כ ""נְחוֹשֶׁת"" ל ""פֶּנִי"""
94,HE,בֵּטוֹן,חוֹל,שוקולד,"['קקאו', 'אפונה', 'פולי_קקאו']"," ל ""שוקולד"" כ ""חוֹל"" ל ""בֵּטוֹן"""
95,HE,גג,קירוי,ממתק,"['סוכר', 'נוגט', 'שוקולד', ""ג'לטין"", 'דִבשָׁה', 'סירופ', 'דבש', 'פרי', 'אֱגוֹזִים']"," ל ""ממתק"" כ ""קירוי"" ל ""גג"""
96,HE,יָם,מים,נטיף_קרח,"['קרח', 'מים']"," ל ""נטיף_קרח"" כ ""מים"" ל ""יָם"""
97,HE,ענן,אדים,קִיר,"['בטון', 'לבנים', 'אבנים', 'סלעים', 'עץ', 'קַרטוֹן', 'גלשן', 'קֶרֶשׁ', 'חֶרֶס', 'בּוֹץ']"," ל ""קִיר"" כ ""אדים"" ל ""ענן"""
98,HE,כֶּסֶף,נְחוֹשֶׁת,מים,"['חַמצָן', 'מֵימָן', 'מים', 'H2O', 'מספר_אטומי_8', 'מספר_אטומי_1']"," ל ""מים"" כ ""נְחוֹשֶׁת"" ל ""כֶּסֶף"""
99,HE,פלסטי,פֶּחָם,יַיִן,"['ענבים', 'עַנָב']"," ל ""יַיִן"" כ ""פֶּחָם"" ל ""פלסטי"""
100,HE,בְּרוֹנזָה,נְחוֹשֶׁת,נטיף_קרח,"['קרח', 'מים']"," ל ""נטיף_קרח"" כ ""נְחוֹשֶׁת"" ל ""בְּרוֹנזָה"""
101,HE,זָקָן,שיער,נטיף_קרח,"['קרח', 'מים']"," ל ""נטיף_קרח"" כ ""שיער"" ל ""זָקָן"""
102,HE,פֶּנִי,ניקל,מים,"['חַמצָן', 'מֵימָן', 'מים', 'H2O', 'מספר_אטומי_8', 'מספר_אטומי_1']"," ל ""מים"" כ ""ניקל"" ל ""פֶּנִי"""
103,HE,קִיר,חֶרֶס,כֶּסֶף,"['עיתון', 'מַתֶכֶת', 'צבע_כסף', 'צבע_זהב', 'בַּרזֶל', 'נְחוֹשֶׁת', 'פַּח']"," ל ""כֶּסֶף"" כ ""חֶרֶס"" ל ""קִיר"""
104,HE,החוף,חלוקי_נחל,שולחן,"['עץ', 'מַתֶכֶת', 'פלסטי']"," ל ""שולחן"" כ ""חלוקי_נחל"" ל ""החוף"""
105,HE,ממתק,פרי,פלסטי,"['פּוֹלִימֵר', 'שמן', 'גַז', 'פֶּחָם']"," ל ""פלסטי"" כ ""פרי"" ל ""ממתק"""
106,HE,שֶׁלֶג,מֵימָן,שֶׁלֶג,"['מים', 'חַמצָן', 'מֵימָן', 'לְהִתְקַלֵף', 'קרח', 'פְּתִית_שֶׁלֶג', 'פתיתי_שלג', 'H2O', 'מספר_אטומי_8', 'מספר_אטומי_1']"," ל ""שֶׁלֶג"" כ ""מֵימָן"" ל ""שֶׁלֶג"""
107,HE,חֲבִיתָה,ביצים,החוף,"['חוֹל', 'סִילִיקוֹן', 'סלעים', 'חלוקי_נחל', 'מספר_אטומי_14', 'סִי']"," ל ""החוף"" כ ""ביצים"" ל ""חֲבִיתָה"""
108,HE,שֶׁלֶג,קרח,פֶּנִי,"['מַתֶכֶת', 'סַגסוֹגֶת', 'בְּרוֹנזָה', 'ניקל', 'אָבָץ', 'נְחוֹשֶׁת', 'פַּח']"," ל ""פֶּנִי"" כ ""קרח"" ל ""שֶׁלֶג"""
109,HE,אַטמוֹספֵרָה,גַז,קִיר,"['בטון', 'לבנים', 'אבנים', 'סלעים', 'עץ', 'קַרטוֹן', 'גלשן', 'קֶרֶשׁ', 'חֶרֶס', 'בּוֹץ']"," ל ""קִיר"" כ ""גַז"" ל ""אַטמוֹספֵרָה"""
110,HE,ממתק,דִבשָׁה,כֶּסֶף,"['עיתון', 'מַתֶכֶת', 'צבע_כסף', 'צבע_זהב', 'בַּרזֶל', 'נְחוֹשֶׁת', 'פַּח']"," ל ""כֶּסֶף"" כ ""דִבשָׁה"" ל ""ממתק"""
111,HE,בקבוק,פלסטי,כף,"['אֲלוּמִינְיוּם', 'עץ', 'פְּלָדָה']"," ל ""כף"" כ ""פלסטי"" ל ""בקבוק"""
112,HE,קרח,חַמצָן,קרח,"['מים', 'חַמצָן', 'מֵימָן', 'h2o', 'מספר_אטומי_8', 'מספר_אטומי_1']"," ל ""קרח"" כ ""חַמצָן"" ל ""קרח"""
113,HE,תיק,עוֹר,קרח,"['מים', 'חַמצָן', 'מֵימָן', 'h2o', 'מספר_אטומי_8', 'מספר_אטומי_1']"," ל ""קרח"" כ ""עוֹר"" ל ""תיק"""
114,HE,גג,מַתֶכֶת,קְעָרָה,"['זכוכית', 'חרסינה', 'אֲלוּמִינְיוּם', 'עץ', 'פְּלָדָה', 'פלסטי', 'חֶרֶס']"," ל ""קְעָרָה"" כ ""מַתֶכֶת"" ל ""גג"""
115,HE,שולחן_כתיבה,מַתֶכֶת,ידית_של_דלת,"['מַתֶכֶת', 'פְּלָדָה', 'בְּרוֹנזָה', 'עץ']"," ל ""ידית_של_דלת"" כ ""מַתֶכֶת"" ל ""שולחן_כתיבה"""
116,HE,פלסטי,גַז,החוף,"['חוֹל', 'סִילִיקוֹן', 'סלעים', 'חלוקי_נחל', 'מספר_אטומי_14', 'סִי']"," ל ""החוף"" כ ""גַז"" ל ""פלסטי"""
117,HE,פְּלָדָה,פַּחמָן,שוקולד,"['קקאו', 'אפונה', 'פולי_קקאו']"," ל ""שוקולד"" כ ""פַּחמָן"" ל ""פְּלָדָה"""
118,HE,בַּיִת,לבנים,בֵּטוֹן,"['סִילִיקוֹן', 'בטון', 'מים', 'חוֹל', 'מספר_אטומי_14', 'סִי']"," ל ""בֵּטוֹן"" כ ""לבנים"" ל ""בַּיִת"""
119,HE,בַּיִת,חֶרֶס,אַטמוֹספֵרָה,"['גַז', 'חַמצָן', 'מֵימָן', 'חַנקָן', 'אוֹזוֹן']"," ל ""אַטמוֹספֵרָה"" כ ""חֶרֶס"" ל ""בַּיִת"""
120,AL,ëmbëlsirë,vezë,bukë,"['miell', 'maja']","""ëmbëlsirë"" është për ""vezë"" ashtu si ""bukë"" për "
121,AL,tavolinë,metali,qiri_akulli,"['akull', 'ujë']","""tavolinë"" është për ""metali"" ashtu si ""qiri_akulli"" për "
122,AL,dorezë_dere,dru,para,"['letër', 'metal', 'argjend', 'flori', 'hekur', 'bakër', 'teneqe']","""dorezë_dere"" është për ""dru"" ashtu si ""para"" për "
123,AL,qindarkë,bakër,dorezë_dere,"['metal', 'çelik', 'bronz', 'dru']","""qindarkë"" është për ""bakër"" ashtu si ""dorezë_dere"" për "
124,AL,beton,rërë,çokollatë,"['kakao', 'kokërr', 'kokërr_kakao']","""beton"" është për ""rërë"" ashtu si ""çokollatë"" për "
125,AL,çati,tjegulla,karamele,"['sheqer', 'nuga', 'çokollatë', 'xhel', 'melasë', 'shurup', 'mjaltë', 'frut', 'arra']","""çati"" është për ""tjegulla"" ashtu si ""karamele"" për "
126,AL,det,ujë,qiri_akulli,"['akull', 'ujë']","""det"" është për ""ujë"" ashtu si ""qiri_akulli"" për "
127,AL,re,avull,mur,"['çimento', 'tulla', 'gurë', 'shkëmbinj', 'dru', 'karton', 'dërrasë', 'dërrasë/parket', 'argjilë', 'baltë']","""re"" është për ""avull"" ashtu si ""mur"" për "
128,AL,para,bakër,ujë,"['oksigjen', 'hidrogjen', 'ujë', 'h2o', 'numri_atomik_1', 'numri_atomik_8', 'h', 'o']","""para"" është për ""bakër"" ashtu si ""ujë"" për "
129,AL,plastikë,qymyr,verë,"['rrush', 'rrusht']","""plastikë"" është për ""qymyr"" ashtu si ""verë"" për "
130,AL,bronz,bakër,qiri_akulli,"['akull', 'ujë']","""bronz"" është për ""bakër"" ashtu si ""qiri_akulli"" për "
131,AL,mjekër,qime,qiri_akulli,"['akull', 'ujë']","""mjekër"" është për ""qime"" ashtu si ""qiri_akulli"" për "
132,AL,qindarkë,nikel,ujë,"['oksigjen', 'hidrogjen', 'ujë', 'h2o', 'numri_atomik_1', 'numri_atomik_8', 'h', 'o']","""qindarkë"" është për ""nikel"" ashtu si ""ujë"" për "
133,AL,mur,argjilë,para,"['letër', 'metal', 'argjend', 'flori', 'hekur', 'bakër', 'teneqe']","""mur"" është për ""argjilë"" ashtu si ""para"" për "
134,AL,plazh,guralecë,tavolinë,"['druri', 'metali', 'plastike']","""plazh"" është për ""guralecë"" ashtu si ""tavolinë"" për "
135,AL,karamele,frut,plastikë,"['polimer', 'naftë', 'gaz', 'qymyr']","""karamele"" është për ""frut"" ashtu si ""plastikë"" për "
136,AL,borë,hidrogjen,borë,"['ujë', 'oksigjen', 'hidrogjen', 'flokë', 'akull', 'flokë_bore', 'h2o', 'numri_atomik_1', 'numri_atomik_8', 'h', 'o']","""borë"" është për ""hidrogjen"" ashtu si ""borë"" për "
137,AL,omëletë,vezë,plazh,"['rërë', 'silikon', 'shkëmbinj', 'guralecë', 'numri_atomik.14', 'si']","""omëletë"" është për ""vezë"" ashtu si ""plazh"" për "
138,AL,borë,akull,qindarkë,"['metal', 'aliazh', 'bronz', 'nikel', 'zink', 'bakër', 'teneqe']","""borë"" është për ""akull"" ashtu si ""qindarkë"" për "
139,AL,atmosferë,gaz,mur,"['çimento', 'tulla', 'gurë', 'shkëmbinj', 'dru', 'karton', 'dërrasë', 'dërrasë/parket', 'argjilë', 'baltë']","""atmosferë"" është për ""gaz"" ashtu si ""mur"" për "
140,AL,karamele,melasë,para,"['letër', 'metal', 'argjend', 'flori', 'hekur', 'bakër', 'teneqe']","""karamele"" është për ""melasë"" ashtu si ""para"" për "
141,AL,shishe,plastike,lugë,"['alumin', 'dru', 'çelik']","""shishe"" është për ""plastike"" ashtu si ""lugë"" për "
142,AL,akull,oksigjen,akull,"['ujë', 'oksigjen', 'hidrogjen', 'h2o', 'numri_atomik_1', 'numri_atomik_8', 'h', 'o']","""akull"" është për ""oksigjen"" ashtu si ""akull"" për "
143,AL,çantë,lëkure,akull,"['ujë', 'oksigjen', 'hidrogjen', 'h2o', 'numri_atomik_1', 'numri_atomik_8', 'h', 'o']","""çantë"" është për ""lëkure"" ashtu si ""akull"" për "
144,AL,çati,metal,tas,"['qelqi', 'porcelani', 'alumini', 'druri', 'çeliku', 'plastik', 'argjili']","""çati"" është për ""metal"" ashtu si ""tas"" për "
145,AL,tavolinë,metal,dorezë_dere,"['metal', 'çelik', 'bronz', 'dru']","""tavolinë"" është për ""metal"" ashtu si ""dorezë_dere"" për "
146,AL,plastikë,gaz,plazh,"['rërë', 'silikon', 'shkëmbinj', 'guralecë', 'numri_atomik.14', 'si']","""plastikë"" është për ""gaz"" ashtu si ""plazh"" për "
147,AL,çelik,karbon,çokollatë,"['kakao', 'kokërr', 'kokërr_kakao']","""çelik"" është për ""karbon"" ashtu si ""çokollatë"" për "
148,AL,shtëpi,tulla,beton,"['silikon', 'çimento', 'ujë', 'rërë', 'numri_atomik_14', 'si']","""shtëpi"" është për ""tulla"" ashtu si ""beton"" për "
149,AL,shtëpi,argjilë,atmosferë,"['gaz', 'oksigjen', 'hidrogjen', 'nitrogjen', 'ozon']","""shtëpi"" është për ""argjilë"" ashtu si ""atmosferë"" për "
