,Language,a,b,c,d,prompts
10,EN,butterfly,organism,pony,"['bovid', 'mammal', 'horse', 'vertebrate', 'creature', 'beast', 'animal', 'organism', 'fauna', 'placental', 'eutherian', 'equine', 'mammalian', 'equid', 'living_thing', 'odd-toed_ungulate', 'animate_being', 'perissodactyl', 'placental_mammal', 'craniate', 'hoofed_mammal', 'physical_entity', 'equus_caballus']","""butterfly"" is to ""organism"" as ""pony"" is to "
11,EN,dog,placental,pony,"['bovid', 'mammal', 'horse', 'vertebrate', 'creature', 'beast', 'animal', 'organism', 'fauna', 'placental', 'eutherian', 'equine', 'mammalian', 'equid', 'living_thing', 'odd-toed_ungulate', 'animate_being', 'perissodactyl', 'placental_mammal', 'craniate', 'hoofed_mammal', 'physical_entity', 'equus_caballus']","""dog"" is to ""placental"" as ""pony"" is to "
12,EN,gorilla,fauna,goose,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'domestic_fowl', 'waterfowl', 'animate_being', 'anseriform_bird', 'craniate', 'living_thing']","""gorilla"" is to ""fauna"" as ""goose"" is to "
13,EN,fox,carnivore,orangutan,"['primate', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'hominid', 'chordate', 'eutherian', 'mammal', 'ape', 'mammalian', 'animate_being', 'placental_mammal', 'craniate', 'physical_physical_entity', 'living_thing']","""fox"" is to ""carnivore"" as ""orangutan"" is to "
14,EN,butterfly,creature,deer,"['bovid', 'mammal', 'vertebrate', 'creature', 'ungulate', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'artiodactyl', 'ruminant', 'chordate', 'eutherian', 'mammalian', 'bovine', 'animate_being', 'placental_mammal', 'craniate', 'physical_hoofed_mammal', 'physical_entity', 'even-toed_ungulate', 'artiodactyl_mammal', 'living_thing']","""butterfly"" is to ""creature"" as ""deer"" is to "
15,EN,tiger,fauna,coyote,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'locomote', 'placental_mammal', 'craniate', 'domesticated_animal', 'physical_entity', 'domestic_animal', 'living_thing']","""tiger"" is to ""fauna"" as ""coyote"" is to "
16,EN,gibbon,placental,jackal,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'locomote', 'placental_mammal', 'craniate', 'domesticated_animal', 'physical_entity', 'domestic_animal', 'living_thing']","""gibbon"" is to ""placental"" as ""jackal"" is to "
17,EN,wolf,physical_entity,coyote,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'locomote', 'placental_mammal', 'craniate', 'domesticated_animal', 'physical_entity', 'domestic_animal', 'living_thing']","""wolf"" is to ""physical_entity"" as ""coyote"" is to "
18,EN,falcon,fauna,bee,"['insect', 'invertebrate', 'creature', 'beast', 'hymenopteran', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'hymenopterous_insect', 'animate_being', 'hymenopter', 'living_thing']","""falcon"" is to ""fauna"" as ""bee"" is to "
19,EN,jackal,fauna,deer,"['bovid', 'mammal', 'vertebrate', 'creature', 'ungulate', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'artiodactyl', 'ruminant', 'chordate', 'eutherian', 'mammalian', 'bovine', 'animate_being', 'placental_mammal', 'craniate', 'physical_hoofed_mammal', 'physical_entity', 'even-toed_ungulate', 'artiodactyl_mammal', 'living_thing']","""jackal"" is to ""fauna"" as ""deer"" is to "
20,EN,lion,fauna,wolf,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'locomote', 'placental_mammal', 'craniate', 'domesticated_animal', 'physical_entity', 'domestic_animal', 'living_thing']","""lion"" is to ""fauna"" as ""wolf"" is to "
21,EN,fox,fauna,ant,"['insect', 'invertebrate', 'creature', 'beast', 'hymenopteran', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'hymenopterous_insect', 'animate_being', 'physical_hymenopteron', 'physical_entity', 'hymenopter', 'living_thing']","""fox"" is to ""fauna"" as ""ant"" is to "
22,EN,jaguar,carnivore,mouse,"['rodent', 'vertebrate', 'creature', 'beast', 'animal', 'organism', 'fauna', 'placental', 'chordate', 'eutherian', 'mammal', 'mammalian', 'gnawer', 'animate_being', 'living_thing', 'placental_mammal', 'craniate']","""jaguar"" is to ""carnivore"" as ""mouse"" is to "
23,EN,owl,vertebrate,dog,"['canine', 'vertebrate', 'creature', 'beast', 'canid', 'being', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'locomote', 'placental_mammal', 'craniate', 'domesticated_animal', 'physical_entity', 'domestic_animal', 'living_thing']","""owl"" is to ""vertebrate"" as ""dog"" is to "
24,EN,pony,fauna,butterfly,"['insect', 'creature', 'beast', 'lepidopteran', 'animal', 'organism', 'fauna', 'arthropod', 'lepidopterous_insect', 'animate_being', 'living_thing']","""pony"" is to ""fauna"" as ""butterfly"" is to "
25,EN,lion,cat,bee,"['insect', 'invertebrate', 'creature', 'beast', 'hymenopteran', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'hymenopterous_insect', 'animate_being', 'hymenopter', 'living_thing']","""lion"" is to ""cat"" as ""bee"" is to "
26,EN,leopard,fauna,turkey,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'domestic_fowl', 'animate_being', 'gallinaceous_bird', 'craniate', 'gallinacean', 'living_thing']","""leopard"" is to ""fauna"" as ""turkey"" is to "
27,EN,ant,placental,cat,"['feline', 'beast', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'felid', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'placental_mammal', 'craniate']","""ant"" is to ""placental"" as ""cat"" is to "
28,EN,cow,organism,cockroach,"['insect', 'invertebrate', 'creature', 'beast', 'dictyopterous_insect', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'animate_being', 'physical_entity', 'living_thing']","""cow"" is to ""organism"" as ""cockroach"" is to "
29,EN,gorilla,organism,human,"['primate', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'hominid', 'chordate', 'eutherian', 'mammal', 'ape', 'mammalian', 'animate_being', 'placental_mammal', 'craniate', 'physical_physical_entity', 'living_thing']","""gorilla"" is to ""organism"" as ""human"" is to "
30,SL,sokol,ptica,puran,"['perjad', 'ptica', 'vretenčar', 'perutnina', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'domača_perjad', 'gibajoče_bitje', 'kura', 'craniata', 'CUPLICATE_kura', 'živo_bitje']","Beseda ""sokol"" je besedi ""ptica"" enako, kot je beseda ""puran"" besedi "
31,SL,bivol,vretenčar,tiger,"['mačka', 'zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'craniata', 'velika_mačka']","Beseda ""bivol"" je besedi ""vretenčar"" enako, kot je beseda ""tiger"" besedi "
32,SL,metulj,žuželka,puran,"['perjad', 'ptica', 'vretenčar', 'perutnina', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'domača_perjad', 'gibajoče_bitje', 'kura', 'craniata', 'CUPLICATE_kura', 'živo_bitje']","Beseda ""metulj"" je besedi ""žuželka"" enako, kot je beseda ""puran"" besedi "
33,SL,poni,organizem,ščurek,"['žuželka', 'nevretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'gibajoče_bitje', 'fizična_stvar', 'živo_bitje']","Beseda ""poni"" je besedi ""organizem"" enako, kot je beseda ""ščurek"" besedi "
34,SL,raca,vodna_perjad,koza,"['votlorog', 'sesalec', 'vretenčar', 'kopitar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'strunar', 'višji_sesalec', 'gibajoče_bitje', 'craniata', 'rogata_žival', 'sodoprsti_kopitar', 'živo_bitje']","Beseda ""raca"" je besedi ""vodna_perjad"" enako, kot je beseda ""koza"" besedi "
35,SL,šakal,udomačena_žival,bivol,"['votlorog', 'sesalec', 'bizon', 'krava', 'vretenčar', 'kopitar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'prežvekovalec', 'strunar', 'višji_strunar', 'pravo_govedo', 'gibajoče_bitje', 'višji_sesalec', 'kraniat', 'fizični_kopitar', 'fizična_stvar', 'sodoprsti_kopitar', 'živo_bitje']","Beseda ""šakal"" je besedi ""udomačena_žival"" enako, kot je beseda ""bivol"" besedi "
36,SL,mravlja,žuželka,mravlja,"['žuželka', 'nevretenčar', 'zver', 'kožekrilec', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'žuželka_kožekrilka', 'gibajoče_bitje', 'fizična_kožekrilka', 'fizična_stvar', 'živo_bitje']","Beseda ""mravlja"" je besedi ""žuželka"" enako, kot je beseda ""mravlja"" besedi "
37,SL,mačka,organizem,veverica,"['glodavec', 'vretenčar', 'zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'živo_bitje', 'craniata']","Beseda ""mačka"" je besedi ""organizem"" enako, kot je beseda ""veverica"" besedi "
38,SL,šakal,fizična_stvar,orel,"['ujeda', 'ptica', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'gibajoče_bitje', 'craniata', 'živo_bitje', 'ptica_ujeda']","Beseda ""šakal"" je besedi ""fizična_stvar"" enako, kot je beseda ""orel"" besedi "
39,SL,tiger,organizem,raca,"['perjad', 'ptica', 'vretenčar', 'perutnina', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'domača_perjad', 'vodna_perjad', 'gibajoče_bitje', 'plojkokljun', 'kraniat', 'živo_bitje']","Beseda ""tiger"" je besedi ""organizem"" enako, kot je beseda ""raca"" besedi "
40,SL,metulj,organizem,poni,"['votlorog', 'sesalec', 'konj', 'vretenčar', 'zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'višji_sesalec', 'živo_bitje', 'lihoprsti_kopitar', 'gibajoče_bitje', 'craniata', 'rogata_žival', 'fizična_stvar', 'domači_konj']","Beseda ""metulj"" je besedi ""organizem"" enako, kot je beseda ""poni"" besedi "
41,SL,pes,placentalni_sesalec,poni,"['votlorog', 'sesalec', 'konj', 'vretenčar', 'zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'višji_sesalec', 'živo_bitje', 'lihoprsti_kopitar', 'gibajoče_bitje', 'craniata', 'rogata_žival', 'fizična_stvar', 'domači_konj']","Beseda ""pes"" je besedi ""placentalni_sesalec"" enako, kot je beseda ""poni"" besedi "
42,SL,gorila,favna,gos,"['perjad', 'ptica', 'vretenčar', 'perutnina', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'domača_perjad', 'vodna_perjad', 'gibajoče_bitje', 'plojkokljun', 'craniata', 'živo_bitje']","Beseda ""gorila"" je besedi ""favna"" enako, kot je beseda ""gos"" besedi "
43,SL,lisica,mesojed,orangutan,"['primat', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'hominid', 'strunar', 'višji_sesalec', 'sesalec', 'opica', 'gibajoče_bitje', 'craniata', 'fizična_fizična_stvar', 'živo_bitje']","Beseda ""lisica"" je besedi ""mesojed"" enako, kot je beseda ""orangutan"" besedi "
44,SL,metulj,bitje,jelen,"['votlorog', 'sesalec', 'vretenčar', 'kopitar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'prežvekovalec', 'strunar', 'višji_sesalec', 'pravo_govedo', 'gibajoče_bitje', 'kraniat', 'fizični_kopitar', 'fizična_stvar', 'sodoprsti_kopitar', 'živo_bitje']","Beseda ""metulj"" je besedi ""bitje"" enako, kot je beseda ""jelen"" besedi "
45,SL,tiger,favna,kojot,"['pes', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'kraniat', 'udomačena_žival', 'fizična_stvar', 'domača_žival', 'živo_bitje']","Beseda ""tiger"" je besedi ""favna"" enako, kot je beseda ""kojot"" besedi "
46,SL,gibon,placentalni_sesalec,šakal,"['pes', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'craniata', 'udomačena_žival', 'fizična_stvar', 'domača_žival', 'živo_bitje']","Beseda ""gibon"" je besedi ""placentalni_sesalec"" enako, kot je beseda ""šakal"" besedi "
47,SL,volk,fizična_stvar,kojot,"['pes', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'kraniat', 'udomačena_žival', 'fizična_stvar', 'domača_žival', 'živo_bitje']","Beseda ""volk"" je besedi ""fizična_stvar"" enako, kot je beseda ""kojot"" besedi "
48,SL,sokol,favna,čebela,"['žuželka', 'nevretenčar', 'zver', 'kožekrilec', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'žuželka_kožekrilka', 'gibajoče_bitje', 'živo_bitje']","Beseda ""sokol"" je besedi ""favna"" enako, kot je beseda ""čebela"" besedi "
49,SL,šakal,favna,jelen,"['votlorog', 'sesalec', 'vretenčar', 'kopitar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'prežvekovalec', 'strunar', 'višji_sesalec', 'pravo_govedo', 'gibajoče_bitje', 'kraniat', 'fizični_kopitar', 'fizična_stvar', 'sodoprsti_kopitar', 'živo_bitje']","Beseda ""šakal"" je besedi ""favna"" enako, kot je beseda ""jelen"" besedi "
50,SL,lev,favna,volk,"['pes', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'craniata', 'udomačena_žival', 'fizična_stvar', 'domača_žival', 'živo_bitje']","Beseda ""lev"" je besedi ""favna"" enako, kot je beseda ""volk"" besedi "
51,SL,lisica,favna,mravlja,"['žuželka', 'nevretenčar', 'zver', 'kožekrilec', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'žuželka_kožekrilka', 'gibajoče_bitje', 'fizična_kožekrilka', 'fizična_stvar', 'živo_bitje']","Beseda ""lisica"" je besedi ""favna"" enako, kot je beseda ""mravlja"" besedi "
52,SL,jaguar,mesojed,miš,"['glodavec', 'vretenčar', 'zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'živo_bitje', 'craniata']","Beseda ""jaguar"" je besedi ""mesojed"" enako, kot je beseda ""miš"" besedi "
53,SL,sova,vretenčar,pes,"['vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_sesalec', 'sesalec', 'gibajoče_bitje', 'kraniat', 'udomačena_žival', 'fizična_stvar', 'domača_žival', 'živo_bitje']","Beseda ""sova"" je besedi ""vretenčar"" enako, kot je beseda ""pes"" besedi "
54,SL,poni,favna,metulj,"['žuželka', 'bitje', 'zver', 'žival', 'organizem', 'favna', 'členonožec', 'lepidoptera_žuželka', 'gibajoče_bitje', 'živo_bitje']","Beseda ""poni"" je besedi ""favna"" enako, kot je beseda ""metulj"" besedi "
55,SL,lev,mačka,čebela,"['žuželka', 'nevretenčar', 'zver', 'kožekrilec', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'žuželka_kožekrilka', 'gibajoče_bitje', 'živo_bitje']","Beseda ""lev"" je besedi ""mačka"" enako, kot je beseda ""čebela"" besedi "
56,SL,leopard,favna,puran,"['perjad', 'ptica', 'vretenčar', 'perutnina', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'strunar', 'domača_perjad', 'gibajoče_bitje', 'kura', 'craniata', 'CUPLICATE_kura', 'živo_bitje']","Beseda ""leopard"" je besedi ""favna"" enako, kot je beseda ""puran"" besedi "
57,SL,mravlja,placentalni_sesalec,mačka,"['zver', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'mesojed', 'strunar', 'višji_strunar', 'sesalec', 'višji_sesalec', 'gibajoče_bitje', 'kraniat']","Beseda ""mravlja"" je besedi ""placentalni_sesalec"" enako, kot je beseda ""mačka"" besedi "
58,SL,krava,organizem,ščurek,"['žuželka', 'nevretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'členonožec', 'gibajoče_bitje', 'fizična_stvar', 'živo_bitje']","Beseda ""krava"" je besedi ""organizem"" enako, kot je beseda ""ščurek"" besedi "
59,SL,gorila,organizem,človek,"['primat', 'vretenčar', 'zver', 'bitje', 'žival', 'organizem', 'favna', 'placentalni_sesalec', 'hominid', 'strunar', 'višji_sesalec', 'sesalec', 'opica', 'gibajoče_bitje', 'craniata', 'fizična_fizična_stvar', 'živo_bitje']","Beseda ""gorila"" je besedi ""organizem"" enako, kot je beseda ""človek"" besedi "
60,SK,sokol,vták,moriak,"['vták', 'stavovec', 'hydina', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'chordát', 'domáca_hydina', 'živá_bytosť', 'hrabavý_vták', 'hrabavá_hydina', 'živá_vec']","Slovo ""sokol""  sa má k slovu ""vták"" ako slovo ""moriak"" k slovu "
61,SK,byvol,stavovec,tiger,"['mačkovitý', 'mačka', 'zviera', 'živočích', 'organizmus', 'fauna', 'placentovec', 'mäsožravec', 'chordát', 'vyšší_cicavec', 'cicavec', 'živá_bytosť', 'placentálovec', 'mačkovitá_šelma']","Slovo ""byvol""  sa má k slovu ""stavovec"" ako slovo ""tiger"" k slovu "
62,SK,motýľ,hmyz,moriak,"['vták', 'stavovec', 'hydina', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'chordát', 'domáca_hydina', 'živá_bytosť', 'hrabavý_vták', 'hrabavá_hydina', 'živá_vec']","Slovo ""motýľ""  sa má k slovu ""hmyz"" ako slovo ""moriak"" k slovu "
63,SK,poník,organizmus,šváb,"['hmyz', 'bezstavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'článkonožec', 'živá_bytosť', 'fyzická_entita', 'živá_vec']","Slovo ""poník""  sa má k slovu ""organizmus"" ako slovo ""šváb"" k slovu "
64,SK,kačka,vodné_vtáctvo,koza,"['tur', 'cicavec', 'stavovec', 'kopytník', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'chordát', 'vyšší_cicavec', 'živá_bytosť', 'placentálovec', 'párnokopytník', 'živá_vec']","Slovo ""kačka""  sa má k slovu ""vodné_vtáctvo"" ako slovo ""koza"" k slovu "
65,SK,šakal,domáce_zviera,byvol,"['tur', 'cicavec', 'bizón', 'krava', 'stavovec', 'tvor', 'kopytník', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'prežúvavec', 'chordát', 'vyšší_cicavec', 'živá_bytosť', 'placentálovec', 'fyzická_entita', 'párnokopytník', 'živá_vec']","Slovo ""šakal""  sa má k slovu ""domáce_zviera"" ako slovo ""byvol"" k slovu "
66,SK,mravec,hmyz,mravec,"['hmyz', 'bezstavovec', 'tvor', 'zviera', 'blanokrídlovec', 'bytosť', 'živočích', 'organizmus', 'fauna', 'článkonožec', 'blanokrídlový_hmyz', 'živá_bytosť', 'fyzická_entita', 'živá_vec']","Slovo ""mravec""  sa má k slovu ""hmyz"" ako slovo ""mravec"" k slovu "
67,SK,mačka,organizmus,veverička,"['hlodavec', 'stavovec', 'tvor', 'zviera', 'živočích', 'organizmus', 'fauna', 'placentovec', 'chordát', 'vyšší_cicavec', 'cicavec', 'živá_bytosť', 'živá_vec', 'placentálovec']","Slovo ""mačka""  sa má k slovu ""organizmus"" ako slovo ""veverička"" k slovu "
68,SK,šakal,fyzická_entita,orol,"['dravý_vták', 'vták', 'stavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'chordát', 'živá_bytosť']","Slovo ""šakal""  sa má k slovu ""fyzická_entita"" ako slovo ""orol"" k slovu "
69,SK,tiger,organizmus,kačka,"['vták', 'stavovec', 'hydina', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'chordát', 'domáca_hydina', 'vodné_vtáctvo', 'živá_bytosť', 'husotvarý', 'živá_vec']","Slovo ""tiger""  sa má k slovu ""organizmus"" ako slovo ""kačka"" k slovu "
70,SK,motýľ,organizmus,poník,"['bovid', 'cicavec', 'kôň', 'stavovec', 'tvor', 'zviera', 'živočích', 'organizmus', 'fauna', 'placentovec', 'vyšší_cicavec', 'živá_vec', 'nepárnokopytník', 'živá_bytosť', 'placentálovec', 'fyzická_entita', 'kôň_domáci']","Slovo ""motýľ""  sa má k slovu ""organizmus"" ako slovo ""poník"" k slovu "
71,SK,pes,placentovec,poník,"['bovid', 'cicavec', 'kôň', 'stavovec', 'tvor', 'zviera', 'živočích', 'organizmus', 'fauna', 'placentovec', 'vyšší_cicavec', 'živá_vec', 'nepárnokopytník', 'živá_bytosť', 'placentálovec', 'fyzická_entita', 'kôň_domáci']","Slovo ""pes""  sa má k slovu ""placentovec"" ako slovo ""poník"" k slovu "
72,SK,gorila,fauna,hus,"['vták', 'stavovec', 'hydina', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'chordát', 'domáca_hydina', 'vodné_vtáctvo', 'živá_bytosť', 'husotvarý', 'živá_vec']","Slovo ""gorila""  sa má k slovu ""fauna"" ako slovo ""hus"" k slovu "
73,SK,líška,mäsožravec,orangutan,"['primát', 'stavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'hominid', 'chordát', 'vyšší_cicavec', 'cicavec', 'opica', 'živá_bytosť', 'placentálovec', 'živá_vec']","Slovo ""líška""  sa má k slovu ""mäsožravec"" ako slovo ""orangutan"" k slovu "
74,SK,motýľ,tvor,jeleň,"['tur', 'cicavec', 'stavovec', 'tvor', 'kopytník', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'prežúvavec', 'chordát', 'vyšší_cicavec', 'živá_bytosť', 'placentálovec', 'fyzická_entita', 'párnokopytník', 'živá_vec']","Slovo ""motýľ""  sa má k slovu ""tvor"" ako slovo ""jeleň"" k slovu "
75,SK,tiger,fauna,kojot,"['psovitý', 'stavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'mäsožravec', 'chordát', 'vyšší_cicavec', 'cicavec', 'živá_bytosť', 'domáce_zviera', 'fyzická_entita', 'živá_vec']","Slovo ""tiger""  sa má k slovu ""fauna"" ako slovo ""kojot"" k slovu "
76,SK,gibon,placentovec,šakal,"['psovitý', 'stavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'mäsožravec', 'chordát', 'vyšší_cicavec', 'cicavec', 'živá_bytosť', 'placentálovec', 'domáce_zviera', 'fyzická_entita', 'živá_vec']","Slovo ""gibon""  sa má k slovu ""placentovec"" ako slovo ""šakal"" k slovu "
77,SK,vlk,fyzická_entita,kojot,"['psovitý', 'stavovec', 'tvor', 'zviera', 'bytosť', 'živočích', 'organizmus', 'fauna', 'placentovec', 'mäsožravec', 'chordát', 'vyšší_cicavec', 'cicavec', 'živá_bytosť', 'domáce_zviera', 'fyzická_entita', 'živá_vec']","Slovo ""vlk""  sa má k slovu ""fyzická_entita"" ako slovo ""kojot"" k slovu "
78,SK,sokol,fauna,včela,"['hmyz', 'bezstavovec', 'tvor', 'zviera', 'blanokrídlovec', 'bytosť', 'živočích', 'organizmus', 'fauna', 'článkonožec', 'blanokrídlový_hmyz', 'živá_bytosť', 'živá_vec']","Slovo ""sokol""  sa má k slovu ""fauna"" ako slovo ""včela"" k slovu "
