,Language,a,b,c,d,prompts
42,SL,zaposliti,prekiniti,spredaj,"['zadaj', 'zadek', 'po', 'vnaprej']","Beseda ""zaposliti"" je besedi ""prekiniti"" enako, kot je beseda ""spredaj"" besedi "
43,SL,smrten,nesmrten,potop,['dvig'],"Beseda ""smrten"" je besedi ""nesmrten"" enako, kot je beseda ""potop"" besedi "
44,SL,navkreber,navzdol,noter,"['ven', 'zunanjost', 'zunaj']","Beseda ""navkreber"" je besedi ""navzdol"" enako, kot je beseda ""noter"" besedi "
45,SL,prvi,zadnji,smrten,['nesmrten'],"Beseda ""prvi"" je besedi ""zadnji"" enako, kot je beseda ""smrten"" besedi "
46,SL,pozabiti,spomniti_se,dinamično,"['statično', 'mirno', 'nepremikajoče', 'nespremenljivo']","Beseda ""pozabiti"" je besedi ""spomniti_se"" enako, kot je beseda ""dinamično"" besedi "
47,SL,noter,ven,navkreber,"['navzdol', 'upad', 'padec', 'padajoče', 'nadnjeno_navzdol']","Beseda ""noter"" je besedi ""ven"" enako, kot je beseda ""navkreber"" besedi "
48,SL,potop,dvig,zaposliti,"['sprostiti', 'odpustiti', 'odvreči', 'premestiti', 'prekiniti']","Beseda ""potop"" je besedi ""dvig"" enako, kot je beseda ""zaposliti"" besedi "
49,SL,pozabiti,spomniti_se,spredaj,"['zadaj', 'zadek', 'po', 'vnaprej']","Beseda ""pozabiti"" je besedi ""spomniti_se"" enako, kot je beseda ""spredaj"" besedi "
50,SL,spredaj,zadek,po,"['prej', 'predtem', 'predhodno']","Beseda ""spredaj"" je besedi ""zadek"" enako, kot je beseda ""po"" besedi "
51,SL,dinamično,nespremenljivo,začetek,"['konec', 'končni', 'zadnji', 'finalni', 'cilj', 'finale', 'zaključek']","Beseda ""dinamično"" je besedi ""nespremenljivo"" enako, kot je beseda ""začetek"" besedi "
52,SL,gor,dol,PRAVILNO,"['NAPAČNO', 'nepravilno', 'narobe', 'zmotno']","Beseda ""gor"" je besedi ""dol"" enako, kot je beseda ""PRAVILNO"" besedi "
53,SL,prej,potem,spodaj,"['zgoraj', 'višje', 'gor']","Beseda ""prej"" je besedi ""potem"" enako, kot je beseda ""spodaj"" besedi "
54,SL,ispustit,pobrati,ispustit,"['dvig', 'pobrati']","Beseda ""ispustit"" je besedi ""pobrati"" enako, kot je beseda ""ispustit"" besedi "
55,SL,navkreber,navzdol,nadaljuj,"['umik', 'vrnitev']","Beseda ""navkreber"" je besedi ""navzdol"" enako, kot je beseda ""nadaljuj"" besedi "
56,SL,jugovzhod,severovzhod,jugovzhod,"['jugozahod', 'severovzhod']","Beseda ""jugovzhod"" je besedi ""severovzhod"" enako, kot je beseda ""jugovzhod"" besedi "
57,SL,PRAVILNO,NAPAČNO,spodaj,"['zgoraj', 'višje', 'gor']","Beseda ""PRAVILNO"" je besedi ""NAPAČNO"" enako, kot je beseda ""spodaj"" besedi "
58,SL,prvi,zadnji,noter,"['ven', 'zunanjost', 'zunaj']","Beseda ""prvi"" je besedi ""zadnji"" enako, kot je beseda ""noter"" besedi "
59,SL,PRAVILNO,NAPAČNO,zaposliti,"['sprostiti', 'odpustiti', 'odvreči', 'premestiti', 'prekiniti']","Beseda ""PRAVILNO"" je besedi ""NAPAČNO"" enako, kot je beseda ""zaposliti"" besedi "
60,SK,začiatočný,konečný,zabudnúť,"['pamätať', 'vyvolať_spomienku', 'rozpamätať_sa', 'pripomenúť_si', 'spomenúť_si']","Slovo ""začiatočný""  sa má k slovu ""konečný"" ako slovo ""zabudnúť"" k slovu "
61,SK,k,preč,interiér,"['exteriér', 'vonkajšok']","Slovo ""k""  sa má k slovu ""preč"" ako slovo ""interiér"" k slovu "
62,SK,hore_kopcom,dolu_kopcom,pod,"['nad', 'vyššie', 'hore']","Slovo ""hore_kopcom""  sa má k slovu ""dolu_kopcom"" ako slovo ""pod"" k slovu "
63,SK,smrteľný,nesmrteľný,hore_kopcom,"['dolu_kopcom', 'naklonený_dolu']","Slovo ""smrteľný""  sa má k slovu ""nesmrteľný"" ako slovo ""hore_kopcom"" k slovu "
64,SK,prvý,posledný,dopredu,"['dozadu', 'vzad']","Slovo ""prvý""  sa má k slovu ""posledný"" ako slovo ""dopredu"" k slovu "
65,SK,vnútrajšok,vonkajšok,vopred,"['oneskorene', 'zadný', 'po', 'na_chvoste', 'vopred']","Slovo ""vnútrajšok""  sa má k slovu ""vonkajšok"" ako slovo ""vopred"" k slovu "
66,SK,zabudnúť,pamätať,predtým,"['potom', 'následne', 'neskôr', 'vpredu']","Slovo ""zabudnúť""  sa má k slovu ""pamätať"" ako slovo ""predtým"" k slovu "
67,SK,zmestnať,prepustiť,pravdivý,"['nepravdivý', 'nesprávny', 'zlý', 'pomýlený']","Slovo ""zmestnať""  sa má k slovu ""prepustiť"" ako slovo ""pravdivý"" k slovu "
68,SK,pustiť,zodvihnúť,ponoriť,['vynoriť'],"Slovo ""pustiť""  sa má k slovu ""zodvihnúť"" ako slovo ""ponoriť"" k slovu "
69,SK,začiatočný,záver,zmestnať,"['prepustiť', 'vyhodiť', 'vyraziť', 'ukončiť_pracovný_pomer']","Slovo ""začiatočný""  sa má k slovu ""záver"" ako slovo ""zmestnať"" k slovu "
70,SK,pokračovať,vrátiť_sa,interiér,"['exteriér', 'vonkajšok']","Slovo ""pokračovať""  sa má k slovu ""vrátiť_sa"" ako slovo ""interiér"" k slovu "
71,SK,vypnutý,zapnutý,dynamický,"['statický', 'nehybný', 'nepohyblivý', 'nemenný']","Slovo ""vypnutý""  sa má k slovu ""zapnutý"" ako slovo ""dynamický"" k slovu "
72,SK,zmestnať,ukončiť_pracovný_pomer,vopred,"['oneskorene', 'zadný', 'po', 'na_chvoste', 'vopred']","Slovo ""zmestnať""  sa má k slovu ""ukončiť_pracovný_pomer"" ako slovo ""vopred"" k slovu "
73,SK,smrteľný,nesmrteľný,ponoriť,['vynoriť'],"Slovo ""smrteľný""  sa má k slovu ""nesmrteľný"" ako slovo ""ponoriť"" k slovu "
74,SK,hore_kopcom,dolu_kopcom,vnútrajšok,"['vonkajšok', 'exteriér']","Slovo ""hore_kopcom""  sa má k slovu ""dolu_kopcom"" ako slovo ""vnútrajšok"" k slovu "
75,SK,prvý,posledný,smrteľný,['nesmrteľný'],"Slovo ""prvý""  sa má k slovu ""posledný"" ako slovo ""smrteľný"" k slovu "
76,SK,zabudnúť,pamätať,dynamický,"['statický', 'nehybný', 'nepohyblivý', 'nemenný']","Slovo ""zabudnúť""  sa má k slovu ""pamätať"" ako slovo ""dynamický"" k slovu "
77,SK,vnútrajšok,vonkajšok,hore_kopcom,"['dolu_kopcom', 'naklonený_dolu']","Slovo ""vnútrajšok""  sa má k slovu ""vonkajšok"" ako slovo ""hore_kopcom"" k slovu "
78,SK,ponoriť,vynoriť,zmestnať,"['prepustiť', 'vyhodiť', 'vyraziť', 'ukončiť_pracovný_pomer']","Slovo ""ponoriť""  sa má k slovu ""vynoriť"" ako slovo ""zmestnať"" k slovu "
79,SK,zabudnúť,pamätať,vopred,"['oneskorene', 'zadný', 'po', 'na_chvoste', 'vopred']","Slovo ""zabudnúť""  sa má k slovu ""pamätať"" ako slovo ""vopred"" k slovu "
80,SK,vopred,zadný,po,"['pred', 'skôr', 'predtým']","Slovo ""vopred""  sa má k slovu ""zadný"" ako slovo ""po"" k slovu "
81,SK,dynamický,nemenný,začiatočný,"['konečný', 'koncový', 'končiaci', 'posledný', 'finálny', 'cieľový', 'finálný', 'záver']","Slovo ""dynamický""  sa má k slovu ""nemenný"" ako slovo ""začiatočný"" k slovu "
82,SK,hore,dolu,pravdivý,"['nepravdivý', 'nesprávny', 'zlý', 'pomýlený']","Slovo ""hore""  sa má k slovu ""dolu"" ako slovo ""pravdivý"" k slovu "
83,SK,predtým,potom,pod,"['nad', 'vyššie', 'hore']","Slovo ""predtým""  sa má k slovu ""potom"" ako slovo ""pod"" k slovu "
84,SK,pustiť,zodvihnúť,pustiť,"['zdvihnúť', 'zodvihnúť']","Slovo ""pustiť""  sa má k slovu ""zodvihnúť"" ako slovo ""pustiť"" k slovu "
85,SK,hore_kopcom,dolu_kopcom,pokračovať,"['ustúpiť', 'vrátiť_sa']","Slovo ""hore_kopcom""  sa má k slovu ""dolu_kopcom"" ako slovo ""pokračovať"" k slovu "
86,SK,juhovýchod,severovýchod,juhovýchod,"['juhozápad', 'severovýchod']","Slovo ""juhovýchod""  sa má k slovu ""severovýchod"" ako slovo ""juhovýchod"" k slovu "
87,SK,pravdivý,nepravdivý,pod,"['nad', 'vyššie', 'hore']","Slovo ""pravdivý""  sa má k slovu ""nepravdivý"" ako slovo ""pod"" k slovu "
88,SK,prvý,posledný,vnútrajšok,"['vonkajšok', 'exteriér']","Slovo ""prvý""  sa má k slovu ""posledný"" ako slovo ""vnútrajšok"" k slovu "
89,SK,pravdivý,nepravdivý,zmestnať,"['prepustiť', 'vyhodiť', 'vyraziť', 'ukončiť_pracovný_pomer']","Slovo ""pravdivý""  sa má k slovu ""nepravdivý"" ako slovo ""zmestnať"" k slovu "
90,HE,התחלה,סוֹף,לשכוח,"['לזכור', 'להחזיר', 'להיזכר', 'להזכיר']"," ל ""לשכוח"" כ ""סוֹף"" ל ""התחלה"""
91,HE,לקראת,רָחוֹק,פְּנִים,"['חִיצוֹנִי', 'מחוץ_לדלת', 'בחוץ']"," ל ""פְּנִים"" כ ""רָחוֹק"" ל ""לקראת"""
92,HE,במעלה_ההר,בְּמִדרוֹן,לְמַטה,"['מֵעַל', 'גבוה_יותר', 'לְמַעלָה']"," ל ""לְמַטה"" כ ""בְּמִדרוֹן"" ל ""במעלה_ההר"""
93,HE,בן_תמותה,בן_אלמוות,במעלה_ההר,"['בְּמִדרוֹן', 'יְרִידָה', 'נפילה', 'מדרוני', 'משופע_כלפי_מטה']"," ל ""במעלה_ההר"" כ ""בן_אלמוות"" ל ""בן_תמותה"""
94,HE,ראשון,אחרון,קָדִימָה,"['לְאָחוֹר', 'חזור', 'אֲחוֹרָה', 'אחורי']"," ל ""קָדִימָה"" כ ""אחרון"" ל ""ראשון"""
95,HE,בְּתוֹך,בחוץ,קָדִימָה,"['מֵאָחוֹר', 'חלק_אחורי', 'לאחר', 'זָנָב', 'מִרֹאשׁ']"," ל ""קָדִימָה"" כ ""בחוץ"" ל ""בְּתוֹך"""
96,HE,לשכוח,לזכור,לפני,"['לאחר', 'כתוצאה_מכך', 'מאוחר_יותר', 'לאחר_מכן', 'אחר_כך', 'קָדִימָה']"," ל ""לפני"" כ ""לזכור"" ל ""לשכוח"""
97,HE,לְהַעֲסִיק,לשחרר,נָכוֹן,"['שֶׁקֶר', 'לא_נכון', 'לא_בסדר', 'טוֹעֶה']"," ל ""נָכוֹן"" כ ""לשחרר"" ל ""לְהַעֲסִיק"""
98,HE,נפילה,לאסוף,לִצְלוֹל,['לָצֵאת']," ל ""לִצְלוֹל"" כ ""לאסוף"" ל ""נפילה"""
99,HE,התחלה,סיכום,לְהַעֲסִיק,"['לשחרר', 'לפטר', 'פיטורין', 'העביר_מתפקיד', 'לבטל']"," ל ""לְהַעֲסִיק"" כ ""סיכום"" ל ""התחלה"""
100,HE,להמשיך,לַחֲזוֹר,פְּנִים,"['חִיצוֹנִי', 'מחוץ_לדלת', 'בחוץ']"," ל ""פְּנִים"" כ ""לַחֲזוֹר"" ל ""להמשיך"""
101,HE,כבוי,דלוק,דִינָמִי,"['סטָטִי', 'בלי_נוע', 'חסר_תנועה', 'לא_משתנה']"," ל ""דִינָמִי"" כ ""דלוק"" ל ""כבוי"""
102,HE,לְהַעֲסִיק,לבטל,קָדִימָה,"['מֵאָחוֹר', 'חלק_אחורי', 'לאחר', 'זָנָב', 'מִרֹאשׁ']"," ל ""קָדִימָה"" כ ""לבטל"" ל ""לְהַעֲסִיק"""
103,HE,בן_תמותה,בן_אלמוות,לִצְלוֹל,['לָצֵאת']," ל ""לִצְלוֹל"" כ ""בן_אלמוות"" ל ""בן_תמותה"""
104,HE,במעלה_ההר,בְּמִדרוֹן,בְּתוֹך,"['בחוץ', 'חִיצוֹנִי', 'הַחוּצָה']"," ל ""בְּתוֹך"" כ ""בְּמִדרוֹן"" ל ""במעלה_ההר"""
105,HE,ראשון,אחרון,בן_תמותה,['בן_אלמוות']," ל ""בן_תמותה"" כ ""אחרון"" ל ""ראשון"""
106,HE,לשכוח,לזכור,דִינָמִי,"['סטָטִי', 'בלי_נוע', 'חסר_תנועה', 'לא_משתנה']"," ל ""דִינָמִי"" כ ""לזכור"" ל ""לשכוח"""
107,HE,בְּתוֹך,בחוץ,במעלה_ההר,"['בְּמִדרוֹן', 'יְרִידָה', 'נפילה', 'מדרוני', 'משופע_כלפי_מטה']"," ל ""במעלה_ההר"" כ ""בחוץ"" ל ""בְּתוֹך"""
108,HE,לִצְלוֹל,לָצֵאת,לְהַעֲסִיק,"['לשחרר', 'לפטר', 'פיטורין', 'העביר_מתפקיד', 'לבטל']"," ל ""לְהַעֲסִיק"" כ ""לָצֵאת"" ל ""לִצְלוֹל"""
109,HE,לשכוח,לזכור,קָדִימָה,"['מֵאָחוֹר', 'חלק_אחורי', 'לאחר', 'זָנָב', 'מִרֹאשׁ']"," ל ""קָדִימָה"" כ ""לזכור"" ל ""לשכוח"""
110,HE,קָדִימָה,חלק_אחורי,לאחר,"['לפני', 'מוקדם_יותר', 'קוֹדֶם']"," ל ""לאחר"" כ ""חלק_אחורי"" ל ""קָדִימָה"""
111,HE,דִינָמִי,לא_משתנה,התחלה,"['סוֹף', 'מָסוֹף', 'סִיוּם', 'אחרון', 'סופי', 'סיים', 'סיכום']"," ל ""התחלה"" כ ""לא_משתנה"" ל ""דִינָמִי"""
112,HE,לְמַעלָה,מטה,נָכוֹן,"['שֶׁקֶר', 'לא_נכון', 'לא_בסדר', 'טוֹעֶה']"," ל ""נָכוֹן"" כ ""מטה"" ל ""לְמַעלָה"""
113,HE,לפני,לאחר,לְמַטה,"['מֵעַל', 'גבוה_יותר', 'לְמַעלָה']"," ל ""לְמַטה"" כ ""לאחר"" ל ""לפני"""
114,HE,נפילה,לאסוף,נפילה,"['להרים', 'לאסוף']"," ל ""נפילה"" כ ""לאסוף"" ל ""נפילה"""
115,HE,במעלה_ההר,בְּמִדרוֹן,להמשיך,"['לָסֶגֶת', 'לַחֲזוֹר']"," ל ""להמשיך"" כ ""בְּמִדרוֹן"" ל ""במעלה_ההר"""
116,HE,דְרום_מזרח,צפון_מזרח,דְרום_מזרח,"['דְרום_מערב', 'צפון_מזרח']"," ל ""דְרום_מזרח"" כ ""צפון_מזרח"" ל ""דְרום_מזרח"""
117,HE,נָכוֹן,שֶׁקֶר,לְמַטה,"['מֵעַל', 'גבוה_יותר', 'לְמַעלָה']"," ל ""לְמַטה"" כ ""שֶׁקֶר"" ל ""נָכוֹן"""
118,HE,ראשון,אחרון,בְּתוֹך,"['בחוץ', 'חִיצוֹנִי', 'הַחוּצָה']"," ל ""בְּתוֹך"" כ ""אחרון"" ל ""ראשון"""
119,HE,נָכוֹן,שֶׁקֶר,לְהַעֲסִיק,"['לשחרר', 'לפטר', 'פיטורין', 'העביר_מתפקיד', 'לבטל']"," ל ""לְהַעֲסִיק"" כ ""שֶׁקֶר"" ל ""נָכוֹן"""
120,AL,fillim,mbarim,harro,"['kujto', 'kthe', 'rikujto', 'thirrje_mbrapa', 'thërras']","""fillim"" është për ""mbarim"" ashtu si ""harro"" për "
121,AL,drejt,larg,e_brendshme,"['e_jashtme', 'jashtë']","""drejt"" është për ""larg"" ashtu si ""e_brendshme"" për "
122,AL,përpjetë,tatëpjetë,poshtë,"['sipër', 'më_lart', 'lart']","""përpjetë"" është për ""tatëpjetë"" ashtu si ""poshtë"" për "
123,AL,i_vdekshëm,i_pavdekshëm,përpjetë,"['tatëpjetë', 'rënie', 'bien', 'i_pjerrët', 'me_pjerrësi_poshtë']","""i_vdekshëm"" është për ""i_pavdekshëm"" ashtu si ""përpjetë"" për "
124,AL,"e_para,_i_pari","e_fundit,_i_fundit",përpara,"['mbrapa', 'mbrapsht', 'praparojë,_prapavijë']","""e_para,_i_pari"" është për ""e_fundit,_i_fundit"" ashtu si ""përpara"" për "
125,AL,brenda,jashtë,para,"['prapa', 'i_pasëm', 'pas', 'pjesë_e_pasme', 'paraprakisht']","""brenda"" është për ""jashtë"" ashtu si ""para"" për "
126,AL,harro,kujto,para,"['pas', 'më_pas', 'vonë', 'më_vonë', 'pastaj']","""harro"" është për ""kujto"" ashtu si ""para"" për "
127,AL,përdor,përjashtoj,saktë,"['pasaktë', 'jo_e_saktë', 'gabim']","""përdor"" është për ""përjashtoj"" ashtu si ""saktë"" për "
128,AL,rënie,me_e_ngrit,zhyt,['dal'],"""rënie"" është për ""me_e_ngrit"" ashtu si ""zhyt"" për "
129,AL,fillim,përmbyllje,përdor,"['përjashtoj', 'largoj', 'zhvendos', 'ndërprej']","""fillim"" është për ""përmbyllje"" ashtu si ""përdor"" për "
130,AL,vazhdo,kthim,e_brendshme,"['e_jashtme', 'jashtë']","""vazhdo"" është për ""kthim"" ashtu si ""e_brendshme"" për "
131,AL,ndalur,ndezur,dinamike,"['statike', 'e_pa_lëvizshme', 'e_pa_ndryshueshme']","""ndalur"" është për ""ndezur"" ashtu si ""dinamike"" për "
132,AL,përdor,ndërprej,para,"['prapa', 'i_pasëm', 'pas', 'pjesë_e_pasme', 'paraprakisht']","""përdor"" është për ""ndërprej"" ashtu si ""para"" për "
133,AL,i_vdekshëm,i_pavdekshëm,zhyt,['dal'],"""i_vdekshëm"" është për ""i_pavdekshëm"" ashtu si ""zhyt"" për "
134,AL,përpjetë,tatëpjetë,brenda,"['jashtë', 'i_jashtëm']","""përpjetë"" është për ""tatëpjetë"" ashtu si ""brenda"" për "
135,AL,"e_para,_i_pari","e_fundit,_i_fundit",i_vdekshëm,['i_pavdekshëm'],"""e_para,_i_pari"" është për ""e_fundit,_i_fundit"" ashtu si ""i_vdekshëm"" për "
136,AL,harro,kujto,dinamike,"['statike', 'e_pa_lëvizshme', 'e_pa_ndryshueshme']","""harro"" është për ""kujto"" ashtu si ""dinamike"" për "
137,AL,brenda,jashtë,përpjetë,"['tatëpjetë', 'rënie', 'bien', 'i_pjerrët', 'me_pjerrësi_poshtë']","""brenda"" është për ""jashtë"" ashtu si ""përpjetë"" për "
138,AL,zhyt,dal,përdor,"['përjashtoj', 'largoj', 'zhvendos', 'ndërprej']","""zhyt"" është për ""dal"" ashtu si ""përdor"" për "
139,AL,harro,kujto,para,"['prapa', 'i_pasëm', 'pas', 'pjesë_e_pasme', 'paraprakisht']","""harro"" është për ""kujto"" ashtu si ""para"" për "
140,AL,para,i_pasëm,pas,"['para', 'herët']","""para"" është për ""i_pasëm"" ashtu si ""pas"" për "
141,AL,dinamike,e_pa_ndryshueshme,fillim,"['mbarim', 'fundor', 'fundi', 'i_fundit', 'final', 'mbaron', 'finale', 'përmbyllje']","""dinamike"" është për ""e_pa_ndryshueshme"" ashtu si ""fillim"" për "
142,AL,lart,poshtë,saktë,"['pasaktë', 'jo_e_saktë', 'gabim']","""lart"" është për ""poshtë"" ashtu si ""saktë"" për "
143,AL,para,pas,poshtë,"['sipër', 'më_lart', 'lart']","""para"" është për ""pas"" ashtu si ""poshtë"" për "
144,AL,rënie,me_e_ngrit,rënie,"['ngritje', 'me_e_ngrit']","""rënie"" është për ""me_e_ngrit"" ashtu si ""rënie"" për "
145,AL,përpjetë,tatëpjetë,vazhdo,"['kthehu_mbrapa', 'kthim']","""përpjetë"" është për ""tatëpjetë"" ashtu si ""vazhdo"" për "
146,AL,juglindje,verilindje,juglindje,"['jupërendim', 'verilindje']","""juglindje"" është për ""verilindje"" ashtu si ""juglindje"" për "
147,AL,saktë,pasaktë,poshtë,"['sipër', 'më_lart', 'lart']","""saktë"" është për ""pasaktë"" ashtu si ""poshtë"" për "
148,AL,"e_para,_i_pari","e_fundit,_i_fundit",brenda,"['jashtë', 'i_jashtëm']","""e_para,_i_pari"" është për ""e_fundit,_i_fundit"" ashtu si ""brenda"" për "
149,AL,saktë,pasaktë,përdor,"['përjashtoj', 'largoj', 'zhvendos', 'ndërprej']","""saktë"" është për ""pasaktë"" ashtu si ""përdor"" për "
150,BM,daminɛ,laban,ka_ɲina,"['ka_hakilina_jigi', 'Sigikamine', 'ka_segin_ka_wele', 'weleli_kɛ_ka_segin', 'weleli_kɛ', 'hakili_jigin']","""daminɛ"" is to ""laban"" as ""ka_ɲina"" is to "
151,BM,toward,jàn,kɔnɔna_na,['kɛnɛma'],"""toward"" is to ""jàn"" as ""kɔnɔna_na"" is to "
152,BM,sanfɛ_kuluw_kan,jiginɛ,jukɔrɔ,['sanfɛ'],"""sanfɛ_kuluw_kan"" is to ""jiginɛ"" as ""jukɔrɔ"" is to "
153,BM,mɔgɔ_satalen,min_tɛ_sa,sanfɛ_kuluw_kan,"['jiginɛ', 'ka_ban', 'ka_bi', 'dɔgɔyalen', 'duguma-sɔgɔli']","""mɔgɔ_satalen"" is to ""min_tɛ_sa"" as ""sanfɛ_kuluw_kan"" is to "
154,BM,fɔlɔ,laban,ɲɛ,"['kɔfɛ', 'kɔ', 'kɔ_fɛ', 'kɔfɛla_la']","""fɔlɔ"" is to ""laban"" as ""ɲɛ"" is to "
155,BM,kɔnɔ,kɛnɛma,ɲɛ_fɛ,"['kɔfɛ', 'kɔfɛla', 'kukala', 'ka_kɔn_o_ɲɛ']","""kɔnɔ"" is to ""kɛnɛma"" as ""ɲɛ_fɛ"" is to "
156,BM,ka_ɲina,ka_hakilina_jigi,fɔlɔ,"['kɔfɛ', 'o_kɔfɛ', 'tɛmɛnen_kɔ', 'ɲɛ_fɛ']","""ka_ɲina"" is to ""ka_hakilina_jigi"" as ""fɔlɔ"" is to "
