,ID,Relation,Source,Target,LT
157,,,,repair,suremontuota_vieta
158,,,,fix,sutaisymas
159,,,,fixing,DUPLICATE_sutaisymas
160,,,,fixture,įmontuota_įranga
161,,,,mending,taisymas
162,,,,reparation,remontavimas
163,,,,patch,lopas
164,,,,darn,adinys
165,,,,darning,adymas
166,,,,,"lopinys,lopymas,suadyta_vieta,remontas"
167,L08_29,synonyms - exact,mesh,,tinklas
168,,,,gauze,gazas
169,,,,netting,DUPLICATE_tinklas
170,,,,veiling,šydas
171,,,,hairnet,plaukų_tinklelis
172,,,,reseau,DUPLICATE_tinklas
173,,,,net,DUPLICATE_tinklas
174,,,,save-all,gaudyklė
175,,,,snood,tinklelis_plaukams
176,,,,sparker,kibirkščių_gaudyklė
177,,,,tulle,tiulis
178,,,,wirework,dirbinys_iš_vielos
179,,,,grillwork,grotelės
180,,,,,"tinklelis,tinkliukas,gaudiklis"
181,L08_30,synonyms - exact,monument,,paminklas
182,,,,memorial,memorialas
183,,,,,monumentas
184,L08_31,synonyms - exact,mother,,motina
185,,,,mom,mama
186,,,,mommy,mamytė
187,,,,mum,DUPLICATE_mama
188,,,,,"motulė,motinėlė,motušė,mamelė,mamutė,mamužė"
189,L08_32,synonyms - exact,murder,,žmogžudystė
190,,,,slaying,nužudymas
191,,,,slay,užmušimas
192,,,,execution,egzekucija
194,L08_33,synonyms - exact,new,,naujas
195,,,,modern,modernus
196,,,,recent,pastarojo_meto
198,L08_34,synonyms - exact,obsolete,,pasenęs
199,,,,outdated,atgyvenęs
200,,,,out-of-date,senamadiškas
201,,,,superannuated,DUPLICATE_pasenęs
202,,,,,senamadis
203,L08_35,synonyms - exact,organized,,sistemiškai_sukomponuotas
204,,,,arranged,sutvarkytas
205,,,,configured,sukonfigūruotas
206,,,,corporate,korporacinis
207,,,,incorporated,įregistruotas_kaip_juridinis_asmuo
208,,,,re-formed,pertvarkytas
209,,,,reorganized,reorganizuotas
210,,,,reorganised,DUPLICATE_reorganizuotas
212,L08_36,synonyms - exact,package,,paketas
213,,,,parcel,siuntinys
214,,,,pack,pakas
215,,,,packet,DUPLICATE_paketas
216,,,,bundle,ryšulys
217,,,,,"ryšuliukas,pakelis"
218,L08_37,synonyms - exact,phone,,telefonas
219,,,,telephone,DUPLICATE_telefonas
220,,,,cell,mobilusis_telefonas
221,,,,cellphone,DUPLICATE_mobilusis_telefonas
222,,,,smartphone,išmanusis_telefonas
223,,,,,"mobiliojo_ryšio_telefonas,judriojo_ryšio_telefonas"
224,L08_38,synonyms - exact,portion,,dalis
225,,,,part,DUPLICATE_dalis
226,,,,component_part,komponentas
227,,,,component,DUPLICATE_komponentas
228,,,,constituent,sudedamoji_dalis
229,,,,,"dėmuo,dedamoji"
230,L08_39,synonyms - exact,railway,,geležinkelis
231,,,,railroad,DUPLICATE_geležinkelis
232,,,,,geležinkelio_linija
233,L08_40,synonyms - exact,rational,,racionalus
234,,,,logical,logiškas
235,,,,coherent,nuoseklus
236,,,,reasonable,protingas
237,,,,sane,blaiviai_galvojantis
239,L08_41,synonyms - exact,reasonable,,protingas
240,,,,sensible,nuovokus
241,,,,,supratingas
242,L08_42,synonyms - exact,rock,,uola
243,,,,stone,akmuo
245,L08_43,synonyms - exact,shore,,krantas
246,,,,coast,pajūris
247,,,,strand,pakrantė
248,,,,bank,paupys
249,,,,beach,paplūdimys
250,,,,,"paežerė,jūros_pakraštys"
251,L08_44,synonyms - exact,snake,,gyvatė
252,,,,serpent,DUPLICATE_gyvatė
253,,,,ophidian,DUPLICATE_gyvatė
254,,,,,"šnypštėlė,piktoji,ilgoji,dryžoji"
255,L08_45,synonyms - exact,sofa,,sofa
256,,,,couch,DUPLICATE_sofa
257,,,,lounge,kušetė
258,,,,,minkštasuolis
259,L08_46,synonyms - exact,spouse,,sutuoktinis
260,,,,partner,partneris
261,,,,mate,mylimasis
262,,,,better_half,antroji_pusė
264,L08_47,synonyms - exact,style,,stilius
265,,,,manner,maniera
266,,,,mode,būdas
267,,,,fashion,mada
268,,,,way,įprotis
270,L08_48,synonyms - exact,sweets,,saldainiai
271,,,,confectionery,kondiferijos_gaminiai
272,,,,dessert,desertas
273,,,,confection,saldumynas
275,L08_49,synonyms - exact,villain,,piktadarys
276,,,,scoundrel,niekšas
277,,,,rascal,nenaudėlis
279,L08_50,synonyms - exact,vocabulary,,žodynas
280,,,,lexicon,leksikonas
281,,,,wordbook,DUPLICATE_žodynas
282,,,,dictionary,DUPLICATE_žodynas
283,,,,glossary,glosarijus
284,,,,,žodynėlis
