,ID,Relation,Source,Target,LT
215,,,,adore,garbinti
216,,,,fetishize,fetišizuoti
217,,,,idolize,dievinti
218,,,,idolise,DUPLICATE_dievinti
219,,,,worship,melstis
220,,,,hero-worship,didvyrio_garbinimas
221,,,,revere,gerbti
222,,,,,garbstyti
223,L07_30,synonyms - intensity,monkey,,beždžionė
224,,,,gorilla,gorila
226,L07_31,synonyms - intensity,nap,,pogulis
227,,,,sleep,miegas
228,,,,slumber,snaudulys
230,L07_32,synonyms - intensity,necessary,,reikalingas
231,,,,essential,esminis
232,,,,indispensable,nepakeičiamas
233,,,,vital,svarbus
234,,,,required,privalomas
236,L07_33,synonyms - intensity,opposed,,prieštaraujantis
237,,,,averse,nelinkęs
238,,,,antipathetic,antipatinis
239,,,,antipathetical,DUPLICATE_antipatinis
240,,,,indisposed,neapsikentęs
241,,,,loath,bjaurumas
242,,,,loth,lotas
244,L07_34,synonyms - intensity,pain,,skausmas
245,,,,torment,kankynė
246,,,,torture,kankinimas
247,,,,agony,agonija
249,L07_35,synonyms - intensity,pony,,ponis
250,,,,horse,arklys
252,L07_36,synonyms - intensity,poorly,,prastai
253,,,,afflicted,kamuojamas
254,,,,sick,sergantis
255,,,,ill,ligotas
256,,,,stricken,sužeistas
258,L07_37,synonyms - intensity,rain,,lietus
259,,,,deluge,tvanas
260,,,,shower,stiprus_lietus
262,L07_38,synonyms - intensity,sad,,liūdnas
263,,,,desparate,žūtbūtinis
264,,,,despondent,nusiminęs
265,,,,despairing,netekęs_vilties
266,,,,desponding,nuliūdęs
267,,,,forlorn,apleistas
268,,,,hopeless,beviltiškas
269,,,,melancholy,melancholija
272,L07_39,synonyms - intensity,sea,,jūra
273,,,,ocean,vandenynas
275,L07_40,synonyms - intensity,snack,,užkandis
276,,,,meal,patiekalas
277,,,,eat,valgyti
279,L07_41,synonyms - intensity,sniffles,,šnarpštimas
280,,,,pneumonia,plaučių_uždegimas
282,L07_42,synonyms - intensity,soon,,greitai
283,,,,immediately,nedelsiant
284,,,,promptly,operatyviai
285,,,,straightaway,iškart
287,L07_43,synonyms - intensity,strong,,stiprus
288,,,,powerful,galingas
289,,,,forceful,valingas
290,,,,super,puikus
291,,,,potent,veiksmingas
293,L07_44,synonyms - intensity,tasty,,skanus
294,,,,delicious,labai_skanus
295,,,,delectable,žavingas
296,,,,luscious,švytintis
297,,,,pleasant-tasting,malonaus_skonio
298,,,,scrumptious,nuostabus
299,,,,toothsome,dantytas
300,,,,yummy,niam
301,,,,mouth-watering,tirpstantis_burnoje
302,,,,ambrosial,ambrozija
303,,,,heavenly,dangiškasis
305,L07_45,synonyms - intensity,tired,,pavargęs
306,,,,exhausted,išsekęs
307,,,,drained,nusausintas
309,L07_46,synonyms - intensity,unfortunate,,nesėkmingas
310,,,,tragic,tragiškas
311,,,,woeful,apgailėtinas
312,,,,grievous,sielvartingas
313,,,,wretched,varganas
314,,,,miserable,vargšas
315,,,,awful,siaubingas
316,,,,lamentable,liūdnas
317,,,,regrettable,DUPLICATE_apgailėtinas
318,,,,desperate,žūtbūtinis
319,,,,hopeless,beviltiškas
320,,,,disastrous,pražūtingas
322,L07_47,synonyms - intensity,unhappy,,nelaiminags
323,,,,miserable,vargšas
324,,,,suffering,kenčiantis
325,,,,wretched,varganas
327,L07_48,synonyms - intensity,want,,norėti
328,,,,crave,trokšti
329,,,,hunger,alkis
330,,,,thirst,troškulys
331,,,,starve,badauti
332,,,,lust,geismas
334,L07_49,synonyms - intensity,warm,,šiltas
335,,,,hot,karštas
336,,,,fiery,ugningas
337,,,,flaming,liepsnojantis
338,,,,heated,šildomas
339,,,,red-hot,įkaitęs_iki_raudonumo
340,,,,sizzling,šnypščiantis
341,,,,sensual,jausmingas
342,,,,sultry,temperamentingas
343,,,,torrid,aistringas
344,,,,white-hot,įkaitintas_iki_baltumo
346,L07_50,synonyms - intensity,well,,gerai
347,,,,flourishing,žydintis
348,,,,robust,tvirtas
349,,,,booming,klestėjimas
350,,,,prospering,klestintis
351,,,,prosperous,pasiturintis
352,,,,thriving,sėkmingas
