,ID,Relation,Source,Target,BM
119,L05_30,meronyms - member,nomad,,NO_TRANSLATION
120,,,,horde,jamakuluba
122,L05_31,meronyms - member,page,,ɲɛ
123,,,,book,gafe
124,,,,notebook,kaye_sɛbɛn
125,,,,website,siti_in_kan
126,,,,web-site,DUPLICATE_website
128,L05_32,meronyms - member,parishioner,,pariti_mɔgɔ_dɔ
129,,,,parish,parɔsi
130,,,,church,egilisi
132,L05_33,meronyms - member,person,,mɔgɔ
133,,,,society,sosiyete
134,,,,company,cakɛda
135,,,,party,ɲɛnajɛ
136,,,,world,duniya
138,L05_34,meronyms - member,photo,,"ja,_foto"
139,,,,album,albamu
140,,,,collection,farankan
141,,,,library,gafekalanyɔrɔ
143,L05_35,meronyms - member,player,,ntolatanna
144,,,,team,ekipu
145,,,,group,jɛkulu
146,,,,orchestra,fɔlikɛkulu
148,L05_36,meronyms - member,policeman,,polisikɛla
149,,,,police,polisi
151,L05_37,meronyms - member,secretary,,sekeretɛri
152,,,,staff,baarakɛlaw
154,L05_38,meronyms - member,senator,,NO_TRANSLATION
155,,,,senate,NO_TRANSLATION
156,,,,house,so
158,L05_39,meronyms - member,sheep,,saga
159,,,,flock,sagakulu
161,L05_40,meronyms - member,shrub,,jirisunba
162,,,,shrubbery,jirisunw
164,L05_41,meronyms - member,singer,,dɔnkilidala
165,,,,choir,dɔnkilidalakulu
166,,,,band,bandi
167,,,,duo,fila
168,,,,trio,saba
169,,,,quartet,naani
171,L05_42,meronyms - member,soldier,,sɔrɔdasi
172,,,,army,kɛlɛbolo
173,,,,unit,inite
174,,,,division,tilayɔrɔba
175,,,,troop,sɔrɔdasikulu
177,L05_43,meronyms - member,song,,dɔnkili
178,,,,album,albamu
179,,,,collection,farankan
180,,,,antology,antolozi
181,,,,library,gafekalanyɔrɔ
183,L05_44,meronyms - member,spouse,,furumuso
184,,,,couple,cɛ_ni_muso
185,,,,relationship,jɛɲɔgɔnya
186,,,,family,denbaya
188,L05_45,meronyms - member,star,,dolo
189,,,,constellation,dolow_kuluba
190,,,,galaxy,NO_TRANSLATION
192,L05_46,meronyms - member,state,,faso
193,,,,country,jamana
194,,,,province,marali
196,L05_47,meronyms - member,student,,kalanden
197,,,,class,kilasi
198,,,,school,kalanso
200,L05_48,meronyms - member,tree,,yiri
201,,,,forest,kunko
202,,,,wood,yiriw
203,,,,grove,foro_kɔnɔ
204,,,,,"tu,dɔgɔ"
205,L05_49,meronyms - member,wolf,,lugaru
206,,,,pack,wulukuluw
208,L05_50,meronyms - member,word,,daɲɛ
209,,,,paragraph,dakun
210,,,,sentence,kumasen
211,,,,text,masalabolo
