,ID,Relation,Source,Target,ES
208,,,,unit,unidad
209,,,,object,objeto
210,,,,physical_object,objeto_físico
211,,,,physical_entity,entidad_física
212,,,,,chechere
213,L02_13,hypernyms - misc,dishwasher,,lavavajillas
214,,,,appliance,electrodoméstico
215,,,,machine,máquina
216,,,,entity,entidad
217,,,,unit,unidad
218,,,,object,objeto
219,,,,physical_object,objeto_físico
220,,,,white_goods,aparatos_domésticos
221,,,,home_appliance,electrodoméstico_casero
222,,,,household_appliance,artículo_del_hogar
223,,,,durables,durables
224,,,,durable_goods,bien_duradero
225,,,,consumer_durables,bienes_de_consumo_duraderos
226,,,,consumer_goods,bienes_de_consumo
227,,,,commodity,producto
228,,,,trade_good,bien_de_comercio
229,,,,good,bien
230,,,,artifact,artefacto
231,,,,artefact,DUPLICATE_artefacto
232,,,,physical_entity,entidad_física
234,,,,,"mercancía,bien_durable,bienes_durables,bienes_de_consumo_durables"
235,L02_14,hypernyms - misc,dress,,vestido
236,,,,clothes,ropa
237,,,,garment,prenda
238,,,,clothing,DUPLICATE_ropa
239,,,,article_of_clothing,artículo_de_vestimenta
240,,,,vesture,vestimenta
241,,,,wear,llevar
242,,,,wearable,llevable
243,,,,habiliment,traje
244,,,,consumer_goods,bienes_de_consumo
245,,,,covering,cubierta
246,,,,commodity,producto
247,,,,trade_good,bien_de_comercio
248,,,,good,bien
249,,,,artifact,artefacto
250,,,,artefact,DUPLICATE_artefacto
251,,,,unit,unidad
252,,,,object,objeto
253,,,,physical_object,objeto_físico
254,,,,physical_entity,entidad_física
255,,,,entity,entidad
264,,,,,chechere
265,L02_15,hypernyms - misc,fridge,,nevera
266,,,,appliance,electrodoméstico
267,,,,icebox,heladera
268,,,,white_goods,aparatos_domésticos
269,,,,home_appliance,electrodoméstico_casero
270,,,,household_appliance,artículo_del_hogar
271,,,,durables,durable
272,,,,durable_goods,bien_duradero
273,,,,consumer_durables,bienes_de_consumo_duraderos
274,,,,consumer_goods,bienes_de_consumo
275,,,,commodity,producto
276,,,,trade_good,bien_de_comercio
277,,,,good,bien
278,,,,artifact,artefacto
279,,,,artefact,DUPLICATE_artefacto
280,,,,unit,unidad
281,,,,object,objeto
282,,,,physical_object,objeto_físico
283,,,,physical_entity,entidad_física
284,,,,entity,entidad
285,,,,,"mercancía,chechere"
286,L02_16,hypernyms - misc,gasoline,,gasolina
287,,,,fuel,fuel
288,,,,hydrocarbon,hidrocarburo
289,,,,substance,sustancia
290,,,,organic_compound,compuesto_orgánico
291,,,,matter,materia
292,,,,compound,compuesto
293,,,,chemical_compound,compuesto_químico
294,,,,physical_entity,entidad_física
295,,,,chemical,químico
296,,,,chemical_substance,sustancia_química
297,,,,entity,entidad
298,,,,material,material
299,,,,stuff,cosa
300,,,,part,parte
301,,,,portion,porción
302,,,,component_part,parte_componente
303,,,,component,componente
304,,,,constituent,constituyente
305,,,,relation,relación
306,,,,abstraction,abstracción
307,,,,abstract_entity,entidad_abstracta
309,,,,,substancia
310,L02_17,hypernyms - misc,grapefruit,,pomelo
311,,,,citrus,cítrico
312,,,,citrus_fruit,DUPLICATE_fruta_cítrica
313,,,,citrous_fruit,fruta_cítrica
314,,,,fruit,fruta
315,,,,edible_fruit,fruta_comestible
316,,,,produce,producto
317,,,,green_goods,alimentos_verdes
318,,,,green_groceries,verduras
319,,,,garden_truck,camión_de_la_verdura
320,,,,food,comida
321,,,,matter,materia
322,,,,natural_object,natural_objeto
323,,,,physical_entity,entidad_física
324,,,,unit,unidad
325,,,,entity,entidad
326,,,,object,objeto
327,,,,physical_object,objeto_físico
328,,,,,vegetal
329,L02_18,hypernyms - misc,hairnet,,redecilla
330,,,,net,red
331,,,,network,entramado
332,,,,mesh,mezclilla
333,,,,meshing,mezcla
334,,,,meshwork,malla
335,,,,fabric,tela
336,,,,cloth,tejido
337,,,,material,material
338,,,,textile,textil
339,,,,artifact,artefacto
340,,,,artefact,DUPLICATE_artefacto
341,,,,unit,unidad
342,,,,object,objeto
343,,,,physical_object,objeto_físico
344,,,,physical_entity,entidad_física
345,,,,entity,entidad
346,,,,,"complemento,tocado,adorno_de_pelo,chechere"
347,L02_19,hypernyms - misc,hairpin,,horquilla
348,,,,pin,pin
349,,,,fastener,sujetador
350,,,,fastening,sujetar
351,,,,holdfast,de_sujección
352,,,,fixing,arreglar
353,,,,restraint,restricción
354,,,,constraint,contención
355,,,,device,dispositivo
356,,,,artifact,artefacto
357,,,,artefact,DUPLICATE_artefacto
358,,,,unit,unidad
359,,,,object,objeto
360,,,,physical_object,objeto_físico
361,,,,physical_entity,entidad_física
362,,,,entity,entidad
363,,,,,"horquilla_de_pelo,chechere"
364,L02_20,hypernyms - misc,hamburger,,hamburguesa
365,,,,sandwich,sandwich
366,,,,snack_food,aperitivo
367,,,,dish,plato
368,,,,nutriment,nutriente
369,,,,nourishment,alimentación
370,,,,nutrition,nutrición
371,,,,sustenance,sustento
372,,,,aliment,alimento
373,,,,alimentation,DUPLICATE_alimentación
374,,,,victuals,víveres
375,,,,food,comida
376,,,,nutrient,DUPLICATE_nutriente
377,,,,substance,sustancia
378,,,,matter,materia
379,,,,physical_entity,entidad_física
380,,,,entity,entidad
381,,,,beef,ternera
382,,,,boeuf,DUPLICATE_ternera
383,,,,meat,carne
384,,,,solid_food,comida_sólida
385,,,,solid,sólido
386,,,,,bocadillo
387,L02_21,hypernyms - misc,jacket,,chaqueta
388,,,,clothes,ropa
389,,,,coat,abrigo
390,,,,overgarment,prenda_de_abrigo
391,,,,outer_garment,prenda_exterior
392,,,,garment,prenda
393,,,,clothing,DUPLICATE_ropa
394,,,,article_of_clothing,artículo_de_vestimenta
395,,,,vesture,vestimenta
396,,,,wear,llevar
397,,,,wearable,llevable
398,,,,habiliment,habilitado
399,,,,consumer_goods,bienes_de_consumo
400,,,,covering,cubierta
401,,,,commodity,producto
402,,,,trade_good,bien_de_comercio
403,,,,good,bien
404,,,,artifact,artefacto
405,,,,artefact,DUPLICATE_artefacto
406,,,,unit,unidad
407,,,,object,objeto
408,,,,physical_object,objeto_físico
409,,,,physical_entity,entidad_física
410,,,,entity,entidad
411,,,,,chechere
412,L02_22,hypernyms - misc,jeans,,vaquero
413,,,,trousers,pantalones
414,,,,pants,DUPLICATE_pantalones
415,,,,workwear,ropa_de_trabajo
416,,,,garment,prenda
417,,,,clothing,DUPLICATE_ropa
418,,,,clothes,ropa
419,,,,article_of_clothing,artículo_de_vestimenta
420,,,,vesture,vestimenta
421,,,,wear,llevar
422,,,,wearable,llevable
423,,,,habiliment,traje
424,,,,consumer_goods,bienes_de_consumo
425,,,,covering,cubierta
426,,,,commodity,producto
427,,,,trade_good,bien_de_comercio
428,,,,good,bien
429,,,,artifact,artefacto
430,,,,artefact,DUPLICATE_artefacto
431,,,,unit,unidad
432,,,,object,objeto
433,,,,physical_object,objeto_físico
434,,,,physical_entity,entidad_física
435,,,,entity,entidad
436,,,,,prenda_de_vestir
437,L02_23,hypernyms - misc,juicer,,licuadora
438,,,,utensil,utensilio
439,,,,physical_entity,entidad_física
440,,,,entity,entidad
441,,,,unit,unidad
442,,,,object,objeto
443,,,,physical_object,objeto_físico
444,,,,squeezer,exprimidor
445,,,,kitchen_utensil,utensilio_de_cocina
446,,,,implement,accesorio
447,,,,artifact,artefacto
448,,,,artefact,DUPLICATE_artefacto
449,,,,,"instrumento,chechere"
450,L02_24,hypernyms - misc,lemon,,limón
451,,,,citrus,cítrico
452,,,,citrus_fruit,fruta_cítrica
453,,,,citrous_fruit,DUPLICATE_fruta_cítrica
454,,,,fruit,fruta
455,,,,edible_fruit,fruta_comestible
456,,,,produce,producto
457,,,,green_goods,productos_verdes
458,,,,green_groceries,comestibles_verdes
459,,,,garden_truck,NO_TRANSLATION
460,,,,food,comida
461,,,,matter,materia
462,,,,natural_object,objeto_natural
463,,,,physical_entity,entidad_física
464,,,,unit,unidad
465,,,,entity,entidad
466,,,,object,objeto
467,,,,physical_object,objeto_físico
468,,,,,"fruto,comestible"
469,L02_25,hypernyms - misc,lotion,,loción
470,,,,toiletry,artículo_de_aseo
471,,,,toilet_articles,artículos_de_aseo
472,,,,artifact,artefacto
473,,,,artefact,DUPLICATE_artefacto
474,,,,unit,unidad
475,,,,object,objeto
476,,,,physical_object,objeto_físico
477,,,,physical_entity,entidad_física
478,,,,entity,entidad
479,,,,,chechere
480,L02_26,hypernyms - misc,mascara,,máscara
481,,,,makeup,maquillaje
482,,,,make-up,DUPLICATE_maquillaje
483,,,,war_paint,pintura_de_guerra
484,,,,cosmetic,cosmético
485,,,,toiletry,artículo_de_aseo
486,,,,toilet_articles,artículos_de_aseo
487,,,,artifact,artefacto
488,,,,artefact,DUPLICATE_artefacto
489,,,,unit,unidad
490,,,,object,objeto
491,,,,physical_object,objeto_físico
492,,,,physical_entity,entidad_física
493,,,,entity,entidad
494,,,,,chechere
495,L02_27,hypernyms - misc,necklace,,collar
496,,,,jewelry,joyería
497,,,,jewellery,DUPLICATE_joyería
498,,,,adornment,adorno
499,,,,decoration,decoración
500,,,,ornament,ornamento
501,,,,ornamentation,ornamentación
502,,,,artifact,artefacto
503,,,,artefact,DUPLICATE_artefacto
504,,,,unit,unidad
505,,,,object,objeto
506,,,,physical_object,objeto_físico
507,,,,physical_entity,entidad_física
508,,,,entity,entidad
509,,,,,chechere
510,L02_28,hypernyms - misc,notebook,,cuaderno_de_notas
511,,,,book,libro
512,,,,volume,volumen
513,,,,product,producto
514,,,,production,producción
515,,,,creation,creación
516,,,,artifact,artefacto
517,,,,artefact,DUPLICATE_artefacto
518,,,,unit,unidad
519,,,,object,objeto
520,,,,physical_object,objeto_físico
521,,,,physical_entity,entidad_física
522,,,,entity,entidad
523,,,,portable_computer,ordenador_portatil
524,,,,personal_computer,ordenador_personal
525,,,,pc,pc
526,,,,microcomputer,microcomputador
527,,,,digital_computer,ordenador_digital
528,,,,computer,computadora
529,,,,computing_machine,máquina_computadora
530,,,,computing_device,dispositivo_computador
531,,,,data_processor,procesador_de_datos
532,,,,electronic_computer,ordenador_electrónico
533,,,,information_processing_system,sistema_de_procesamiento_de_información
534,,,,machine,máquina
535,,,,device,dispositivo
536,,,,,chechere
537,L02_29,hypernyms - misc,notepad,,cuaderno_de_notas
538,,,,pad,cuadernillo
539,,,,pad_of_paper,cuadernillo_de_papel
540,,,,tablet,tableta
541,,,,paper,papel
542,,,,material,material
543,,,,stuff,cosa
544,,,,substance,sustancia
545,,,,matter,materia
546,,,,part,parte
547,,,,portion,porción
548,,,,component_part,parte_componente
549,,,,component,componente
550,,,,constituent,constituyente
551,,,,physical_entity,entidad_física
552,,,,relation,relación
553,,,,entity,entidad
554,,,,abstraction,abstracción
555,,,,abstract_entity,entidad_abstracta
557,L02_30,hypernyms - misc,pastry,,repostería
558,,,,food,comida
559,,,,dough,masa
560,,,,concoction,cocinado
561,,,,mixture,mezcla
562,,,,intermixture,intermezcla
563,,,,foodstuff,artículo_de_alimentación
564,,,,food_product,producto_alimenticio
565,,,,nutrient,nutriente
566,,,,substance,sustancia
567,,,,matter,materia
568,,,,physical_entity,entidad_física
569,,,,entity,entidad
570,,,,baked_goods,DUPLICATE_repostería
571,,,,solid_food,comida_sólida
572,,,,solid,sólido
574,L02_31,hypernyms - misc,peach,,melocotón
575,,,,fruit,fruta
576,,,,drupe,drupa
577,,,,stone_fruit,fruta_con_hueso
578,,,,edible_fruit,fruta_comestible
579,,,,produce,producto
580,,,,green_goods,alimentos_verdes
581,,,,green_groceries,verduras
582,,,,garden_truck,camión_de_la_verdura
583,,,,food,comida
584,,,,matter,materia
585,,,,natural_object,natural_objeto
586,,,,physical_entity,entidad_física
587,,,,unit,unidad
588,,,,entity,entidad
589,,,,object,objeto
590,,,,physical_object,objeto_físico
592,L02_32,hypernyms - misc,perfume,,perfume
593,,,,toiletry,artículo_de_aseo
594,,,,toilet_articles,artículos_de_aseo
595,,,,artifact,artefacto
596,,,,artefact,DUPLICATE_artefacto
597,,,,unit,unidad
598,,,,object,objeto
599,,,,physical_object,objeto_físico
600,,,,physical_entity,entidad_física
601,,,,entity,entidad
602,,,,,chechere
603,L02_33,hypernyms - misc,photo,,foto
604,,,,picture,dibujo
605,,,,image,imagen
606,,,,representation,representación
607,,,,creation,creación
608,,,,artifact,artefacto
609,,,,artefact,DUPLICATE_artefacto
610,,,,unit,unidad
611,,,,object,objeto
612,,,,physical_object,objeto_físico
613,,,,physical_entity,entidad_física
614,,,,entity,entidad
615,,,,,chechere
616,L02_34,hypernyms - misc,pie,,tarta
617,,,,pastry,pasta
618,,,,baked_goods,repostería
619,,,,food,comida
620,,,,solid_food,comida_sólida
621,,,,solid,sólido
622,,,,matter,materia
623,,,,physical_entity,entidad_física
624,,,,entity,entidad
625,,,,indo-european,indo-europeo
626,,,,indo-european_language,lengua_indo_europea
627,,,,indo-hittite,NO_TRANSLATION
628,,,,natural_language,lenguaje-natural
629,,,,tongue,lengua
630,,,,language,lenguaje
631,,,,linguistic_communication,comunicación-lingüística
632,,,,communication,communicación
633,,,,abstraction,abstracción
634,,,,abstract_entity,entidad_abstracta
636,L02_35,hypernyms - misc,plum,,ciruela
637,,,,fruit,fruta
638,,,,drupe,drupa
639,,,,stone_fruit,fruta_con_hueso
640,,,,edible_fruit,fruta_comestible
641,,,,produce,producto
642,,,,green_goods,alimentos_verdes
643,,,,green_groceries,verduras
644,,,,garden_truck,camión_de_la_verdura
645,,,,food,comida
646,,,,matter,materia
647,,,,natural_object,objeto_natural
648,,,,physical_entity,entidad_física
649,,,,unit,unidad
650,,,,entity,entidad
651,,,,object,objeto
652,,,,physical_object,objeto_físico
654,L02_36,hypernyms - misc,postcard,,postal
655,,,,card,carta
656,,,,correspondence,correspondencia
657,,,,first_class,primera_clase
658,,,,1st_class,DUPLICATE_primera_clase
659,,,,first-class_mail,correspondencia_prioritaria
660,,,,1st-class_mail,DUPLICATE_correspondencia_prioritaria
661,,,,written_communication,comunicación_escrita
662,,,,written_language,lenguaje_escrito
663,,,,black_and_white,negro_y_blanco
664,,,,mail,mail
665,,,,communication,comunicación
666,,,,message,mensaje
667,,,,abstraction,abstracción
668,,,,abstract_entity,entidad_abstracta
669,,,,entity,entidad
671,L02_37,hypernyms - misc,shelf,,estantería
672,,,,furniture,muebles
673,,,,support,apoyo
674,,,,piece_of_furniture,pieza_de_mobiliario
675,,,,article_of_furniture,artículo_de_mobiliario
676,,,,furnishing,mobiliario
677,,,,artifact,artefacto
678,,,,artefact,DUPLICATE_artefacto
679,,,,unit,unidad
680,,,,object,objeto
681,,,,physical_object,objeto_físico
682,,,,physical_entity,entidad_física
683,,,,entity,entidad
684,,,,,mueble
685,L02_38,hypernyms - misc,shirt,,camisa
686,,,,clothes,ropa
687,,,,garment,prenda
688,,,,clothing,DUPLICATE_ropa
689,,,,article_of_clothing,artículo_de_vestimenta
690,,,,vesture,vestimenta
691,,,,wear,llevar
692,,,,wearable,llevable
693,,,,habiliment,habilitado
694,,,,consumer_goods,bienes_de_consumo
695,,,,covering,cubierta
696,,,,commodity,comodidad
697,,,,trade_good,bien_de_comercio
698,,,,good,bien
699,,,,artifact,artefacto
700,,,,artefact,DUPLICATE_artefacto
701,,,,unit,unidad
702,,,,object,objeto
703,,,,physical_object,objeto_físico
704,,,,physical_entity,entidad_física
705,,,,entity,entidad
707,L02_39,hypernyms - misc,sidewalk,,acera
708,,,,walk,paseo
709,,,,walkway,paso
710,,,,paseo,DUPLICATE_paseo
711,,,,path,camino
712,,,,way,ruta
713,,,,artifact,artefacto
714,,,,artefact,DUPLICATE_artefacto
715,,,,unit,unidad
716,,,,object,objeto
717,,,,physical_object,objeto_físico
718,,,,physical_entity,entidad_física
719,,,,entity,entidad
720,,,,,"orilla,elemento_urbanístico"
721,L02_40,hypernyms - misc,skirt,,falda
722,,,,clothes,ropa
723,,,,garment,prenda
724,,,,clothing,DUPLICATE_ropa
725,,,,article_of_clothing,artículo_de_vestimenta
726,,,,vesture,vestimenta
727,,,,wear,llevar
728,,,,wearable,llevable
729,,,,habiliment,habilitado
730,,,,consumer_goods,bienes_de_consumo
731,,,,covering,cubierta
732,,,,commodity,producto
733,,,,trade_good,bien_de_comercio
734,,,,good,bien
735,,,,artifact,artefacto
736,,,,artefact,DUPLICATE_artefacto
737,,,,unit,unidad
738,,,,object,objeto
739,,,,physical_object,objeto_físico
740,,,,physical_entity,entidad_física
741,,,,entity,entidad
742,,,,,chechere
743,L02_41,hypernyms - misc,sofa,,sofá
744,,,,furniture,muebles
745,,,,seat,asiento
746,,,,piece_of_furniture,pieza_de_mobiliario
747,,,,article_of_furniture,artículo_de_mobiliario
748,,,,furnishing,mobiliario
749,,,,artifact,artefacto
750,,,,artefact,DUPLICATE_artefacto
751,,,,unit,unidad
752,,,,object,objeto
753,,,,physical_object,objeto_físico
754,,,,physical_entity,entidad_física
755,,,,entity,entidad
756,,,,,chechere
757,L02_42,hypernyms - misc,stapler,,grapadora
758,,,,device,dispositivo
759,,,,machine,máquina
760,,,,artifact,artefacto
761,,,,artefact,DUPLICATE_artefacto
762,,,,unit,unidad
763,,,,object,objeto
764,,,,physical_object,objeto_físico
765,,,,physical_entity,entidad_física
766,,,,entity,entidad
767,,,,,chechere
768,L02_43,hypernyms - misc,sunscreen,,crema_solar
769,,,,cream,crema
770,,,,lotion,loción
771,,,,ointment,ungüento
772,,,,emollient,emoliente
773,,,,toiletry,artículo_de_aseo
774,,,,toilet_articles,artículos_de_aseo
775,,,,artifact,artefacto
776,,,,artefact,DUPLICATE_artefacto
777,,,,unit,unidad
778,,,,object,objeto
779,,,,physical_object,objeto_físico
780,,,,physical_entity,entidad_física
781,,,,entity,entidad
782,,,,,chechere
783,L02_44,hypernyms - misc,sweater,,sudadera
784,,,,clothes,ropa
785,,,,garment,prenda
786,,,,clothing,DUPLICATE_ropa
787,,,,article_of_clothing,artículo_de_vestimenta
788,,,,vesture,vestimenta
789,,,,wear,llevar
790,,,,wearable,llevable
791,,,,habiliment,habilitado
792,,,,consumer_goods,bienes_de_consumo
793,,,,covering,cubierta
794,,,,commodity,producto
795,,,,trade_good,bien_de_comercio
796,,,,good,bien
797,,,,artifact,artefacto
798,,,,artefact,DUPLICATE_artefacto
799,,,,unit,unidad
800,,,,object,objeto
801,,,,physical_object,objeto_físico
802,,,,physical_entity,entidad_física
803,,,,entity,entidad
805,,,,,chechere
806,L02_45,hypernyms - misc,toaster,,tostadora
807,,,,appliance,electrodoméstico
808,,,,entity,entidad
809,,,,unit,unidad
810,,,,object,objeto
811,,,,physical_object,objeto_físico
812,,,,kitchen_appliance,electrodoméstico_de_cocina
813,,,,home_appliance,electrodoméstico_casero
814,,,,household_appliance,aparato_electrodoméstico
815,,,,durables,duraderos
816,,,,durable_goods,bienes_duraderos
817,,,,consumer_durables,bienes_de_consumo
818,,,,consumer_goods,DUPLICATE_bienes_de_consumo
819,,,,commodity,producto
820,,,,trade_good,bienes_de_comercio
821,,,,good,bienes
822,,,,artifact,artefacto
823,,,,artefact,DUPLICATE_artefacto
824,,,,physical_entity,entidad_física
825,,,,,chechere
826,L02_46,hypernyms - misc,toothbrush,,cepillo_de_dientes
827,,,,brush,cepillo
828,,,,toiletry,artículo_de_aseo
829,,,,toilet_articles,artículos_de_aseo
830,,,,implement,accesorio
831,,,,artifact,artefacto
832,,,,artefact,DUPLICATE_artefacto
833,,,,unit,unidad
834,,,,object,objeto
835,,,,physical_object,objeto_físico
836,,,,physical_entity,entidad_física
837,,,,entity,entidad
838,,,,mustache,bigote
839,,,,moustache,DUPLICATE_bigote
840,,,,facial_hair,vello_facial
841,,,,hair,pelo
842,,,,body_covering,piel
843,,,,covering,cubierta
844,,,,natural_covering,cubierta_natural
845,,,,cover,recubrimiento
846,,,,natural_object,objeto_natural
847,,,,,"instrumento,chechere"
848,L02_47,hypernyms - misc,tub,,tubo
849,,,,container,contenedor
850,,,,vessel,recipiente
851,,,,artifact,artefacto
852,,,,artefact,DUPLICATE_artefacto
853,,,,unit,unidad
854,,,,object,objeto
855,,,,physical_object,objeto_físico
856,,,,physical_entity,entidad_física
857,,,,entity,entidad
859,L02_48,hypernyms - misc,tv,,tv
860,,,,device,dispositivo
861,,,,machine,máquina
862,,,,receiver,receptor
863,,,,receiving_system,sistema_receptor
864,,,,set,set
865,,,,electronic_equipment,equipamiento_electrónico
866,,,,equipment,equipamiento
867,,,,artifact,artefacto
868,,,,artefact,DUPLICATE_artefacto
869,,,,unit,unidad
870,,,,object,objeto
871,,,,physical_object,objeto_físico
872,,,,physical_entity,entidad_física
873,,,,entity,entidad
874,,,,broadcasting,broadcast
875,,,,telecommunication,telecomunicación
876,,,,telecom,teleco
877,,,,medium,medium
878,,,,,chechere
879,L02_49,hypernyms - misc,vase,,jarrón
880,,,,jar,tarro
881,,,,vessel,recipiente
882,,,,container,contenedor
883,,,,artifact,artefacto
884,,,,artefact,DUPLICATE_artefacto
885,,,,unit,unidad
886,,,,object,objeto
887,,,,physical_object,objeto_físico
888,,,,physical_entity,entidad_física
889,,,,entity,entidad
890,,,,,chechere
891,L02_50,hypernyms - misc,wristband,,pulsera
892,,,,band,banda
893,,,,strip,tira
894,,,,slip,cinta
895,,,,artifact,artefacto
896,,,,artefact,DUPLICATE_artefacto
897,,,,unit,unidad
898,,,,object,objeto
899,,,,physical_object,objeto_físico
900,,,,physical_entity,entidad_física
901,,,,entity,entidad
