,ID,Relation,Source,Target,ES
224,L04_40,meronyms - substance,sea,,mar
225,,,,water,agua
227,L04_41,meronyms - substance,snow,,nieve
228,,,,water,agua
229,,,,oxygen,oxígeno
230,,,,hydrogen,hidrógeno
231,,,,flake,copo
232,,,,ice,hielo
233,,,,snowflake,copo_de_nieve
234,,,,snowflakes,copos_de_nieve
235,,,,h2o,h2o
236,,,,atomic_number_1,número_atómico_1
237,,,,atomic_number_8,número_atómico_8
238,,,,h,h
239,,,,o,o
241,L04_42,meronyms - substance,spoon,,cuchara
242,,,,aluminium,aluminio
243,,,,wood,madera
244,,,,steel,acero
246,L04_43,meronyms - substance,steel,,acero
247,,,,iron,hierro
248,,,,pearlite,perlita
249,,,,carbon,carbón
250,,,,cementite,cementita
251,,,,ferrite,ferrita
252,,,,iron_carbide,carburo_de_hierro
253,,,,fe,fe
254,,,,atomic_number_26,número_atómico_26
255,,,,alpha_iron,hierro_alfa
257,L04_44,meronyms - substance,table,,mesa
258,,,,wood,madera
259,,,,metal,metal
260,,,,plastic,plástico
262,L04_45,meronyms - substance,wall,,pared
263,,,,cement,cemento
264,,,,bricks,ladrillo
265,,,,stones,piedra
266,,,,rocks,rocas
267,,,,wood,madera
268,,,,cardboard,cartulina
269,,,,board,cartón
270,,,,plank,plancha
271,,,,clay,cerámica
272,,,,mud,barro
274,L04_46,meronyms - substance,water,,agua
275,,,,oxygen,oxígeno
276,,,,hydrogen,hidrógeno
277,,,,water,DUPLICATE_agua
278,,,,h2o,h2o
279,,,,atomic_number_1,número_atómico_1
280,,,,atomic_number_8,número_atómico_8
281,,,,h,h
282,,,,o,o
284,L04_47,meronyms - substance,wig,,peluca
285,,,,hair,pelo
287,L04_48,meronyms - substance,wine,,vino
288,,,,grapes,uvas
289,,,,grape,uva
291,L04_49,meronyms - substance,wire,,cable
292,,,,metal,metal
294,L04_50,meronyms - substance,yogurt,,yogurt
295,,,,milk,leche
