,ID,Relation,Source,Target,RO
129,,,,rise,creștere
130,,,,upward,în_sus
131,,,,climb,urca
133,L10_20,antonyms - binary,first,,primul
134,,,,last,ultimul
135,,,,end,sfărșit
136,,,,terminal,terminal
137,,,,ending,final
138,,,,final,DUPLICATE_final
139,,,,finish,finalizare
140,,,,finale,finală
141,,,,conclusion,concluzie
143,L10_21,antonyms - binary,forget,,uita
144,,,,remember,aminti
145,,,,retrieve,recupera
146,,,,recall,reamintire
147,,,,call_back,rechema
148,,,,call_up,suna
149,,,,recollect,amintesc
151,L10_22,antonyms - binary,forward,,înainte
152,,,,backward,înapoi
153,,,,back,spate
154,,,,backwards,invers
155,,,,rearward,urmă
156,,,,rearwards,spre_sparte
158,L10_23,antonyms - binary,front,,față
159,,,,back,spate
160,,,,rear,dos
161,,,,forepart,înainte
163,L10_24,antonyms - binary,in,,în
164,,,,out,afară
165,,,,outer,periferic
166,,,,exterior,exterior
167,,,,outside,în_afară
169,L10_25,antonyms - binary,inbound,,către
170,,,,outbound,înspre
172,L10_26,antonyms - binary,inhale,,inhala
173,,,,exhale,expira
175,L10_27,antonyms - binary,input,,intrare
176,,,,output,ieșire
178,L10_28,antonyms - binary,inside,,interior
179,,,,outside,în_afară
180,,,,exterior,exterior
181,,,,out,afară
183,L10_29,antonyms - binary,interior,,interior
184,,,,exterior,exterior
185,,,,outdoor,în_aer_liber
186,,,,out-of-door,în_afara_ușii
187,,,,outside,în_afară
189,L10_30,antonyms - binary,internal,,intern
190,,,,external,extern
191,,,,outer,periferic
192,,,,outside,în_afară
194,L10_31,antonyms - binary,inverse,,invers
195,,,,reverse,verso
196,,,,reversion,reversiune
197,,,,reversal,insersare
198,,,,turnabout,cotitură
199,,,,turnaround,întorsătură
201,L10_32,antonyms - binary,mortal,,muritor
202,,,,immortal,nemuritor
204,L10_33,antonyms - binary,occupied,,ocupat
205,,,,vacant,vacant
206,,,,free,liber
208,L10_34,antonyms - binary,off,,oprit
209,,,,on,deschis
211,L10_35,antonyms - binary,out,,afară
212,,,,in,în
213,,,,inside,înauntru
215,L10_36,antonyms - binary,outward,,exterior
216,,,,upward,în_sus
217,,,,up,sus
218,,,,upwards,DUPLICATE_în_sus
220,L10_37,antonyms - binary,over,,peste
221,,,,under,sub
222,,,,below,dedesupt
223,,,,beneath,DUPLICATE_dedesupt
225,L10_38,antonyms - binary,previously,,anterior
226,,,,subsequently,ulterior
227,,,,later,mai_târziu
228,,,,afterwards,DUPLICATE_după_acceea
229,,,,afterward,după_acceea
230,,,,after,după
231,,,,subsequent,posterior
233,L10_39,antonyms - binary,proceed,,continua
234,,,,retreat,retragere
235,,,,return,întoarcere
237,L10_40,antonyms - binary,rise,,ridica
238,,,,sink,scufunda
239,,,,drop,cădere
240,,,,fall,DUPLICATE_cădere
242,L10_41,antonyms - binary,south,,sud
243,,,,north,nord
245,L10_42,antonyms - binary,southeast,,sud-est
246,,,,southwest,sud-vest
247,,,,northeast,nord-est
249,L10_43,antonyms - binary,submerge,,scufunda
250,,,,emerge,reieși
252,L10_44,antonyms - binary,top,,vârf
253,,,,bottom,bază
254,,,,underside,partea_inferioară
255,,,,undersurface,sub_suprafață
257,L10_45,antonyms - binary,toward,,către
258,,,,away,dinspre
259,,,,off,oprit
260,,,,forth,mai_departe
261,,,,aside,deoparte
263,L10_46,antonyms - binary,True,,adevărat
264,,,,False,False
265,,,,incorrect,incorect
266,,,,wrong,greșit
267,,,,mistaken,greșeală
269,L10_47,antonyms - binary,under,,sub
270,,,,over,peste
271,,,,above,deasupra
272,,,,up,sus
274,L10_48,antonyms - binary,up,,sus
275,,,,down,jos
276,,,,downwards,DUPLICATE_la_vale
277,,,,downward,la_vale
278,,,,downwardly,DUPLICATE_la_vale
280,L10_49,antonyms - binary,uphill,,în_sus
281,,,,downhill,în_jos
282,,,,decline,declin
283,,,,fall,cădea
284,,,,declivitous,declinat
285,,,,downward-sloping,înclinat_în_jos
287,L10_50,antonyms - binary,west,,vest
288,,,,east,est
